variant,drift_class,output_equivalent,period_index,modified,state,n_failed_predicates,first_failed_level,first_failed_predicate,shift_pct,single_alarm,sustained_shift_pct,sustained_alarm
C0_unchanged,none,True,12,True,authorized,0,,,2.4261,False,-0.6856,False
C0_unchanged,none,True,13,True,mismatch_escalation,0,,,16.1863,True,3.5898,False
C0_unchanged,none,True,14,True,authorized,0,,,13.0214,False,5.4872,False
C0_unchanged,none,True,15,True,authorized,0,,,-0.3171,False,6.0328,False
C0_unchanged,none,True,16,True,authorized,0,,,1.0333,False,6.2585,False
C0_unchanged,none,True,17,True,authorized,0,,,4.0732,False,6.0705,False
C0_unchanged,none,True,18,True,authorized,0,,,1.112,False,5.8515,False
C0_unchanged,none,True,19,True,authorized,0,,,-3.0347,False,2.648,False
C0_unchanged,none,True,20,True,authorized,0,,,2.8592,False,0.9543,False
C0_unchanged,none,True,21,True,authorized,0,,,9.072,False,2.5191,False
C0_unchanged,none,True,22,True,authorized,0,,,6.3857,False,3.4112,False
C0_unchanged,none,True,23,True,authorized,0,,,4.3393,False,3.4556,False
COS_rename,cosmetic,False,12,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,13,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,14,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,15,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,16,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,17,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,18,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,19,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,20,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,21,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,22,True,mismatch_escalation,6,L1,column_names,,,,
COS_rename,cosmetic,False,23,True,mismatch_escalation,6,L1,column_names,,,,
COS_reorder,cosmetic,True,12,True,authorized,0,,,2.4261,False,-0.6856,False
COS_reorder,cosmetic,True,13,True,mismatch_escalation,0,,,16.1863,True,3.5898,False
COS_reorder,cosmetic,True,14,True,authorized,0,,,13.0214,False,5.4872,False
COS_reorder,cosmetic,True,15,True,authorized,0,,,-0.3171,False,6.0328,False
COS_reorder,cosmetic,True,16,True,authorized,0,,,1.0333,False,6.2585,False
COS_reorder,cosmetic,True,17,True,authorized,0,,,4.0732,False,6.0705,False
COS_reorder,cosmetic,True,18,True,authorized,0,,,1.112,False,5.8515,False
COS_reorder,cosmetic,True,19,True,authorized,0,,,-3.0347,False,2.648,False
COS_reorder,cosmetic,True,20,True,authorized,0,,,2.8592,False,0.9543,False
COS_reorder,cosmetic,True,21,True,authorized,0,,,9.072,False,2.5191,False
COS_reorder,cosmetic,True,22,True,authorized,0,,,6.3857,False,3.4112,False
COS_reorder,cosmetic,True,23,True,authorized,0,,,4.3393,False,3.4556,False
COS_decimal_comma,cosmetic,False,12,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-17.7566,True
COS_decimal_comma,cosmetic,False,13,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-32.8456,True
COS_decimal_comma,cosmetic,False,14,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-49.7851,True
COS_decimal_comma,cosmetic,False,15,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-65.8533,True
COS_decimal_comma,cosmetic,False,16,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-82.4665,True
COS_decimal_comma,cosmetic,False,17,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,18,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,19,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,20,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,21,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,22,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_decimal_comma,cosmetic,False,23,True,mismatch_escalation,1,L2,amount.dtype,-100.0,True,-100.0,True
COS_case_whitespace,cosmetic,False,12,True,authorized,0,,,2.4261,False,-0.6856,False
COS_case_whitespace,cosmetic,False,13,True,mismatch_escalation,0,,,16.1863,True,3.5898,False
COS_case_whitespace,cosmetic,False,14,True,authorized,0,,,13.0214,False,5.4872,False
COS_case_whitespace,cosmetic,False,15,True,authorized,0,,,-0.3171,False,6.0328,False
COS_case_whitespace,cosmetic,False,16,True,authorized,0,,,1.0333,False,6.2585,False
COS_case_whitespace,cosmetic,False,17,True,authorized,0,,,4.0732,False,6.0705,False
COS_case_whitespace,cosmetic,False,18,True,authorized,0,,,1.112,False,5.8515,False
COS_case_whitespace,cosmetic,False,19,True,authorized,0,,,-3.0347,False,2.648,False
COS_case_whitespace,cosmetic,False,20,True,authorized,0,,,2.8592,False,0.9543,False
COS_case_whitespace,cosmetic,False,21,True,authorized,0,,,9.072,False,2.5191,False
COS_case_whitespace,cosmetic,False,22,True,authorized,0,,,6.3857,False,3.4112,False
COS_case_whitespace,cosmetic,False,23,True,authorized,0,,,4.3393,False,3.4556,False
COS_period_format,cosmetic,False,12,True,authorized,0,,,2.4261,False,-0.6856,False
COS_period_format,cosmetic,False,13,True,mismatch_escalation,0,,,16.1863,True,3.5898,False
COS_period_format,cosmetic,False,14,True,authorized,0,,,13.0214,False,5.4872,False
COS_period_format,cosmetic,False,15,True,authorized,0,,,-0.3171,False,6.0328,False
COS_period_format,cosmetic,False,16,True,authorized,0,,,1.0333,False,6.2585,False
COS_period_format,cosmetic,False,17,True,authorized,0,,,4.0732,False,6.0705,False
COS_period_format,cosmetic,False,18,True,authorized,0,,,1.112,False,5.8515,False
COS_period_format,cosmetic,False,19,True,authorized,0,,,-3.0347,False,2.648,False
COS_period_format,cosmetic,False,20,True,authorized,0,,,2.8592,False,0.9543,False
COS_period_format,cosmetic,False,21,True,authorized,0,,,9.072,False,2.5191,False
COS_period_format,cosmetic,False,22,True,authorized,0,,,6.3857,False,3.4112,False
COS_period_format,cosmetic,False,23,True,authorized,0,,,4.3393,False,3.4556,False
STR_insert_column,structural,False,12,True,mismatch_escalation,2,L1,column_names,2.4261,False,-0.6856,False
STR_insert_column,structural,False,13,True,mismatch_escalation,2,L1,column_names,16.1863,True,3.5898,False
STR_insert_column,structural,False,14,True,mismatch_escalation,2,L1,column_names,13.0214,False,5.4872,False
STR_insert_column,structural,False,15,True,mismatch_escalation,2,L1,column_names,-0.3171,False,6.0328,False
STR_insert_column,structural,False,16,True,mismatch_escalation,2,L1,column_names,1.0333,False,6.2585,False
STR_insert_column,structural,False,17,True,mismatch_escalation,2,L1,column_names,4.0732,False,6.0705,False
STR_insert_column,structural,False,18,True,mismatch_escalation,2,L1,column_names,1.112,False,5.8515,False
STR_insert_column,structural,False,19,True,mismatch_escalation,2,L1,column_names,-3.0347,False,2.648,False
STR_insert_column,structural,False,20,True,mismatch_escalation,2,L1,column_names,2.8592,False,0.9543,False
STR_insert_column,structural,False,21,True,mismatch_escalation,2,L1,column_names,9.072,False,2.5191,False
STR_insert_column,structural,False,22,True,mismatch_escalation,2,L1,column_names,6.3857,False,3.4112,False
STR_insert_column,structural,False,23,True,mismatch_escalation,2,L1,column_names,4.3393,False,3.4556,False
STR_wide,structural,False,12,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,13,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,14,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,15,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,16,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,17,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,18,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,19,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,20,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,21,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,22,True,mismatch_escalation,6,L1,column_names,,,,
STR_wide,structural,False,23,True,mismatch_escalation,6,L1,column_names,,,,
STR_grain_split,structural,False,12,True,mismatch_escalation,2,L3,key_uniqueness,2.4261,False,-0.6856,False
STR_grain_split,structural,False,13,True,mismatch_escalation,2,L3,key_uniqueness,16.1863,True,3.5898,False
STR_grain_split,structural,False,14,True,mismatch_escalation,2,L3,key_uniqueness,13.0214,False,5.4872,False
STR_grain_split,structural,False,15,True,mismatch_escalation,2,L3,key_uniqueness,-0.3171,False,6.0328,False
STR_grain_split,structural,False,16,True,mismatch_escalation,2,L3,key_uniqueness,1.0333,False,6.2585,False
STR_grain_split,structural,False,17,True,mismatch_escalation,2,L3,key_uniqueness,4.0732,False,6.0705,False
STR_grain_split,structural,False,18,True,mismatch_escalation,2,L3,key_uniqueness,1.112,False,5.8515,False
STR_grain_split,structural,False,19,True,mismatch_escalation,2,L3,key_uniqueness,-3.0347,False,2.648,False
STR_grain_split,structural,False,20,True,mismatch_escalation,2,L3,key_uniqueness,2.8592,False,0.9543,False
STR_grain_split,structural,False,21,True,mismatch_escalation,2,L3,key_uniqueness,9.072,False,2.5191,False
