period,product,country,sales
01/01/2026,ART-0001,CZ,442.27
02/03/2026,ART-0001,CZ,180.31
03/04/2026,ART-0001,CZ,273.54
04/05/2026,ART-0001,CZ,303.63
05/06/2026,ART-0001,CZ,584.26
01/01/2026,ART-0002,CZ,808.17
02/02/2026,ART-0002,CZ,844.40
03/03/2026,ART-0002,CZ,454.96
04/04/2026,ART-0002,CZ,367.63
05/06/2026,ART-0002,CZ,492.26
01/01/2026,ART-0003,CZ,396.67
02/02/2026,ART-0003,CZ,319.86
03/04/2026,ART-0003,CZ,810.59
04/05/2026,ART-0003,CZ,144.54
05/06/2026,ART-0003,CZ,281.62
01/01/2026,ART-0004,CZ,675.78
02/02/2026,ART-0004,CZ,307.19
03/03/2026,ART-0004,CZ,287.39
04/04/2026,ART-0004,CZ,213.08
05/05/2026,ART-0004,CZ,658.98
06/06/2026,ART-0004,CZ,539.41
06/01/2026,ART-0002,DE,527.52
07/02/2026,ART-0002,DE,218.69
08/03/2026,ART-0002,DE,643.80
09/05/2026,ART-0002,DE,713.80
10/06/2026,ART-0002,DE,161.36
06/01/2026,ART-0003,DE,857.80
07/03/2026,ART-0003,DE,827.67
08/04/2026,ART-0003,DE,19.76
09/05/2026,ART-0003,DE,49.26
10/06/2026,ART-0003,DE,203.89
07/01/2026,ART-0004,DE,484.26
08/02/2026,ART-0004,DE,198.14
09/03/2026,ART-0004,DE,543.68
10/04/2026,ART-0004,DE,94.61
11/05/2026,ART-0004,DE,368.78
01/01/2026,ART-0005,DE,217.82
02/02/2026,ART-0005,DE,434.34
03/03/2026,ART-0005,DE,630.07
04/04/2026,ART-0005,DE,179.64
05/05/2026,ART-0005,DE,402.98
06/06/2026,ART-0005,DE,254.39
06/01/2026,ART-0001,FI,181.82
07/02/2026,ART-0001,FI,838.99
08/03/2026,ART-0001,FI,808.75
09/04/2026,ART-0001,FI,55.71
10/05/2026,ART-0001,FI,616.10
11/06/2026,ART-0001,FI,819.27
11/01/2026,ART-0002,FI,450.15
12/02/2026,ART-0002,FI,490.70
01/03/2026,ART-0002,FI,484.59
02/04/2026,ART-0002,FI,149.78
03/05/2026,ART-0002,FI,797.90
04/06/2026,ART-0002,FI,294.95
12/01/2026,ART-0004,FI,693.62
01/02/2026,ART-0004,FI,102.40
02/03/2026,ART-0004,FI,448.42
03/04/2026,ART-0004,FI,366.68
04/05/2026,ART-0004,FI,87.94
05/06/2026,ART-0004,FI,288.47
07/01/2026,ART-0005,FI,224.75
08/02/2026,ART-0005,FI,724.64
09/03/2026,ART-0005,FI,333.15
10/04/2026,ART-0005,FI,131.54
11/05/2026,ART-0005,FI,559.65
12/06/2026,ART-0005,FI,818.52
12/01/2026,ART-0001,SE,250.76
01/02/2026,ART-0001,SE,818.59
02/03/2026,ART-0001,SE,179.67
03/04/2026,ART-0001,SE,818.89
04/05/2026,ART-0001,SE,339.29
05/06/2026,ART-0001,SE,380.44
01/02/2026,ART-0005,SE,240.02
02/03/2026,ART-0005,SE,71.02
03/04/2026,ART-0005,SE,830.31
04/05/2026,ART-0005,SE,874.71
05/06/2026,ART-0005,SE,233.43
