period,product,country,sales
2026-01,ART-1,CZ,442.27
2026-03,art0001,CZ,180.31
2026-04,ART‑0002,CZ,273.54
2026-05,Art 0003,CZ,303.63
2026-06,ART--0004,CZ,584.26
2026-01,ART-1,CZ,808.17
2026-02,art0001,CZ,844.40
2026-03,ART‑0002,CZ,454.96
2026-04,Art 0003,CZ,367.63
2026-06,ART--0004,CZ,492.26
2026-01,ART-1,CZ,396.67
2026-02,art0001,CZ,319.86
2026-04,ART‑0002,CZ,810.59
2026-05,Art 0003,CZ,144.54
2026-06,ART--0004,CZ,281.62
2026-01,ART-1,CZ,675.78
2026-02,art0001,CZ,307.19
2026-03,ART‑0002,CZ,287.39
2026-04,Art 0003,CZ,213.08
2026-05,ART--0004,CZ,658.98
2026-06,ART-1,CZ,539.41
2026-01,art0001,DE,527.52
2026-02,ART‑0002,DE,218.69
2026-03,Art 0003,DE,643.80
2026-05,ART--0004,DE,713.80
2026-06,ART-1,DE,161.36
2026-01,art0001,DE,857.80
2026-03,ART‑0002,DE,827.67
2026-04,Art 0003,DE,19.76
2026-05,ART--0004,DE,49.26
2026-06,ART-1,DE,203.89
2026-01,art0001,DE,484.26
2026-02,ART‑0002,DE,198.14
2026-03,Art 0003,DE,543.68
2026-04,ART--0004,DE,94.61
2026-05,ART-1,DE,368.78
2026-01,art0001,DE,217.82
2026-02,ART‑0002,DE,434.34
2026-03,Art 0003,DE,630.07
2026-04,ART--0004,DE,179.64
2026-05,ART-1,DE,402.98
2026-06,art0001,DE,254.39
2026-01,ART‑0002,FI,181.82
2026-02,Art 0003,FI,838.99
2026-03,ART--0004,FI,808.75
2026-04,ART-1,FI,55.71
2026-05,art0001,FI,616.10
2026-06,ART‑0002,FI,819.27
2026-01,Art 0003,FI,450.15
2026-02,ART--0004,FI,490.70
2026-03,ART-1,FI,484.59
2026-04,art0001,FI,149.78
2026-05,ART‑0002,FI,797.90
2026-06,Art 0003,FI,294.95
2026-01,ART--0004,FI,693.62
2026-02,ART-1,FI,102.40
2026-03,art0001,FI,448.42
2026-04,ART‑0002,FI,366.68
2026-05,Art 0003,FI,87.94
2026-06,ART--0004,FI,288.47
2026-01,ART-1,FI,224.75
2026-02,art0001,FI,724.64
2026-03,ART‑0002,FI,333.15
2026-04,Art 0003,FI,131.54
2026-05,ART--0004,FI,559.65
2026-06,ART-1,FI,818.52
2026-01,art0001,SE,250.76
2026-02,ART‑0002,SE,818.59
2026-03,Art 0003,SE,179.67
2026-04,ART--0004,SE,818.89
2026-05,ART-1,SE,339.29
2026-06,art0001,SE,380.44
2026-02,ART‑0002,SE,240.02
2026-03,Art 0003,SE,71.02
2026-04,ART--0004,SE,830.31
2026-05,ART-1,SE,874.71
2026-06,art0001,SE,233.43
