period,product,country,sales
2026-01,ART-0001,CZ,"442,234"
2026-03,ART-0001,CZ,"180,234"
2026-04,ART-0001,CZ,"274,234"
2026-05,ART-0001,CZ,"304,234"
2026-06,ART-0001,CZ,"584,234"
2026-01,ART-0002,CZ,"808,234"
2026-02,ART-0002,CZ,"844,234"
2026-03,ART-0002,CZ,"455,234"
2026-04,ART-0002,CZ,"368,234"
2026-06,ART-0002,CZ,"492,234"
2026-01,ART-0003,CZ,"397,234"
2026-02,ART-0003,CZ,"320,234"
2026-04,ART-0003,CZ,"811,234"
2026-05,ART-0003,CZ,"145,234"
2026-06,ART-0003,CZ,"282,234"
2026-01,ART-0004,CZ,"676,234"
2026-02,ART-0004,CZ,"307,234"
2026-03,ART-0004,CZ,"287,234"
2026-04,ART-0004,CZ,"213,234"
2026-05,ART-0004,CZ,"659,234"
2026-06,ART-0004,CZ,"539,234"
2026-01,ART-0002,DE,"528,234"
2026-02,ART-0002,DE,"219,234"
2026-03,ART-0002,DE,"644,234"
2026-05,ART-0002,DE,"714,234"
2026-06,ART-0002,DE,"161,234"
2026-01,ART-0003,DE,"858,234"
2026-03,ART-0003,DE,"828,234"
2026-04,ART-0003,DE,"20,234"
2026-05,ART-0003,DE,"49,234"
2026-06,ART-0003,DE,"204,234"
2026-01,ART-0004,DE,"484,234"
2026-02,ART-0004,DE,"198,234"
2026-03,ART-0004,DE,"544,234"
2026-04,ART-0004,DE,"95,234"
2026-05,ART-0004,DE,"369,234"
2026-01,ART-0005,DE,"218,234"
2026-02,ART-0005,DE,"434,234"
2026-03,ART-0005,DE,"630,234"
2026-04,ART-0005,DE,"180,234"
2026-05,ART-0005,DE,"403,234"
2026-06,ART-0005,DE,"254,234"
2026-01,ART-0001,FI,"182,234"
2026-02,ART-0001,FI,"839,234"
2026-03,ART-0001,FI,"809,234"
2026-04,ART-0001,FI,"56,234"
2026-05,ART-0001,FI,"616,234"
2026-06,ART-0001,FI,"819,234"
2026-01,ART-0002,FI,"450,234"
2026-02,ART-0002,FI,"491,234"
2026-03,ART-0002,FI,"485,234"
2026-04,ART-0002,FI,"150,234"
2026-05,ART-0002,FI,"798,234"
2026-06,ART-0002,FI,"295,234"
2026-01,ART-0004,FI,"694,234"
2026-02,ART-0004,FI,"102,234"
2026-03,ART-0004,FI,"448,234"
2026-04,ART-0004,FI,"367,234"
2026-05,ART-0004,FI,"88,234"
2026-06,ART-0004,FI,"288,234"
2026-01,ART-0005,FI,"225,234"
2026-02,ART-0005,FI,"725,234"
2026-03,ART-0005,FI,"333,234"
2026-04,ART-0005,FI,"132,234"
2026-05,ART-0005,FI,"560,234"
2026-06,ART-0005,FI,"819,234"
2026-01,ART-0001,SE,"251,234"
2026-02,ART-0001,SE,"819,234"
2026-03,ART-0001,SE,"180,234"
2026-04,ART-0001,SE,"819,234"
2026-05,ART-0001,SE,"339,234"
2026-06,ART-0001,SE,"380,234"
2026-02,ART-0005,SE,"240,234"
2026-03,ART-0005,SE,"71,234"
2026-04,ART-0005,SE,"830,234"
2026-05,ART-0005,SE,"875,234"
2026-06,ART-0005,SE,"233,234"
