freight,amount,unit_price,quantity,article_sku,report_period
4.04,138.3,23.05,6,ART-0000,2025-01
13.07,406.44,33.87,12,ART-0001,2025-01
11.3,285.2,28.52,10,ART-0002,2025-01
4.8,141.84,17.73,8,ART-0003,2025-01
3.44,108.55,21.71,5,ART-0004,2025-01
3.84,112.25,22.45,5,ART-0005,2025-01
10.95,353.08,27.16,13,ART-0006,2025-01
3.3,93.69,10.41,9,ART-0008,2025-01
3.18,115.4,28.85,4,ART-0009,2025-01
27.29,773.01,36.81,21,ART-0010,2025-01
14.74,434.35,25.55,17,ART-0011,2025-01
7.63,282.06,15.67,18,ART-0012,2025-01
1.58,52.32,26.16,2,ART-0013,2025-01
7.3,210.24,26.28,8,ART-0014,2025-01
23.9,687.36,28.64,24,ART-0015,2025-01
8.99,265.87,24.17,11,ART-0017,2025-01
4.33,151.02,8.39,18,ART-0018,2025-01
8.93,257.55,15.15,17,ART-0019,2025-01
12.35,464.62,35.74,13,ART-0021,2025-01
18.18,494.32,13.36,37,ART-0022,2025-01
5.07,176.99,16.09,11,ART-0023,2025-01
11.55,374.76,31.23,12,ART-0024,2025-01
2.11,104.96,26.24,4,ART-0025,2025-01
10.0,301.91,15.89,19,ART-0026,2025-01
6.15,178.22,12.73,14,ART-0027,2025-01
25.03,1043.86,27.47,38,ART-0028,2025-01
12.49,432.9,43.29,10,ART-0029,2025-01
5.57,177.16,44.29,4,ART-0030,2025-01
9.51,347.9,34.79,10,ART-0032,2025-01
6.9,227.59,20.69,11,ART-0033,2025-01
0.57,20.1,10.05,2,ART-0034,2025-01
7.1,218.68,19.88,11,ART-0035,2025-01
9.91,368.94,28.38,13,ART-0036,2025-01
11.33,398.99,23.47,17,ART-0037,2025-01
10.0,325.76,40.72,8,ART-0038,2025-01
5.6,182.35,36.47,5,ART-0039,2025-01
3.18,83.58,13.93,6,ART-0040,2025-01
13.36,503.13,16.23,31,ART-0041,2025-01
2.98,93.45,31.15,3,ART-0042,2025-01
