freight,amount,unit_price,quantity,article_sku,report_period
5.2,162.75,23.25,7,ART-0000,2025-03
20.02,666.4,33.32,20,ART-0001,2025-03
12.88,418.8,27.92,15,ART-0002,2025-03
2.97,106.44,17.74,6,ART-0003,2025-03
3.47,109.55,21.91,5,ART-0004,2025-03
4.2,114.0,22.8,5,ART-0005,2025-03
10.97,327.12,27.26,12,ART-0006,2025-03
4.46,171.52,21.44,8,ART-0007,2025-03
2.05,61.02,10.17,6,ART-0008,2025-03
8.55,286.5,28.65,10,ART-0009,2025-03
17.16,635.12,37.36,17,ART-0010,2025-03
17.24,538.44,25.64,21,ART-0011,2025-03
10.59,313.8,15.69,20,ART-0012,2025-03
2.48,79.35,26.45,3,ART-0013,2025-03
23.8,695.75,27.83,25,ART-0015,2025-03
20.13,603.12,43.08,14,ART-0016,2025-03
4.2,143.28,23.88,6,ART-0017,2025-03
4.09,152.28,8.46,18,ART-0018,2025-03
10.89,435.9,29.06,15,ART-0020,2025-03
15.51,366.1,36.61,10,ART-0021,2025-03
16.06,548.0,13.7,40,ART-0022,2025-03
11.12,309.6,30.96,10,ART-0024,2025-03
4.6,127.75,25.55,5,ART-0025,2025-03
4.17,167.96,12.92,13,ART-0027,2025-03
22.96,902.55,27.35,33,ART-0028,2025-03
14.1,548.08,42.16,13,ART-0029,2025-03
5.14,181.72,45.43,4,ART-0030,2025-03
18.3,584.5,16.7,35,ART-0031,2025-03
15.3,448.63,34.51,13,ART-0032,2025-03
10.23,310.8,20.72,15,ART-0033,2025-03
1.22,39.8,9.95,4,ART-0034,2025-03
5.93,196.7,19.67,10,ART-0035,2025-03
13.27,427.35,28.49,15,ART-0036,2025-03
13.07,453.72,23.88,19,ART-0037,2025-03
10.13,286.79,40.97,7,ART-0038,2025-03
13.1,368.1,36.81,10,ART-0039,2025-03
2.35,82.5,13.75,6,ART-0040,2025-03
3.47,127.16,31.79,4,ART-0042,2025-03
2.03,84.1,16.82,5,ART-0043,2025-03
19.22,638.0,11.6,55,ART-0044,2025-03
9.96,263.12,23.92,11,ART-0046,2025-03
4.37,144.6,24.1,6,ART-0047,2025-03
11.33,291.0,14.55,20,ART-0048,2025-03
6.4,212.95,42.59,5,ART-0049,2025-03
6.28,196.44,32.74,6,ART-0050,2025-03
3.14,116.8,7.3,16,ART-0051,2025-03
3.44,104.75,20.95,5,ART-0052,2025-03
16.83,524.3,14.98,35,ART-0053,2025-03
9.64,241.05,16.07,15,ART-0054,2025-03
7.77,246.24,15.39,16,ART-0055,2025-03
10.04,398.86,28.49,14,ART-0056,2025-03
28.94,840.7,24.02,35,ART-0057,2025-03
14.69,478.32,39.86,12,ART-0058,2025-03
3.69,125.28,10.44,12,ART-0059,2025-03
9.63,317.75,10.25,31,ART-0060,2025-03
3.9,154.24,19.28,8,ART-0061,2025-03
7.37,188.52,15.71,12,ART-0063,2025-03
7.46,190.2,12.68,15,ART-0064,2025-03
13.61,394.56,32.88,12,ART-0065,2025-03
3.32,147.4,36.85,4,ART-0066,2025-03
6.14,206.1,13.74,15,ART-0067,2025-03
42.45,1316.16,73.12,18,ART-0068,2025-03
4.52,196.17,15.09,13,ART-0069,2025-03
12.97,386.91,42.99,9,ART-0070,2025-03
8.25,258.28,23.48,11,ART-0072,2025-03
5.78,192.1,19.21,10,ART-0073,2025-03
6.19,205.65,22.85,9,ART-0074,2025-03
3.52,119.25,13.25,9,ART-0076,2025-03
3.42,88.38,14.73,6,ART-0077,2025-03
10.21,402.0,20.1,20,ART-0078,2025-03
2.25,82.62,13.77,6,ART-0079,2025-03
1.33,56.8,14.2,4,ART-0081,2025-03
25.14,840.99,49.47,17,ART-0082,2025-03
11.43,326.52,18.14,18,ART-0083,2025-03
10.65,328.86,15.66,21,ART-0084,2025-03
44.55,1513.5,50.45,30,ART-0085,2025-03
16.37,491.51,21.37,23,ART-0088,2025-03
9.5,313.76,39.22,8,ART-0089,2025-03
15.41,476.28,22.68,21,ART-0090,2025-03
15.16,407.4,20.37,20,ART-0091,2025-03
20.39,747.84,31.16,24,ART-0092,2025-03
3.02,110.72,13.84,8,ART-0093,2025-03
4.46,149.63,11.51,13,ART-0094,2025-03
6.17,233.07,13.71,17,ART-0095,2025-03
2.08,73.44,24.48,3,ART-0099,2025-03
1.98,68.11,9.73,7,ART-0100,2025-03
12.28,337.05,22.47,15,ART-0101,2025-03
7.38,292.63,22.51,13,ART-0102,2025-03
6.68,239.02,14.06,17,ART-0103,2025-03
2.03,64.35,7.15,9,ART-0105,2025-03
21.19,712.4,35.62,20,ART-0106,2025-03
19.23,601.56,33.42,18,ART-0107,2025-03
3.97,114.9,19.15,6,ART-0108,2025-03
3.16,101.05,20.21,5,ART-0109,2025-03
8.85,277.92,11.58,24,ART-0110,2025-03
12.85,417.0,27.8,15,ART-0111,2025-03
2.4,89.6,17.92,5,ART-0112,2025-03
25.82,742.18,17.26,43,ART-0113,2025-03
3.73,126.85,25.37,5,ART-0114,2025-03
4.12,114.96,19.16,6,ART-0115,2025-03
5.96,169.0,13.0,13,ART-0116,2025-03
32.07,1075.9,37.1,29,ART-0117,2025-03
3.3,141.48,15.72,9,ART-0118,2025-03
6.08,172.85,34.57,5,ART-0119,2025-03
5.24,159.3,10.62,15,ART-0120,2025-03
7.16,220.4,11.6,19,ART-0121,2025-03
7.16,255.53,23.23,11,ART-0122,2025-03
3.47,125.72,17.96,7,ART-0123,2025-03
4.88,172.65,11.51,15,ART-0124,2025-03
12.23,472.56,14.32,33,ART-0125,2025-03
6.0,215.4,17.95,12,ART-0126,2025-03
6.44,209.55,19.05,11,ART-0127,2025-03
2.95,96.6,9.66,10,ART-0128,2025-03
12.11,365.1,36.51,10,ART-0129,2025-03
