article_sku,2025-04
ART-0000,162.12
ART-0001,337.9
ART-0002,420.9
ART-0003,90.5
ART-0004,132.24
ART-0005,185.36
ART-0007,153.79
ART-0008,72.1
ART-0009,171.0
ART-0012,258.4
ART-0013,103.92
ART-0014,233.82
ART-0015,572.2
ART-0016,213.65
ART-0018,170.4
ART-0019,212.24
ART-0020,351.12
ART-0021,405.46
ART-0022,445.5
ART-0023,145.53
ART-0025,101.4
ART-0026,355.74
ART-0027,117.54
ART-0029,855.6
ART-0030,137.64
ART-0031,565.29
ART-0032,591.6
ART-0033,250.2
ART-0035,223.08
ART-0036,477.53
ART-0037,507.32
ART-0038,247.38
ART-0039,295.92
ART-0040,123.12
ART-0041,772.21
ART-0042,125.88
ART-0043,84.55
ART-0045,71.2
ART-0046,261.47
ART-0047,146.04
ART-0049,212.2
ART-0050,354.64
ART-0051,124.61
ART-0052,64.32
ART-0053,501.6
ART-0054,172.81
ART-0055,155.8
ART-0056,598.71
ART-0057,669.76
ART-0058,478.56
ART-0059,134.42
ART-0061,116.7
ART-0062,82.24
ART-0064,189.3
ART-0065,581.22
ART-0066,151.8
ART-0067,124.47
ART-0068,799.48
ART-0069,182.52
ART-0070,216.65
ART-0072,402.73
ART-0074,89.68
ART-0075,285.11
ART-0076,92.75
ART-0077,73.4
ART-0078,238.44
ART-0079,55.64
ART-0080,633.42
ART-0081,70.85
ART-0082,797.76
ART-0083,290.08
ART-0086,469.87
ART-0087,56.62
ART-0088,301.0
ART-0089,388.1
ART-0090,178.4
ART-0091,669.24
ART-0092,752.16
ART-0093,69.3
ART-0094,133.68
ART-0095,147.95
ART-0098,95.08
ART-0100,78.24
ART-0101,513.82
ART-0102,427.5
ART-0103,206.25
ART-0104,176.88
ART-0105,93.21
ART-0106,865.68
ART-0107,495.9
ART-0108,152.4
ART-0109,101.55
ART-0110,266.34
ART-0111,387.8
ART-0112,71.76
ART-0113,392.15
ART-0116,117.27
ART-0117,1602.18
ART-0118,109.83
ART-0119,208.5
ART-0120,243.8
ART-0122,278.64
ART-0123,162.54
ART-0125,420.21
ART-0127,207.24
ART-0128,88.02
ART-0129,436.68
ART-0130,397.12
ART-0131,204.12
ART-0132,248.24
ART-0133,118.89
ART-0135,223.38
ART-0136,504.63
ART-0137,191.16
ART-0138,190.2
ART-0139,319.8
ART-0140,76.68
ART-0142,116.7
ART-0143,188.7
ART-0144,134.68
ART-0145,413.44
ART-0146,57.2
ART-0148,1068.94
ART-0149,185.02
