freight,amount,unit_price,quantity,article_sku,report_period
4.96,162.12,23.16,7,ART-0000,2025-04
12.81,337.9,33.79,10,ART-0001,2025-04
16.28,420.9,28.06,15,ART-0002,2025-04
2.91,90.5,18.1,5,ART-0003,2025-04
4.21,132.24,22.04,6,ART-0004,2025-04
7.14,185.36,23.17,8,ART-0005,2025-04
4.76,153.79,21.97,7,ART-0007,2025-04
3.07,72.1,10.3,7,ART-0008,2025-04
4.72,171.0,28.5,6,ART-0009,2025-04
6.85,258.4,16.15,16,ART-0012,2025-04
3.52,103.92,25.98,4,ART-0013,2025-04
5.09,233.82,25.98,9,ART-0014,2025-04
17.36,572.2,28.61,20,ART-0015,2025-04
7.63,213.65,42.73,5,ART-0016,2025-04
4.76,170.4,8.52,20,ART-0018,2025-04
6.91,212.24,15.16,14,ART-0019,2025-04
11.04,351.12,29.26,12,ART-0020,2025-04
12.33,405.46,36.86,11,ART-0021,2025-04
11.77,445.5,13.5,33,ART-0022,2025-04
5.89,145.53,16.17,9,ART-0023,2025-04
3.04,101.4,25.35,4,ART-0025,2025-04
13.28,355.74,16.17,22,ART-0026,2025-04
4.01,117.54,13.06,9,ART-0027,2025-04
31.6,855.6,42.78,20,ART-0029,2025-04
3.33,137.64,45.88,3,ART-0030,2025-04
16.48,565.29,17.13,33,ART-0031,2025-04
17.96,591.6,34.8,17,ART-0032,2025-04
6.85,250.2,20.85,12,ART-0033,2025-04
5.69,223.08,20.28,11,ART-0035,2025-04
13.77,477.53,28.09,17,ART-0036,2025-04
17.42,507.32,23.06,22,ART-0037,2025-04
7.69,247.38,41.23,6,ART-0038,2025-04
6.23,295.92,36.99,8,ART-0039,2025-04
4.28,123.12,13.68,9,ART-0040,2025-04
16.53,772.21,16.43,47,ART-0041,2025-04
3.98,125.88,31.47,4,ART-0042,2025-04
2.55,84.55,16.91,5,ART-0043,2025-04
2.13,71.2,14.24,5,ART-0045,2025-04
6.43,261.47,23.77,11,ART-0046,2025-04
4.03,146.04,24.34,6,ART-0047,2025-04
6.18,212.2,42.44,5,ART-0049,2025-04
9.57,354.64,32.24,11,ART-0050,2025-04
