report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-03,ART-0000,7,23.25,0.0,162.75,5.2
2025-03,ART-0001,20,33.32,0.0,666.4,20.02
2025-03,ART-0002,15,27.92,0.0,418.8,12.88
2025-03,ART-0003,6,17.74,0.0,106.44,2.97
2025-03,ART-0004,5,21.91,0.0,109.55,3.47
2025-03,ART-0005,5,22.8,0.0,114.0,4.2
2025-03,ART-0006,12,27.26,0.0,327.12,10.97
2025-03,ART-0007,8,21.44,0.0,171.52,4.46
2025-03,ART-0008,6,10.17,0.0,61.02,2.05
2025-03,ART-0009,10,28.65,0.0,286.5,8.55
2025-03,ART-0010,17,37.36,0.0,635.12,17.16
2025-03,ART-0011,21,25.64,0.0,538.44,17.24
2025-03,ART-0012,20,15.69,0.0,313.8,10.59
2025-03,ART-0013,3,26.45,0.0,79.35,2.48
2025-03,ART-0015,25,27.83,0.0,695.75,23.8
2025-03,ART-0016,14,43.08,0.0,603.12,20.13
2025-03,ART-0017,6,23.88,0.0,143.28,4.2
2025-03,ART-0018,18,8.46,0.0,152.28,4.09
2025-03,ART-0020,15,29.06,0.0,435.9,10.89
2025-03,ART-0021,10,36.61,0.0,366.1,15.51
2025-03,ART-0022,40,13.7,0.0,548.0,16.06
2025-03,ART-0024,10,30.96,0.0,309.6,11.12
2025-03,ART-0025,5,25.55,0.0,127.75,4.6
2025-03,ART-0027,13,12.92,0.0,167.96,4.17
2025-03,ART-0028,33,27.35,0.0,902.55,22.96
2025-03,ART-0029,13,42.16,0.0,548.08,14.1
2025-03,ART-0030,4,45.43,0.0,181.72,5.14
2025-03,ART-0031,35,16.7,0.0,584.5,18.3
2025-03,ART-0032,13,34.51,0.0,448.63,15.3
2025-03,ART-0033,15,20.72,0.0,310.8,10.23
2025-03,ART-0034,4,9.95,0.0,39.8,1.22
2025-03,ART-0035,10,19.67,0.0,196.7,5.93
2025-03,ART-0036,15,28.49,0.0,427.35,13.27
2025-03,ART-0037,19,23.88,0.0,453.72,13.07
2025-03,ART-0038,7,40.97,0.0,286.79,10.13
2025-03,ART-0039,10,36.81,0.0,368.1,13.1
2025-03,ART-0040,6,13.75,0.0,82.5,2.35
2025-03,ART-0042,4,31.79,0.0,127.16,3.47
2025-03,ART-0043,5,16.82,0.0,84.1,2.03
2025-03,ART-0044,55,11.6,0.0,638.0,19.22
2025-03,ART-0046,11,23.92,0.0,263.12,9.96
2025-03,ART-0047,6,24.1,0.0,144.6,4.37
2025-03,ART-0048,20,14.55,0.0,291.0,11.33
2025-03,ART-0049,5,42.59,0.0,212.95,6.4
2025-03,ART-0050,6,32.74,0.0,196.44,6.28
2025-03,ART-0051,16,7.3,0.0,116.8,3.14
2025-03,ART-0052,5,20.95,0.0,104.75,3.44
2025-03,ART-0053,35,14.98,0.0,524.3,16.83
2025-03,ART-0054,15,16.07,0.0,241.05,9.64
2025-03,ART-0055,16,15.39,0.0,246.24,7.77
2025-03,ART-0056,14,28.49,0.0,398.86,10.04
2025-03,ART-0057,35,24.02,0.0,840.7,28.94
2025-03,ART-0058,12,39.86,0.0,478.32,14.69
2025-03,ART-0059,12,10.44,0.0,125.28,3.69
2025-03,ART-0060,31,10.25,0.0,317.75,9.63
2025-03,ART-0061,8,19.28,0.0,154.24,3.9
2025-03,ART-0063,12,15.71,0.0,188.52,7.37
2025-03,ART-0064,15,12.68,0.0,190.2,7.46
2025-03,ART-0065,12,32.88,0.0,394.56,13.61
2025-03,ART-0066,4,36.85,0.0,147.4,3.32
2025-03,ART-0067,15,13.74,0.0,206.1,6.14
2025-03,ART-0068,18,73.12,0.0,1316.16,42.45
2025-03,ART-0069,13,15.09,0.0,196.17,4.52
2025-03,ART-0070,9,42.99,0.0,386.91,12.97
2025-03,ART-0072,11,23.48,0.0,258.28,8.25
2025-03,ART-0073,10,19.21,0.0,192.1,5.78
2025-03,ART-0074,9,22.85,0.0,205.65,6.19
2025-03,ART-0076,9,13.25,0.0,119.25,3.52
