report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-01,ART-0000,6,23.05,0.0,138.3,4.04
2025-01,ART-0001,12,33.87,0.0,406.44,13.07
2025-01,ART-0002,10,28.52,0.0,285.2,11.3
2025-01,ART-0003,8,17.73,0.0,141.84,4.8
2025-01,ART-0004,5,21.71,0.0,108.55,3.44
2025-01,ART-0005,5,22.45,0.0,112.25,3.84
2025-01,ART-0006,13,27.16,0.0,353.08,10.95
2025-01,ART-0008,9,10.41,0.0,93.69,3.3
2025-01,ART-0009,4,28.85,0.0,115.4,3.18
2025-01,ART-0010,21,36.81,0.0,773.01,27.29
2025-01,ART-0011,17,25.55,0.0,434.35,14.74
2025-01,ART-0012,18,15.67,0.0,282.06,7.63
2025-01,ART-0013,2,26.16,0.0,52.32,1.58
2025-01,ART-0014,8,26.28,0.0,210.24,7.3
2025-01,ART-0015,24,28.64,0.0,687.36,23.9
2025-01,ART-0017,11,24.17,0.0,265.87,8.99
2025-01,ART-0018,18,8.39,0.0,151.02,4.33
2025-01,ART-0019,17,15.15,0.0,257.55,8.93
2025-01,ART-0021,13,35.74,0.0,464.62,12.35
2025-01,ART-0022,37,13.36,0.0,494.32,18.18
2025-01,ART-0023,11,16.09,0.0,176.99,5.07
2025-01,ART-0024,12,31.23,0.0,374.76,11.55
2025-01,ART-0025,4,26.24,0.0,104.96,2.11
2025-01,ART-0026,19,15.89,0.0,301.91,10.0
2025-01,ART-0027,14,12.73,0.0,178.22,6.15
2025-01,ART-0028,38,27.47,0.0,1043.86,25.03
2025-01,ART-0029,10,43.29,0.0,432.9,12.49
2025-01,ART-0030,4,44.29,0.0,177.16,5.57
2025-01,ART-0032,10,34.79,0.0,347.9,9.51
2025-01,ART-0033,11,20.69,0.0,227.59,6.9
2025-01,ART-0034,2,10.05,0.0,20.1,0.57
2025-01,ART-0035,11,19.88,0.0,218.68,7.1
2025-01,ART-0036,13,28.38,0.0,368.94,9.91
2025-01,ART-0037,17,23.47,0.0,398.99,11.33
2025-01,ART-0038,8,40.72,0.0,325.76,10.0
2025-01,ART-0039,5,36.47,0.0,182.35,5.6
2025-01,ART-0040,6,13.93,0.0,83.58,3.18
2025-01,ART-0041,31,16.23,0.0,503.13,13.36
2025-01,ART-0042,3,31.15,0.0,93.45,2.98
2025-01,ART-0043,5,16.78,0.0,83.9,2.57
2025-01,ART-0044,44,11.71,0.0,515.24,17.11
2025-01,ART-0045,6,14.4,0.0,86.4,2.5
2025-01,ART-0046,13,23.53,0.0,305.89,10.64
2025-01,ART-0047,4,24.61,0.0,98.44,2.76
2025-01,ART-0048,19,14.57,0.0,276.83,9.63
2025-01,ART-0049,5,43.16,0.0,215.8,7.68
2025-01,ART-0050,4,32.76,0.0,131.04,3.31
2025-01,ART-0051,9,7.17,0.0,64.53,1.89
2025-01,ART-0052,5,21.24,0.0,106.2,3.85
2025-01,ART-0053,23,15.29,0.0,351.67,10.64
2025-01,ART-0054,8,15.94,0.0,127.52,3.23
2025-01,ART-0055,11,15.32,0.0,168.52,4.76
2025-01,ART-0056,21,28.2,0.0,592.2,17.78
2025-01,ART-0058,9,40.18,0.0,361.62,9.84
2025-01,ART-0059,9,10.31,0.0,92.79,3.07
2025-01,ART-0060,18,10.27,0.0,184.86,6.67
2025-01,ART-0061,6,19.32,0.0,115.92,3.12
2025-01,ART-0062,7,20.42,0.0,142.94,4.13
2025-01,ART-0063,10,15.7,0.0,157.0,5.39
2025-01,ART-0064,19,12.53,0.0,238.07,7.98
2025-01,ART-0065,10,32.55,0.0,325.5,10.67
2025-01,ART-0067,16,13.85,0.0,221.6,7.64
2025-01,ART-0068,11,73.09,0.0,803.99,24.7
2025-01,ART-0069,12,15.33,0.0,183.96,5.83
2025-01,ART-0070,6,44.57,0.0,267.42,8.27
2025-01,ART-0071,9,7.43,0.0,66.87,1.91
2025-01,ART-0072,13,23.5,0.0,305.5,10.02
2025-01,ART-0073,11,19.25,0.0,211.75,6.34
2025-01,ART-0075,5,41.44,0.0,207.2,5.94
2025-01,ART-0077,5,14.87,0.0,74.35,2.16
2025-01,ART-0079,6,14.06,0.0,84.36,2.91
2025-01,ART-0080,15,37.46,0.0,561.9,18.79
2025-01,ART-0081,6,14.36,0.0,86.16,2.66
2025-01,ART-0082,11,49.4,0.0,543.4,20.72
2025-01,ART-0083,15,18.18,0.0,272.7,8.57
2025-01,ART-0084,13,16.01,0.0,208.13,6.64
2025-01,ART-0085,38,50.45,0.0,1917.1,55.58
2025-01,ART-0086,23,24.82,0.0,570.86,17.19
2025-01,ART-0087,4,27.97,0.0,111.88,3.32
2025-01,ART-0088,24,20.99,0.0,503.76,10.0
2025-01,ART-0089,14,38.3,0.0,536.2,16.92
2025-01,ART-0091,21,20.46,0.0,429.66,11.38
2025-01,ART-0092,18,31.2,0.0,561.6,14.17
2025-01,ART-0093,7,13.85,0.0,96.95,3.3
2025-01,ART-0094,8,11.16,0.0,89.28,2.95
2025-01,ART-0095,18,13.6,0.0,244.8,7.06
2025-01,ART-0096,26,14.41,0.0,374.66,11.01
2025-01,ART-0097,22,30.63,0.0,673.86,13.9
2025-01,ART-0098,5,24.1,0.0,120.5,3.51
2025-01,ART-0099,5,24.27,0.0,121.35,2.83
2025-01,ART-0100,9,9.82,0.0,88.38,2.97
2025-01,ART-0101,22,22.83,0.0,502.26,14.54
2025-01,ART-0102,11,22.57,0.0,248.27,8.04
2025-01,ART-0103,18,13.79,0.0,248.22,9.75
2025-01,ART-0104,15,21.65,0.0,324.75,9.71
2025-01,ART-0106,30,35.52,0.0,1065.6,37.95
2025-01,ART-0107,17,33.26,0.0,565.42,17.62
2025-01,ART-0108,7,19.09,0.0,133.63,3.97
2025-01,ART-0109,4,20.18,0.0,80.72,2.06
2025-01,ART-0110,22,11.51,0.0,253.22,7.22
2025-01,ART-0111,9,27.61,0.0,248.49,6.53
2025-01,ART-0112,5,17.75,0.0,88.75,2.66
2025-01,ART-0113,19,17.02,0.0,323.38,8.62
2025-01,ART-0115,7,19.15,0.0,134.05,4.71
2025-01,ART-0117,22,38.36,0.0,843.92,24.93
2025-01,ART-0119,6,35.11,0.0,210.66,8.53
2025-01,ART-0121,13,11.62,0.0,151.06,5.7
2025-01,ART-0122,10,23.03,0.0,230.3,6.33
2025-01,ART-0123,5,17.92,0.0,89.6,2.92
2025-01,ART-0124,15,11.25,0.0,168.75,4.18
2025-01,ART-0125,12,14.57,0.0,174.84,6.2
2025-01,ART-0126,17,17.59,0.0,299.03,9.02
2025-01,ART-0127,11,18.89,0.0,207.79,5.98
2025-01,ART-0128,11,10.02,0.0,110.22,4.3
2025-01,ART-0129,6,35.83,0.0,214.98,6.25
2025-01,ART-0130,8,50.92,0.0,407.36,12.91
2025-01,ART-0131,6,33.96,0.0,203.76,5.27
2025-01,ART-0133,4,13.17,0.0,52.68,1.77
2025-01,ART-0134,9,17.22,0.0,154.98,5.49
2025-01,ART-0135,15,12.76,0.0,191.4,4.91
2025-01,ART-0137,10,21.13,0.0,211.3,7.71
2025-01,ART-0139,14,16.23,0.0,227.22,5.76
2025-01,ART-0140,5,19.15,0.0,95.75,2.82
2025-01,ART-0141,4,18.78,0.0,75.12,2.38
2025-01,ART-0143,10,18.87,0.0,188.7,6.24
2025-01,ART-0144,3,18.95,0.0,56.85,1.82
2025-01,ART-0146,4,11.56,0.0,46.24,1.15
2025-01,ART-0147,17,25.39,0.0,431.63,10.42
2025-01,ART-0148,38,28.17,0.0,1070.46,32.36
2025-01,ART-0149,5,17.09,0.0,85.45,2.97
