report_period,article_sku,quantity,unit_price,amount,freight
2025-04,ART-0000,7,23.16,167.45,4.96
2025-04,ART-0001,10,33.79,351.67,12.81
2025-04,ART-0002,15,28.06,438.4,16.28
2025-04,ART-0003,5,18.1,93.63,2.91
2025-04,ART-0004,6,22.04,136.77,4.21
2025-04,ART-0005,8,23.17,193.04,7.14
2025-04,ART-0007,7,21.97,158.91,4.76
2025-04,ART-0008,7,10.3,75.4,3.07
2025-04,ART-0009,6,28.5,176.07,4.72
2025-04,ART-0012,16,16.15,265.76,6.85
2025-04,ART-0013,4,25.98,107.7,3.52
2025-04,ART-0014,9,25.98,239.29,5.09
2025-04,ART-0015,20,28.61,590.86,17.36
2025-04,ART-0016,5,42.73,221.85,7.63
2025-04,ART-0018,20,8.52,175.52,4.76
2025-04,ART-0019,14,15.16,219.67,6.91
2025-04,ART-0020,12,29.26,362.99,11.04
2025-04,ART-0021,11,36.86,418.71,12.33
2025-04,ART-0022,33,13.5,458.15,11.77
2025-04,ART-0023,9,16.17,151.86,5.89
2025-04,ART-0025,4,25.35,104.67,3.04
2025-04,ART-0026,22,16.17,370.02,13.28
2025-04,ART-0027,9,13.06,121.85,4.01
2025-04,ART-0029,20,42.78,889.57,31.6
2025-04,ART-0030,3,45.88,141.22,3.33
2025-04,ART-0031,33,17.13,583.01,16.48
2025-04,ART-0032,17,34.8,610.91,17.96
2025-04,ART-0033,12,20.85,257.56,6.85
2025-04,ART-0035,11,20.28,229.2,5.69
2025-04,ART-0036,17,28.09,492.33,13.77
2025-04,ART-0037,22,23.06,526.05,17.42
2025-04,ART-0038,6,41.23,255.65,7.69
2025-04,ART-0039,8,36.99,302.62,6.23
2025-04,ART-0040,9,13.68,127.72,4.28
2025-04,ART-0041,47,16.43,789.98,16.53
2025-04,ART-0042,4,31.47,130.16,3.98
2025-04,ART-0043,5,16.91,87.29,2.55
2025-04,ART-0045,5,14.24,73.49,2.13
2025-04,ART-0046,11,23.77,268.38,6.43
2025-04,ART-0047,6,24.34,150.37,4.03
2025-04,ART-0049,5,42.44,218.84,6.18
2025-04,ART-0050,11,32.24,364.93,9.57
2025-04,ART-0051,17,7.33,129.15,4.22
2025-04,ART-0052,3,21.44,66.29,1.83
2025-04,ART-0053,33,15.2,519.76,16.89
2025-04,ART-0054,11,15.71,177.94,4.77
2025-04,ART-0055,10,15.58,161.39,5.2
2025-04,ART-0056,21,28.51,621.61,21.3
2025-04,ART-0057,28,23.92,694.88,23.37
2025-04,ART-0058,12,39.88,493.32,13.73
2025-04,ART-0059,13,10.34,140.57,5.72
2025-04,ART-0061,6,19.45,120.59,3.62
2025-04,ART-0062,4,20.56,85.31,2.86
2025-04,ART-0064,15,12.62,195.3,5.58
2025-04,ART-0065,18,32.29,601.3,18.68
2025-04,ART-0066,4,37.95,156.74,4.6
2025-04,ART-0067,9,13.83,129.44,4.62
2025-04,ART-0068,11,72.68,826.71,25.33
2025-04,ART-0069,12,15.21,188.07,5.16
2025-04,ART-0070,5,43.33,223.52,6.39
2025-04,ART-0072,17,23.69,417.15,13.41
2025-04,ART-0074,4,22.42,92.85,2.95
2025-04,ART-0075,7,40.73,297.51,11.54
2025-04,ART-0076,7,13.25,95.93,2.96
2025-04,ART-0077,5,14.68,75.8,2.23
2025-04,ART-0078,12,19.87,246.32,7.33
2025-04,ART-0079,4,13.91,57.35,1.59
2025-04,ART-0080,17,37.26,653.99,19.14
