invoice date,desc,pcs,unit cost,gross,freight
2025-10,ART-0000,8,23.05,184.4,4.36
2025-10,ART-0001,20,33.81,676.2,16.04
2025-10,ART-0002,16,27.66,442.56,14.25
2025-10,ART-0003,6,18.09,108.54,4.02
2025-10,ART-0004,8,22.01,176.08,6.56
2025-10,ART-0005,4,23.02,92.08,2.31
2025-10,ART-0006,11,27.0,297.0,8.64
2025-10,ART-0007,5,22.25,111.25,3.07
2025-10,ART-0009,5,28.36,141.8,3.7
2025-10,ART-0010,21,37.01,777.21,26.78
2025-10,ART-0012,20,15.91,318.2,7.46
2025-10,ART-0013,3,25.54,76.62,2.65
2025-10,ART-0014,6,26.29,157.74,4.91
2025-10,ART-0015,18,27.67,498.06,14.65
2025-10,ART-0016,11,43.12,474.32,15.99
2025-10,ART-0019,12,15.06,180.72,5.16
2025-10,ART-0022,36,13.39,482.04,14.83
2025-10,ART-0023,13,15.85,206.05,6.29
2025-10,ART-0024,10,30.98,309.8,7.71
2025-10,ART-0025,6,25.4,152.4,4.68
2025-10,ART-0026,23,16.13,370.99,12.46
2025-10,ART-0027,13,12.84,166.92,5.78
2025-10,ART-0028,37,27.57,1020.09,36.76
2025-10,ART-0029,11,42.09,462.99,11.78
2025-10,ART-0031,25,16.54,413.5,11.43
2025-10,ART-0032,15,34.81,522.15,14.27
2025-10,ART-0033,13,20.73,269.49,5.84
2025-10,ART-0034,4,9.97,39.88,1.04
2025-10,ART-0035,9,19.63,176.67,6.04
2025-10,ART-0036,13,28.16,366.08,8.52
2025-10,ART-0037,16,23.52,376.32,10.94
2025-10,ART-0038,8,40.9,327.2,10.77
2025-10,ART-0039,12,36.37,436.44,13.58
2025-10,ART-0041,29,16.56,480.24,18.36
2025-10,ART-0042,2,31.74,63.48,1.95
2025-10,ART-0043,5,17.09,85.45,3.35
2025-10,ART-0044,36,11.73,422.28,12.9
2025-10,ART-0045,7,14.27,99.89,3.53
2025-10,ART-0046,16,23.35,373.6,13.83
2025-10,ART-0047,8,24.38,195.04,5.94
2025-10,ART-0048,25,14.58,364.5,12.73
2025-10,ART-0049,6,41.59,249.54,7.84
2025-10,ART-0050,10,32.42,324.2,10.13
2025-10,ART-0052,5,21.49,107.45,3.64
2025-10,ART-0053,22,15.36,337.92,9.02
2025-10,ART-0054,18,15.6,280.8,8.08
2025-10,ART-0055,10,15.39,153.9,4.88
2025-10,ART-0056,25,29.21,730.25,17.38
2025-10,ART-0057,20,24.17,483.4,21.07
2025-10,ART-0058,15,40.24,603.6,15.04
2025-10,ART-0061,7,19.59,137.13,4.31
2025-10,ART-0062,8,20.48,163.84,5.4
2025-10,ART-0063,12,15.68,188.16,5.56
2025-10,ART-0064,29,12.62,365.98,8.83
2025-10,ART-0065,8,32.44,259.52,9.8
2025-10,ART-0066,3,36.98,110.94,2.14
2025-10,ART-0067,15,13.92,208.8,6.12
2025-10,ART-0068,9,72.64,653.76,22.22
2025-10,ART-0069,11,15.13,166.43,4.53
2025-10,ART-0070,6,43.88,263.28,8.47
2025-10,ART-0071,15,7.29,109.35,3.57
2025-10,ART-0074,6,22.49,134.94,3.78
2025-10,ART-0075,6,40.94,245.64,7.11
2025-10,ART-0076,7,12.96,90.72,2.58
2025-10,ART-0078,13,19.92,258.96,9.91
2025-10,ART-0079,4,13.66,54.64,2.05
2025-10,ART-0081,5,14.14,70.7,2.71
2025-10,ART-0083,19,18.21,345.99,8.42
2025-10,ART-0084,14,15.57,217.98,7.78
2025-10,ART-0085,52,51.07,2655.64,90.75
2025-10,ART-0088,28,21.32,596.96,18.97
2025-10,ART-0089,9,39.03,351.27,10.86
2025-10,ART-0090,10,23.1,231.0,6.39
2025-10,ART-0091,26,20.45,531.7,14.39
2025-10,ART-0092,30,30.73,921.9,26.22
2025-10,ART-0093,9,13.9,125.1,4.02
2025-10,ART-0094,12,11.19,134.28,5.43
2025-10,ART-0095,8,13.52,108.16,3.39
2025-10,ART-0096,9,14.55,130.95,4.29
2025-10,ART-0097,21,31.26,656.46,26.34
2025-10,ART-0098,5,24.07,120.35,3.24
2025-10,ART-0099,3,24.55,73.65,1.95
2025-10,ART-0100,11,9.87,108.57,2.86
2025-10,ART-0101,21,22.08,463.68,16.22
2025-10,ART-0102,13,22.32,290.16,8.74
2025-10,ART-0103,18,13.68,246.24,7.71
2025-10,ART-0104,16,21.45,343.2,10.14
2025-10,ART-0105,10,7.23,72.3,2.41
2025-10,ART-0106,28,35.53,994.84,24.63
2025-10,ART-0107,22,33.13,728.86,14.89
