freight,amount,unit_price,quantity,article_sku,report_period
4.36,184.4,23.05,8,ART-0000,2025-10
16.04,676.2,33.81,20,ART-0001,2025-10
14.25,442.56,27.66,16,ART-0002,2025-10
4.02,108.54,18.09,6,ART-0003,2025-10
6.56,176.08,22.01,8,ART-0004,2025-10
2.31,92.08,23.02,4,ART-0005,2025-10
8.64,297.0,27.0,11,ART-0006,2025-10
3.07,111.25,22.25,5,ART-0007,2025-10
3.7,141.8,28.36,5,ART-0009,2025-10
26.78,777.21,37.01,21,ART-0010,2025-10
7.46,318.2,15.91,20,ART-0012,2025-10
2.65,76.62,25.54,3,ART-0013,2025-10
4.91,157.74,26.29,6,ART-0014,2025-10
14.65,498.06,27.67,18,ART-0015,2025-10
15.99,474.32,43.12,11,ART-0016,2025-10
5.16,180.72,15.06,12,ART-0019,2025-10
14.83,482.04,13.39,36,ART-0022,2025-10
6.29,206.05,15.85,13,ART-0023,2025-10
7.71,309.8,30.98,10,ART-0024,2025-10
4.68,152.4,25.4,6,ART-0025,2025-10
12.46,370.99,16.13,23,ART-0026,2025-10
5.78,166.92,12.84,13,ART-0027,2025-10
36.76,1020.09,27.57,37,ART-0028,2025-10
11.78,462.99,42.09,11,ART-0029,2025-10
11.43,413.5,16.54,25,ART-0031,2025-10
14.27,522.15,34.81,15,ART-0032,2025-10
5.84,269.49,20.73,13,ART-0033,2025-10
1.04,39.88,9.97,4,ART-0034,2025-10
6.04,176.67,19.63,9,ART-0035,2025-10
8.52,366.08,28.16,13,ART-0036,2025-10
10.94,376.32,23.52,16,ART-0037,2025-10
10.77,327.2,40.9,8,ART-0038,2025-10
13.58,436.44,36.37,12,ART-0039,2025-10
18.36,480.24,16.56,29,ART-0041,2025-10
1.95,63.48,31.74,2,ART-0042,2025-10
3.35,85.45,17.09,5,ART-0043,2025-10
12.9,422.28,11.73,36,ART-0044,2025-10
3.53,99.89,14.27,7,ART-0045,2025-10
13.83,373.6,23.35,16,ART-0046,2025-10
5.94,195.04,24.38,8,ART-0047,2025-10
12.73,364.5,14.58,25,ART-0048,2025-10
7.84,249.54,41.59,6,ART-0049,2025-10
10.13,324.2,32.42,10,ART-0050,2025-10
3.64,107.45,21.49,5,ART-0052,2025-10
9.02,337.92,15.36,22,ART-0053,2025-10
8.08,280.8,15.6,18,ART-0054,2025-10
4.88,153.9,15.39,10,ART-0055,2025-10
17.38,730.25,29.21,25,ART-0056,2025-10
21.07,483.4,24.17,20,ART-0057,2025-10
15.04,603.6,40.24,15,ART-0058,2025-10
4.31,137.13,19.59,7,ART-0061,2025-10
5.4,163.84,20.48,8,ART-0062,2025-10
5.56,188.16,15.68,12,ART-0063,2025-10
8.83,365.98,12.62,29,ART-0064,2025-10
9.8,259.52,32.44,8,ART-0065,2025-10
2.14,110.94,36.98,3,ART-0066,2025-10
6.12,208.8,13.92,15,ART-0067,2025-10
22.22,653.76,72.64,9,ART-0068,2025-10
4.53,166.43,15.13,11,ART-0069,2025-10
8.47,263.28,43.88,6,ART-0070,2025-10
3.57,109.35,7.29,15,ART-0071,2025-10
3.78,134.94,22.49,6,ART-0074,2025-10
7.11,245.64,40.94,6,ART-0075,2025-10
2.58,90.72,12.96,7,ART-0076,2025-10
9.91,258.96,19.92,13,ART-0078,2025-10
2.05,54.64,13.66,4,ART-0079,2025-10
2.71,70.7,14.14,5,ART-0081,2025-10
8.42,345.99,18.21,19,ART-0083,2025-10
7.78,217.98,15.57,14,ART-0084,2025-10
90.75,2655.64,51.07,52,ART-0085,2025-10
18.97,596.96,21.32,28,ART-0088,2025-10
10.86,351.27,39.03,9,ART-0089,2025-10
6.39,231.0,23.1,10,ART-0090,2025-10
14.39,531.7,20.45,26,ART-0091,2025-10
26.22,921.9,30.73,30,ART-0092,2025-10
4.02,125.1,13.9,9,ART-0093,2025-10
5.43,134.28,11.19,12,ART-0094,2025-10
3.39,108.16,13.52,8,ART-0095,2025-10
4.29,130.95,14.55,9,ART-0096,2025-10
26.34,656.46,31.26,21,ART-0097,2025-10
3.24,120.35,24.07,5,ART-0098,2025-10
1.95,73.65,24.55,3,ART-0099,2025-10
2.86,108.57,9.87,11,ART-0100,2025-10
16.22,463.68,22.08,21,ART-0101,2025-10
8.74,290.16,22.32,13,ART-0102,2025-10
7.71,246.24,13.68,18,ART-0103,2025-10
10.14,343.2,21.45,16,ART-0104,2025-10
2.41,72.3,7.23,10,ART-0105,2025-10
24.63,994.84,35.53,28,ART-0106,2025-10
14.89,728.86,33.13,22,ART-0107,2025-10
3.28,95.75,19.15,5,ART-0108,2025-10
4.08,139.51,19.93,7,ART-0109,2025-10
8.03,230.4,11.52,20,ART-0110,2025-10
9.24,325.2,27.1,12,ART-0111,2025-10
12.41,444.34,17.09,26,ART-0113,2025-10
8.67,230.04,25.56,9,ART-0114,2025-10
5.98,205.37,18.67,11,ART-0115,2025-10
4.36,119.7,13.3,9,ART-0116,2025-10
27.99,780.99,37.19,21,ART-0117,2025-10
3.68,125.04,15.63,8,ART-0118,2025-10
7.35,208.32,34.72,6,ART-0119,2025-10
4.49,212.6,10.63,20,ART-0120,2025-10
10.62,323.82,23.13,14,ART-0122,2025-10
7.17,198.33,18.03,11,ART-0123,2025-10
8.88,253.22,11.51,22,ART-0124,2025-10
7.18,262.2,17.48,15,ART-0126,2025-10
6.45,225.12,18.76,12,ART-0127,2025-10
9.07,319.77,35.53,9,ART-0129,2025-10
18.09,547.91,49.81,11,ART-0130,2025-10
6.34,174.5,34.9,5,ART-0131,2025-10
6.33,214.34,30.62,7,ART-0132,2025-10
1.76,65.65,13.13,5,ART-0133,2025-10
5.27,156.06,17.34,9,ART-0134,2025-10
9.62,310.8,12.95,24,ART-0135,2025-10
9.32,360.45,24.03,15,ART-0136,2025-10
7.41,207.5,20.75,10,ART-0137,2025-10
1.76,58.08,19.36,3,ART-0140,2025-10
2.46,74.6,18.65,4,ART-0141,2025-10
5.2,162.82,23.26,7,ART-0142,2025-10
