article_sku,2025-01
ART-0000,138.3
ART-0001,406.44
ART-0002,285.2
ART-0003,141.84
ART-0004,108.55
ART-0005,112.25
ART-0006,353.08
ART-0008,93.69
ART-0009,115.4
ART-0010,773.01
ART-0011,434.35
ART-0012,282.06
ART-0013,52.32
ART-0014,210.24
ART-0015,687.36
ART-0017,265.87
ART-0018,151.02
ART-0019,257.55
ART-0021,464.62
ART-0022,494.32
ART-0023,176.99
ART-0024,374.76
ART-0025,104.96
ART-0026,301.91
ART-0027,178.22
ART-0028,1043.86
ART-0029,432.9
ART-0030,177.16
ART-0032,347.9
ART-0033,227.59
ART-0034,20.1
ART-0035,218.68
ART-0036,368.94
ART-0037,398.99
ART-0038,325.76
ART-0039,182.35
ART-0040,83.58
ART-0041,503.13
ART-0042,93.45
ART-0043,83.9
ART-0044,515.24
ART-0045,86.4
ART-0046,305.89
ART-0047,98.44
ART-0048,276.83
ART-0049,215.8
ART-0050,131.04
ART-0051,64.53
ART-0052,106.2
ART-0053,351.67
ART-0054,127.52
ART-0055,168.52
ART-0056,592.2
ART-0058,361.62
ART-0059,92.79
ART-0060,184.86
ART-0061,115.92
ART-0062,142.94
ART-0063,157.0
ART-0064,238.07
ART-0065,325.5
ART-0067,221.6
ART-0068,803.99
ART-0069,183.96
ART-0070,267.42
ART-0071,66.87
ART-0072,305.5
ART-0073,211.75
ART-0075,207.2
ART-0077,74.35
ART-0079,84.36
ART-0080,561.9
ART-0081,86.16
ART-0082,543.4
ART-0083,272.7
ART-0084,208.13
ART-0085,1917.1
ART-0086,570.86
ART-0087,111.88
ART-0088,503.76
ART-0089,536.2
ART-0091,429.66
ART-0092,561.6
ART-0093,96.95
ART-0094,89.28
ART-0095,244.8
ART-0096,374.66
ART-0097,673.86
ART-0098,120.5
ART-0099,121.35
ART-0100,88.38
ART-0101,502.26
ART-0102,248.27
ART-0103,248.22
ART-0104,324.75
ART-0106,1065.6
ART-0107,565.42
ART-0108,133.63
ART-0109,80.72
ART-0110,253.22
ART-0111,248.49
ART-0112,88.75
ART-0113,323.38
ART-0115,134.05
ART-0117,843.92
ART-0119,210.66
ART-0121,151.06
ART-0122,230.3
ART-0123,89.6
ART-0124,168.75
ART-0125,174.84
ART-0126,299.03
ART-0127,207.79
ART-0128,110.22
ART-0129,214.98
ART-0130,407.36
ART-0131,203.76
ART-0133,52.68
ART-0134,154.98
ART-0135,191.4
ART-0137,211.3
ART-0139,227.22
ART-0140,95.75
ART-0141,75.12
ART-0143,188.7
ART-0144,56.85
ART-0146,46.24
ART-0147,431.63
ART-0148,1070.46
ART-0149,85.45
