report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-09,ART-0000,9,23.24,0.0,209.16,6.71
2025-09,ART-0001,18,33.58,0.0,604.44,15.36
2025-09,ART-0002,13,28.2,0.0,366.6,10.7
2025-09,ART-0004,6,21.38,0.0,128.28,2.89
2025-09,ART-0005,6,22.49,0.0,134.94,4.4
2025-09,ART-0006,10,27.36,0.0,273.6,8.89
2025-09,ART-0007,6,21.78,0.0,130.68,3.61
2025-09,ART-0008,8,10.39,0.0,83.12,3.21
2025-09,ART-0009,7,28.09,0.0,196.63,6.33
2025-09,ART-0010,29,37.22,0.0,1079.38,29.35
2025-09,ART-0011,19,25.82,0.0,490.58,14.1
2025-09,ART-0012,16,15.81,0.0,252.96,8.16
2025-09,ART-0014,13,24.94,0.0,324.22,10.29
2025-09,ART-0015,23,28.98,0.0,666.54,19.21
2025-09,ART-0016,12,42.31,0.0,507.72,17.51
2025-09,ART-0017,8,24.68,0.0,197.44,6.38
2025-09,ART-0018,19,8.34,0.0,158.46,4.91
2025-09,ART-0019,10,15.48,0.0,154.8,3.4
2025-09,ART-0020,12,29.52,0.0,354.24,12.74
2025-09,ART-0021,8,36.44,0.0,291.52,9.33
2025-09,ART-0022,28,13.57,0.0,379.96,12.65
2025-09,ART-0023,9,16.22,0.0,145.98,4.64
2025-09,ART-0024,14,30.66,0.0,429.24,12.54
2025-09,ART-0026,19,16.1,0.0,305.9,7.22
2025-09,ART-0027,12,13.0,0.0,156.0,4.5
2025-09,ART-0029,11,42.84,0.0,471.24,14.07
2025-09,ART-0030,4,44.56,0.0,178.24,4.07
2025-09,ART-0032,14,34.02,0.0,476.28,14.33
2025-09,ART-0033,13,21.19,0.0,275.47,10.08
2025-09,ART-0034,2,10.11,0.0,20.22,0.61
2025-09,ART-0035,8,19.71,0.0,157.68,4.95
2025-09,ART-0036,14,28.53,0.0,399.42,11.95
2025-09,ART-0037,22,23.39,0.0,514.58,17.95
2025-09,ART-0039,8,36.33,0.0,290.64,8.94
2025-09,ART-0041,38,16.56,0.0,629.28,16.67
2025-09,ART-0042,4,31.66,0.0,126.64,3.57
2025-09,ART-0043,4,16.92,0.0,67.68,1.74
