report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-04,ART-0000,7,23.16,0.0,162.12,4.96
2025-04,ART-0001,10,33.79,0.0,337.9,12.81
2025-04,ART-0002,15,28.06,0.0,420.9,16.28
2025-04,ART-0003,5,18.1,0.0,90.5,2.91
2025-04,ART-0004,6,22.04,0.0,132.24,4.21
2025-04,ART-0005,8,23.17,0.0,185.36,7.14
2025-04,ART-0007,7,21.97,0.0,153.79,4.76
2025-04,ART-0008,7,10.3,0.0,72.1,3.07
2025-04,ART-0009,6,28.5,0.0,171.0,4.72
2025-04,ART-0012,16,16.15,0.0,258.4,6.85
2025-04,ART-0013,4,25.98,0.0,103.92,3.52
2025-04,ART-0014,9,25.98,0.0,233.82,5.09
2025-04,ART-0015,20,28.61,0.0,572.2,17.36
2025-04,ART-0016,5,42.73,0.0,213.65,7.63
2025-04,ART-0018,20,8.52,0.0,170.4,4.76
2025-04,ART-0019,14,15.16,0.0,212.24,6.91
2025-04,ART-0020,12,29.26,0.0,351.12,11.04
2025-04,ART-0021,11,36.86,0.0,405.46,12.33
2025-04,ART-0022,33,13.5,0.0,445.5,11.77
2025-04,ART-0023,9,16.17,0.0,145.53,5.89
2025-04,ART-0025,4,25.35,0.0,101.4,3.04
2025-04,ART-0026,22,16.17,0.0,355.74,13.28
2025-04,ART-0027,9,13.06,0.0,117.54,4.01
2025-04,ART-0029,20,42.78,0.0,855.6,31.6
2025-04,ART-0030,3,45.88,0.0,137.64,3.33
2025-04,ART-0031,33,17.13,0.0,565.29,16.48
2025-04,ART-0032,17,34.8,0.0,591.6,17.96
2025-04,ART-0033,12,20.85,0.0,250.2,6.85
2025-04,ART-0035,11,20.28,0.0,223.08,5.69
2025-04,ART-0036,17,28.09,0.0,477.53,13.77
2025-04,ART-0037,22,23.06,0.0,507.32,17.42
2025-04,ART-0038,6,41.23,0.0,247.38,7.69
2025-04,ART-0039,8,36.99,0.0,295.92,6.23
2025-04,ART-0040,9,13.68,0.0,123.12,4.28
2025-04,ART-0041,47,16.43,0.0,772.21,16.53
2025-04,ART-0042,4,31.47,0.0,125.88,3.98
2025-04,ART-0043,5,16.91,0.0,84.55,2.55
2025-04,ART-0045,5,14.24,0.0,71.2,2.13
2025-04,ART-0046,11,23.77,0.0,261.47,6.43
2025-04,ART-0047,6,24.34,0.0,146.04,4.03
2025-04,ART-0049,5,42.44,0.0,212.2,6.18
2025-04,ART-0050,11,32.24,0.0,354.64,9.57
2025-04,ART-0051,17,7.33,0.0,124.61,4.22
2025-04,ART-0052,3,21.44,0.0,64.32,1.83
2025-04,ART-0053,33,15.2,0.0,501.6,16.89
2025-04,ART-0054,11,15.71,0.0,172.81,4.77
2025-04,ART-0055,10,15.58,0.0,155.8,5.2
