report_period,article_sku,quantity,unit_price,amount
2025-02,ART-0000,9,23.73,213.57
2025-02,ART-0001,13,33.49,435.37
2025-02,ART-0003,8,17.9,143.2
2025-02,ART-0004,5,21.44,107.2
2025-02,ART-0006,15,26.85,402.75
2025-02,ART-0007,6,22.33,133.98
2025-02,ART-0008,7,10.37,72.59
2025-02,ART-0010,24,37.18,892.32
2025-02,ART-0011,24,25.78,618.72
2025-02,ART-0012,12,15.91,190.92
2025-02,ART-0013,3,25.52,76.56
2025-02,ART-0014,12,26.1,313.2
2025-02,ART-0015,21,28.6,600.6
2025-02,ART-0016,7,42.58,298.06
2025-02,ART-0017,9,24.41,219.69
2025-02,ART-0019,24,15.24,365.76
2025-02,ART-0020,14,29.18,408.52
2025-02,ART-0021,10,37.08,370.8
2025-02,ART-0022,42,13.53,568.26
2025-02,ART-0024,13,31.27,406.51
2025-02,ART-0025,4,25.15,100.6
2025-02,ART-0026,21,15.84,332.64
2025-02,ART-0027,7,12.95,90.65
2025-02,ART-0029,18,42.42,763.56
2025-02,ART-0030,4,45.44,181.76
2025-02,ART-0031,31,16.76,519.56
2025-02,ART-0032,11,34.68,381.48
2025-02,ART-0033,24,21.35,512.4
2025-02,ART-0035,12,19.48,233.76
2025-02,ART-0037,17,23.58,400.86
2025-02,ART-0038,7,41.03,287.21
2025-02,ART-0039,7,37.08,259.56
2025-02,ART-0040,8,13.75,110.0
2025-02,ART-0041,34,16.29,553.86
2025-02,ART-0042,3,30.85,92.55
2025-02,ART-0043,3,16.92,50.76
2025-02,ART-0044,29,11.58,335.82
2025-02,ART-0045,8,14.19,113.52
2025-02,ART-0046,16,23.37,373.92
2025-02,ART-0047,6,24.38,146.28
2025-02,ART-0049,6,42.1,252.6
2025-02,ART-0050,12,32.67,392.04
2025-02,ART-0051,13,7.28,94.64
2025-02,ART-0052,7,20.74,145.18
2025-02,ART-0053,22,15.17,333.74
2025-02,ART-0054,12,15.93,191.16
2025-02,ART-0056,23,29.13,669.99
2025-02,ART-0057,22,24.93,548.46
2025-02,ART-0058,15,40.22,603.3
2025-02,ART-0059,24,10.43,250.32
2025-02,ART-0060,30,10.24,307.2
2025-02,ART-0061,7,19.31,135.17
2025-02,ART-0062,9,20.3,182.7
2025-02,ART-0063,14,15.71,219.94
2025-02,ART-0064,18,12.47,224.46
2025-02,ART-0065,12,32.94,395.28
2025-02,ART-0066,4,37.17,148.68
2025-02,ART-0067,12,13.73,164.76
2025-02,ART-0068,16,72.59,1161.44
2025-02,ART-0069,13,15.4,200.2
2025-02,ART-0070,10,43.71,437.1
2025-02,ART-0071,13,7.17,93.21
2025-02,ART-0073,10,19.11,191.1
2025-02,ART-0074,9,22.61,203.49
2025-02,ART-0075,5,40.83,204.15
2025-02,ART-0076,13,13.1,170.3
2025-02,ART-0077,6,14.74,88.44
2025-02,ART-0078,28,19.77,553.56
2025-02,ART-0079,5,13.45,67.25
2025-02,ART-0080,21,37.27,782.67
2025-02,ART-0081,4,14.51,58.04
2025-02,ART-0082,19,50.36,956.84
2025-02,ART-0084,13,15.77,205.01
2025-02,ART-0085,25,50.7,1267.5
2025-02,ART-0086,23,24.43,561.89
2025-02,ART-0087,5,28.06,140.3
2025-02,ART-0088,50,21.39,1069.5
2025-02,ART-0090,12,23.04,276.48
2025-02,ART-0091,38,20.15,765.7
2025-02,ART-0092,30,30.98,929.4
2025-02,ART-0093,9,13.84,124.56
2025-02,ART-0094,10,11.49,114.9
2025-02,ART-0095,23,13.51,310.73
2025-02,ART-0097,40,30.82,1232.8
2025-02,ART-0098,3,23.98,71.94
2025-02,ART-0099,4,24.39,97.56
2025-02,ART-0100,14,9.59,134.26
2025-02,ART-0101,16,23.14,370.24
2025-02,ART-0102,19,22.19,421.61
2025-02,ART-0103,11,14.07,154.77
2025-02,ART-0104,11,21.57,237.27
2025-02,ART-0105,8,7.19,57.52
2025-02,ART-0106,40,35.77,1430.8
2025-02,ART-0107,28,33.27,931.56
2025-02,ART-0109,14,20.1,281.4
2025-02,ART-0110,22,11.49,252.78
2025-02,ART-0111,13,27.8,361.4
2025-02,ART-0113,19,16.88,320.72
2025-02,ART-0114,7,25.74,180.18
2025-02,ART-0115,8,19.09,152.72
2025-02,ART-0116,16,13.18,210.88
2025-02,ART-0117,30,37.41,1122.3
2025-02,ART-0118,10,15.5,155.0
2025-02,ART-0119,7,34.67,242.69
2025-02,ART-0122,13,22.86,297.18
2025-02,ART-0123,7,17.85,124.95
2025-02,ART-0126,14,17.78,248.92
2025-02,ART-0127,11,18.56,204.16
2025-02,ART-0128,9,9.64,86.76
2025-02,ART-0129,18,36.33,653.94
2025-02,ART-0130,9,50.3,452.7
2025-02,ART-0131,6,34.06,204.36
2025-02,ART-0132,8,31.14,249.12
2025-02,ART-0134,6,17.23,103.38
2025-02,ART-0135,17,12.98,220.66
2025-02,ART-0136,13,24.59,319.67
2025-02,ART-0137,7,20.95,146.65
2025-02,ART-0139,22,16.14,355.08
2025-02,ART-0141,2,18.78,37.56
2025-02,ART-0142,5,23.13,115.65
2025-02,ART-0143,10,19.13,191.3
2025-02,ART-0144,18,19.17,345.06
2025-02,ART-0146,5,11.72,58.6
2025-02,ART-0147,9,25.65,230.85
2025-02,ART-0149,8,16.43,131.44
