article_sku,2025-06
ART-0000,235.3
ART-0001,603.36
ART-0002,280.4
ART-0003,91.1
ART-0004,107.4
ART-0005,136.44
ART-0006,272.5
ART-0007,154.14
ART-0008,73.29
ART-0009,172.2
ART-0010,772.38
ART-0011,342.42
ART-0012,206.05
ART-0014,287.54
ART-0015,851.4
ART-0017,291.72
ART-0018,92.84
ART-0019,306.6
ART-0020,525.96
ART-0021,257.18
ART-0022,652.19
ART-0024,249.28
ART-0025,153.78
ART-0027,208.96
ART-0029,506.52
ART-0031,353.43
ART-0033,206.9
ART-0034,30.12
ART-0035,177.93
ART-0036,283.4
ART-0037,422.64
ART-0038,589.96
ART-0039,333.18
ART-0040,122.94
ART-0041,482.56
ART-0042,93.66
ART-0043,84.05
ART-0044,435.86
ART-0045,130.41
ART-0046,238.7
ART-0047,121.25
ART-0048,264.6
ART-0049,209.7
ART-0050,398.52
ART-0051,71.1
ART-0052,84.0
ART-0055,170.5
ART-0056,554.04
ART-0057,918.08
ART-0058,633.12
ART-0059,154.5
ART-0060,379.62
ART-0061,94.95
ART-0062,142.87
ART-0063,155.9
ART-0064,150.48
ART-0065,531.52
ART-0066,223.74
ART-0070,217.75
ART-0071,111.75
ART-0072,255.86
ART-0073,193.4
ART-0074,132.3
ART-0075,244.02
ART-0076,119.16
ART-0077,87.24
ART-0078,354.96
ART-0079,68.6
ART-0080,560.25
ART-0083,545.1
ART-0084,198.77
ART-0085,1120.24
ART-0086,374.4
ART-0088,432.2
ART-0089,433.29
ART-0090,248.82
ART-0091,367.2
ART-0092,494.08
ART-0093,110.72
ART-0094,67.68
ART-0095,193.06
ART-0096,215.25
ART-0097,831.87
ART-0098,121.8
ART-0099,73.23
ART-0100,96.5
ART-0101,517.27
ART-0102,291.2
ART-0105,50.19
ART-0106,1357.36
ART-0107,663.8
ART-0109,80.6
ART-0110,329.28
ART-0111,391.58
ART-0112,108.0
ART-0113,319.77
ART-0114,230.04
ART-0115,113.46
ART-0116,167.18
ART-0117,1165.29
ART-0118,138.42
ART-0119,208.86
ART-0120,223.02
ART-0121,174.15
ART-0122,159.46
ART-0123,91.4
ART-0124,289.5
ART-0125,275.12
ART-0126,136.08
ART-0129,366.7
ART-0130,346.01
ART-0131,173.1
ART-0133,66.0
ART-0134,155.34
ART-0135,248.9
ART-0136,668.08
ART-0137,231.55
ART-0138,143.19
ART-0139,195.0
ART-0140,57.81
ART-0141,75.08
ART-0142,70.02
ART-0143,151.68
ART-0144,229.2
ART-0145,464.17
ART-0146,79.52
ART-0147,230.31
ART-0148,757.08
ART-0149,150.48
