freight,amount,unit_price,quantity,article_sku,report_period
4.19,117.6,23.52,5,ART-0000,2025-11
15.75,468.58,33.47,14,ART-0001,2025-11
13.42,506.88,28.16,18,ART-0002,2025-11
2.15,72.24,18.06,4,ART-0003,2025-11
9.83,293.59,26.69,11,ART-0006,2025-11
6.24,216.8,21.68,10,ART-0007,2025-11
9.34,284.5,28.45,10,ART-0009,2025-11
15.77,477.88,36.76,13,ART-0010,2025-11
12.06,408.48,25.53,16,ART-0011,2025-11
7.33,256.8,16.05,16,ART-0012,2025-11
10.65,310.2,25.85,12,ART-0014,2025-11
13.26,589.68,28.08,21,ART-0015,2025-11
16.72,508.32,42.36,12,ART-0016,2025-11
8.63,288.72,24.06,12,ART-0017,2025-11
4.93,180.96,15.08,12,ART-0019,2025-11
16.07,434.1,28.94,15,ART-0020,2025-11
13.71,476.58,36.66,13,ART-0021,2025-11
11.35,361.53,13.39,27,ART-0022,2025-11
5.22,186.48,15.54,12,ART-0023,2025-11
5.03,154.44,25.74,6,ART-0025,2025-11
7.34,238.5,15.9,15,ART-0026,2025-11
4.68,158.04,13.17,12,ART-0027,2025-11
37.11,1179.49,27.43,43,ART-0028,2025-11
17.64,636.15,42.41,15,ART-0029,2025-11
6.09,179.4,44.85,4,ART-0030,2025-11
16.74,503.7,16.79,30,ART-0031,2025-11
10.24,312.75,34.75,9,ART-0032,2025-11
11.81,328.32,20.52,16,ART-0033,2025-11
0.87,30.12,10.04,3,ART-0034,2025-11
4.38,153.44,19.18,8,ART-0035,2025-11
6.77,255.33,28.37,9,ART-0036,2025-11
18.01,581.0,23.24,25,ART-0037,2025-11
11.8,330.48,41.31,8,ART-0038,2025-11
5.28,165.48,13.79,12,ART-0040,2025-11
11.08,328.0,16.4,20,ART-0041,2025-11
3.52,126.08,31.52,4,ART-0042,2025-11
2.31,66.72,16.68,4,ART-0043,2025-11
15.48,512.6,11.65,44,ART-0044,2025-11
2.56,85.74,14.29,6,ART-0045,2025-11
8.35,290.28,24.19,12,ART-0047,2025-11
6.93,233.44,14.59,16,ART-0048,2025-11
9.02,260.22,43.37,6,ART-0049,2025-11
11.41,361.57,32.87,11,ART-0050,2025-11
3.03,86.76,7.23,12,ART-0051,2025-11
2.78,84.72,21.18,4,ART-0052,2025-11
8.31,274.32,15.24,18,ART-0053,2025-11
5.13,174.9,15.9,11,ART-0054,2025-11
32.71,1043.64,28.99,36,ART-0056,2025-11
16.06,527.56,23.98,22,ART-0057,2025-11
12.73,443.63,40.33,11,ART-0058,2025-11
3.83,114.18,10.38,11,ART-0059,2025-11
4.34,204.0,10.2,20,ART-0060,2025-11
7.6,248.3,19.1,13,ART-0061,2025-11
4.92,164.64,20.58,8,ART-0062,2025-11
6.65,283.32,15.74,18,ART-0063,2025-11
11.69,492.9,32.86,15,ART-0065,2025-11
3.7,112.2,37.4,3,ART-0066,2025-11
7.07,223.04,13.94,16,ART-0067,2025-11
31.5,951.73,73.21,13,ART-0068,2025-11
7.07,220.45,44.09,5,ART-0070,2025-11
10.95,328.72,23.48,14,ART-0072,2025-11
3.0,166.16,41.54,4,ART-0075,2025-11
4.93,172.38,13.26,13,ART-0076,2025-11
3.42,101.01,14.43,7,ART-0077,2025-11
10.64,333.54,19.62,17,ART-0078,2025-11
2.54,111.04,13.88,8,ART-0079,2025-11
14.88,444.24,37.02,12,ART-0080,2025-11
3.54,99.4,14.2,7,ART-0081,2025-11
14.77,557.48,50.68,11,ART-0082,2025-11
11.89,382.41,18.21,21,ART-0083,2025-11
6.77,251.2,15.7,16,ART-0084,2025-11
45.72,1250.75,50.03,25,ART-0085,2025-11
13.92,422.11,24.83,17,ART-0086,2025-11
2.87,84.15,28.05,3,ART-0087,2025-11
28.85,752.15,21.49,35,ART-0088,2025-11
16.19,464.52,38.71,12,ART-0089,2025-11
6.13,202.68,22.52,9,ART-0090,2025-11
20.33,482.64,20.11,24,ART-0091,2025-11
38.94,1130.72,30.56,37,ART-0092,2025-11
3.03,95.9,13.7,7,ART-0093,2025-11
3.89,145.6,11.2,13,ART-0094,2025-11
4.73,172.08,14.34,12,ART-0096,2025-11
24.54,1050.94,30.91,34,ART-0097,2025-11
2.68,96.04,24.01,4,ART-0098,2025-11
3.13,97.2,24.3,4,ART-0099,2025-11
2.49,106.48,9.68,11,ART-0100,2025-11
6.04,202.68,22.52,9,ART-0102,2025-11
4.48,171.76,21.47,8,ART-0104,2025-11
2.0,64.17,7.13,9,ART-0105,2025-11
35.23,1068.6,35.62,30,ART-0106,2025-11
22.81,787.2,32.8,24,ART-0107,2025-11
2.77,114.78,19.13,6,ART-0108,2025-11
8.09,291.25,11.65,25,ART-0110,2025-11
5.27,222.16,27.77,8,ART-0111,2025-11
4.19,107.16,17.86,6,ART-0112,2025-11
12.82,436.02,16.77,26,ART-0113,2025-11
4.48,132.58,18.94,7,ART-0115,2025-11
5.06,145.2,13.2,11,ART-0116,2025-11
3.61,122.88,15.36,8,ART-0118,2025-11
5.5,171.7,34.34,5,ART-0119,2025-11
10.19,266.75,10.67,25,ART-0120,2025-11
8.51,216.98,11.42,19,ART-0121,2025-11
10.05,279.96,23.33,12,ART-0122,2025-11
5.74,218.04,18.17,12,ART-0123,2025-11
5.71,230.8,11.54,20,ART-0124,2025-11
8.51,336.95,14.65,23,ART-0125,2025-11
5.15,193.16,17.56,11,ART-0126,2025-11
5.3,169.29,18.81,9,ART-0127,2025-11
2.15,68.04,9.72,7,ART-0128,2025-11
18.16,512.26,36.59,14,ART-0129,2025-11
8.84,296.16,49.36,6,ART-0130,2025-11
5.77,169.7,33.94,5,ART-0131,2025-11
2.4,78.18,13.03,6,ART-0133,2025-11
4.89,156.33,17.37,9,ART-0134,2025-11
4.06,157.56,13.13,12,ART-0135,2025-11
8.46,264.88,24.08,11,ART-0136,2025-11
5.12,148.75,21.25,7,ART-0137,2025-11
4.54,177.65,16.15,11,ART-0138,2025-11
6.87,226.52,16.18,14,ART-0139,2025-11
2.87,96.1,19.22,5,ART-0140,2025-11
1.94,74.04,18.51,4,ART-0141,2025-11
5.19,188.9,18.89,10,ART-0143,2025-11
5.67,171.27,19.03,9,ART-0144,2025-11
11.91,388.96,24.31,16,ART-0145,2025-11
1.51,57.9,11.58,5,ART-0146,2025-11
7.07,208.96,26.12,8,ART-0147,2025-11
1.79,67.04,16.76,4,ART-0149,2025-11
