article_sku,2025-12
ART-0000,190.88
ART-0002,315.59
ART-0004,130.92
ART-0005,114.65
ART-0006,484.92
ART-0007,172.0
ART-0008,73.01
ART-0010,512.54
ART-0011,443.02
ART-0012,358.57
ART-0013,78.39
ART-0015,579.0
ART-0016,299.04
ART-0017,192.0
ART-0018,168.4
ART-0019,167.75
ART-0020,439.35
ART-0021,372.1
ART-0023,160.1
ART-0024,339.13
ART-0025,181.65
ART-0026,224.42
ART-0027,168.22
ART-0028,1242.9
ART-0029,713.15
ART-0031,334.0
ART-0032,384.34
ART-0033,380.34
ART-0034,40.0
ART-0035,98.65
ART-0036,560.4
ART-0037,494.34
ART-0038,402.5
ART-0039,260.47
ART-0040,109.2
ART-0041,651.69
ART-0042,62.46
ART-0043,49.89
ART-0045,71.2
ART-0046,332.64
ART-0048,188.24
ART-0049,462.0
ART-0050,296.73
ART-0051,105.45
ART-0052,84.08
ART-0053,257.38
ART-0054,207.48
ART-0055,138.78
ART-0056,393.12
ART-0057,910.48
ART-0058,558.46
ART-0060,247.92
ART-0061,290.7
ART-0062,101.4
ART-0063,170.17
ART-0064,165.75
ART-0065,330.6
ART-0066,151.08
ART-0067,154.0
ART-0068,1518.51
ART-0069,121.52
ART-0070,173.72
ART-0071,103.88
ART-0072,463.0
ART-0074,178.56
ART-0076,196.8
ART-0077,43.68
ART-0078,401.4
ART-0079,81.48
ART-0080,333.54
ART-0081,71.75
ART-0082,647.53
ART-0084,311.2
ART-0085,1570.46
ART-0086,447.3
ART-0087,82.86
ART-0088,362.78
ART-0090,204.12
ART-0092,368.4
ART-0093,55.4
ART-0094,89.76
ART-0096,336.72
ART-0097,592.42
ART-0098,118.6
ART-0099,72.3
ART-0100,145.65
ART-0101,550.32
ART-0102,527.52
ART-0103,209.4
ART-0104,172.8
ART-0106,986.44
ART-0107,690.27
ART-0108,152.16
ART-0109,140.49
ART-0110,330.6
ART-0112,144.32
ART-0113,392.38
ART-0115,226.8
ART-0118,152.4
ART-0119,137.4
ART-0120,179.52
ART-0121,151.58
ART-0122,271.92
ART-0123,141.68
ART-0124,149.5
ART-0125,548.34
ART-0127,225.96
ART-0128,105.82
ART-0129,435.36
ART-0130,599.88
ART-0132,155.1
ART-0133,78.0
ART-0134,122.29
ART-0135,169.91
ART-0136,383.36
ART-0137,126.72
ART-0138,192.0
ART-0139,257.12
ART-0140,57.36
ART-0142,70.68
ART-0143,133.49
ART-0146,58.75
ART-0147,369.18
ART-0148,1224.21
ART-0149,99.3
