freight,amount,unit_price,quantity,article_sku,report_period
6.66,235.3,23.53,10,ART-0000,2025-06
20.5,603.36,33.52,18,ART-0001,2025-06
7.05,280.4,28.04,10,ART-0002,2025-06
2.74,91.1,18.22,5,ART-0003,2025-06
3.15,107.4,21.48,5,ART-0004,2025-06
3.81,136.44,22.74,6,ART-0005,2025-06
9.58,272.5,27.25,10,ART-0006,2025-06
4.24,154.14,22.02,7,ART-0007,2025-06
2.47,73.29,10.47,7,ART-0008,2025-06
5.87,172.2,28.7,6,ART-0009,2025-06
25.16,772.38,36.78,21,ART-0010,2025-06
12.26,342.42,26.34,13,ART-0011,2025-06
5.85,206.05,15.85,13,ART-0012,2025-06
9.03,287.54,26.14,11,ART-0014,2025-06
26.31,851.4,28.38,30,ART-0015,2025-06
9.36,291.72,24.31,12,ART-0017,2025-06
2.38,92.84,8.44,11,ART-0018,2025-06
8.98,306.6,15.33,20,ART-0019,2025-06
17.02,525.96,29.22,18,ART-0020,2025-06
8.47,257.18,36.74,7,ART-0021,2025-06
24.82,652.19,13.31,49,ART-0022,2025-06
6.89,249.28,31.16,8,ART-0024,2025-06
5.27,153.78,25.63,6,ART-0025,2025-06
5.64,208.96,13.06,16,ART-0027,2025-06
14.89,506.52,42.21,12,ART-0029,2025-06
13.06,353.43,16.83,21,ART-0031,2025-06
6.02,206.9,20.69,10,ART-0033,2025-06
1.01,30.12,10.04,3,ART-0034,2025-06
5.96,177.93,19.77,9,ART-0035,2025-06
9.32,283.4,28.34,10,ART-0036,2025-06
11.99,422.64,23.48,18,ART-0037,2025-06
15.73,589.96,42.14,14,ART-0038,2025-06
9.98,333.18,37.02,9,ART-0039,2025-06
3.49,122.94,13.66,9,ART-0040,2025-06
17.17,482.56,16.64,29,ART-0041,2025-06
3.0,93.66,31.22,3,ART-0042,2025-06
2.56,84.05,16.81,5,ART-0043,2025-06
12.67,435.86,11.78,37,ART-0044,2025-06
4.32,130.41,14.49,9,ART-0045,2025-06
7.81,238.7,23.87,10,ART-0046,2025-06
4.08,121.25,24.25,5,ART-0047,2025-06
6.76,264.6,14.7,18,ART-0048,2025-06
7.68,209.7,41.94,5,ART-0049,2025-06
13.18,398.52,33.21,12,ART-0050,2025-06
