article_sku,2025-03
ART-0000,162.75
ART-0001,666.4
ART-0002,418.8
ART-0003,106.44
ART-0004,109.55
ART-0005,114.0
ART-0006,327.12
ART-0007,171.52
ART-0008,61.02
ART-0009,286.5
ART-0010,635.12
ART-0011,538.44
ART-0012,313.8
ART-0013,79.35
ART-0015,695.75
ART-0016,603.12
ART-0017,143.28
ART-0018,152.28
ART-0020,435.9
ART-0021,366.1
ART-0022,548.0
ART-0024,309.6
ART-0025,127.75
ART-0027,167.96
ART-0028,902.55
ART-0029,548.08
ART-0030,181.72
ART-0031,584.5
ART-0032,448.63
ART-0033,310.8
ART-0034,39.8
ART-0035,196.7
ART-0036,427.35
ART-0037,453.72
ART-0038,286.79
ART-0039,368.1
ART-0040,82.5
ART-0042,127.16
ART-0043,84.1
ART-0044,638.0
ART-0046,263.12
ART-0047,144.6
ART-0048,291.0
ART-0049,212.95
ART-0050,196.44
ART-0051,116.8
ART-0052,104.75
ART-0053,524.3
ART-0054,241.05
ART-0055,246.24
ART-0056,398.86
ART-0057,840.7
ART-0058,478.32
ART-0059,125.28
ART-0060,317.75
ART-0061,154.24
ART-0063,188.52
ART-0064,190.2
ART-0065,394.56
ART-0066,147.4
ART-0067,206.1
ART-0068,1316.16
ART-0069,196.17
ART-0070,386.91
ART-0072,258.28
ART-0073,192.1
ART-0074,205.65
ART-0076,119.25
ART-0077,88.38
ART-0078,402.0
ART-0079,82.62
ART-0081,56.8
ART-0082,840.99
ART-0083,326.52
ART-0084,328.86
ART-0085,1513.5
ART-0088,491.51
ART-0089,313.76
ART-0090,476.28
ART-0091,407.4
ART-0092,747.84
ART-0093,110.72
ART-0094,149.63
ART-0095,233.07
ART-0099,73.44
ART-0100,68.11
ART-0101,337.05
ART-0102,292.63
ART-0103,239.02
ART-0105,64.35
ART-0106,712.4
ART-0107,601.56
ART-0108,114.9
ART-0109,101.05
ART-0110,277.92
ART-0111,417.0
ART-0112,89.6
ART-0113,742.18
ART-0114,126.85
ART-0115,114.96
ART-0116,169.0
ART-0117,1075.9
ART-0118,141.48
ART-0119,172.85
ART-0120,159.3
ART-0121,220.4
ART-0122,255.53
ART-0123,125.72
ART-0124,172.65
ART-0125,472.56
ART-0126,215.4
ART-0127,209.55
ART-0128,96.6
ART-0129,365.1
ART-0130,346.71
ART-0131,239.26
ART-0132,244.88
ART-0133,105.68
ART-0134,85.4
ART-0135,249.28
ART-0136,438.84
ART-0137,104.9
ART-0138,177.21
ART-0139,292.86
ART-0140,76.16
ART-0141,92.75
ART-0143,153.52
ART-0144,174.15
ART-0145,383.04
ART-0147,289.08
ART-0148,798.0
ART-0149,199.68
