report_period,article_sku,quantity,unit_price,amount
2025-04,ART-0000,7,23.16,162.12
2025-04,ART-0001,10,33.79,337.9
2025-04,ART-0002,15,28.06,420.9
2025-04,ART-0003,5,18.1,90.5
2025-04,ART-0004,6,22.04,132.24
2025-04,ART-0005,8,23.17,185.36
2025-04,ART-0007,7,21.97,153.79
2025-04,ART-0008,7,10.3,72.1
2025-04,ART-0009,6,28.5,171.0
2025-04,ART-0012,16,16.15,258.4
2025-04,ART-0013,4,25.98,103.92
2025-04,ART-0014,9,25.98,233.82
2025-04,ART-0015,20,28.61,572.2
2025-04,ART-0016,5,42.73,213.65
2025-04,ART-0018,20,8.52,170.4
2025-04,ART-0019,14,15.16,212.24
2025-04,ART-0020,12,29.26,351.12
2025-04,ART-0021,11,36.86,405.46
2025-04,ART-0022,33,13.5,445.5
2025-04,ART-0023,9,16.17,145.53
2025-04,ART-0025,4,25.35,101.4
2025-04,ART-0026,22,16.17,355.74
2025-04,ART-0027,9,13.06,117.54
2025-04,ART-0029,20,42.78,855.6
2025-04,ART-0030,3,45.88,137.64
2025-04,ART-0031,33,17.13,565.29
2025-04,ART-0032,17,34.8,591.6
2025-04,ART-0033,12,20.85,250.2
2025-04,ART-0035,11,20.28,223.08
2025-04,ART-0036,17,28.09,477.53
2025-04,ART-0037,22,23.06,507.32
2025-04,ART-0038,6,41.23,247.38
2025-04,ART-0039,8,36.99,295.92
2025-04,ART-0040,9,13.68,123.12
2025-04,ART-0041,47,16.43,772.21
2025-04,ART-0042,4,31.47,125.88
2025-04,ART-0043,5,16.91,84.55
2025-04,ART-0045,5,14.24,71.2
2025-04,ART-0046,11,23.77,261.47
2025-04,ART-0047,6,24.34,146.04
2025-04,ART-0049,5,42.44,212.2
2025-04,ART-0050,11,32.24,354.64
2025-04,ART-0051,17,7.33,124.61
2025-04,ART-0052,3,21.44,64.32
2025-04,ART-0053,33,15.2,501.6
2025-04,ART-0054,11,15.71,172.81
2025-04,ART-0055,10,15.58,155.8
2025-04,ART-0056,21,28.51,598.71
2025-04,ART-0057,28,23.92,669.76
2025-04,ART-0058,12,39.88,478.56
2025-04,ART-0059,13,10.34,134.42
2025-04,ART-0061,6,19.45,116.7
2025-04,ART-0062,4,20.56,82.24
2025-04,ART-0064,15,12.62,189.3
2025-04,ART-0065,18,32.29,581.22
2025-04,ART-0066,4,37.95,151.8
2025-04,ART-0067,9,13.83,124.47
2025-04,ART-0068,11,72.68,799.48
2025-04,ART-0069,12,15.21,182.52
2025-04,ART-0070,5,43.33,216.65
2025-04,ART-0072,17,23.69,402.73
2025-04,ART-0074,4,22.42,89.68
2025-04,ART-0075,7,40.73,285.11
2025-04,ART-0076,7,13.25,92.75
2025-04,ART-0077,5,14.68,73.4
2025-04,ART-0078,12,19.87,238.44
2025-04,ART-0079,4,13.91,55.64
2025-04,ART-0080,17,37.26,633.42
2025-04,ART-0081,5,14.17,70.85
2025-04,ART-0082,16,49.86,797.76
2025-04,ART-0083,16,18.13,290.08
2025-04,ART-0086,19,24.73,469.87
2025-04,ART-0087,2,28.31,56.62
2025-04,ART-0088,14,21.5,301.0
2025-04,ART-0089,10,38.81,388.1
2025-04,ART-0090,8,22.3,178.4
2025-04,ART-0091,33,20.28,669.24
2025-04,ART-0092,24,31.34,752.16
2025-04,ART-0093,5,13.86,69.3
2025-04,ART-0094,12,11.14,133.68
2025-04,ART-0095,11,13.45,147.95
2025-04,ART-0098,4,23.77,95.08
2025-04,ART-0100,8,9.78,78.24
2025-04,ART-0101,23,22.34,513.82
2025-04,ART-0102,19,22.5,427.5
2025-04,ART-0103,15,13.75,206.25
2025-04,ART-0104,8,22.11,176.88
2025-04,ART-0105,13,7.17,93.21
2025-04,ART-0106,24,36.07,865.68
2025-04,ART-0107,15,33.06,495.9
2025-04,ART-0108,8,19.05,152.4
2025-04,ART-0109,5,20.31,101.55
2025-04,ART-0110,23,11.58,266.34
2025-04,ART-0111,14,27.7,387.8
2025-04,ART-0112,4,17.94,71.76
2025-04,ART-0113,23,17.05,392.15
2025-04,ART-0116,9,13.03,117.27
2025-04,ART-0117,43,37.26,1602.18
2025-04,ART-0118,7,15.69,109.83
2025-04,ART-0119,6,34.75,208.5
2025-04,ART-0120,23,10.6,243.8
2025-04,ART-0122,12,23.22,278.64
2025-04,ART-0123,9,18.06,162.54
2025-04,ART-0125,29,14.49,420.21
2025-04,ART-0127,11,18.84,207.24
2025-04,ART-0128,9,9.78,88.02
2025-04,ART-0129,12,36.39,436.68
2025-04,ART-0130,8,49.64,397.12
2025-04,ART-0131,6,34.02,204.12
2025-04,ART-0132,8,31.03,248.24
2025-04,ART-0133,9,13.21,118.89
2025-04,ART-0135,17,13.14,223.38
2025-04,ART-0136,21,24.03,504.63
2025-04,ART-0137,9,21.24,191.16
2025-04,ART-0138,12,15.85,190.2
2025-04,ART-0139,20,15.99,319.8
2025-04,ART-0140,4,19.17,76.68
2025-04,ART-0142,5,23.34,116.7
2025-04,ART-0143,10,18.87,188.7
2025-04,ART-0144,7,19.24,134.68
2025-04,ART-0145,17,24.32,413.44
2025-04,ART-0146,5,11.44,57.2
2025-04,ART-0148,38,28.13,1068.94
2025-04,ART-0149,11,16.82,185.02
