report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-12,ART-0000,8,23.86,0.0,190.88,5.85
2025-12,ART-0002,11,28.69,0.0,315.59,9.27
2025-12,ART-0004,6,21.82,0.0,130.92,3.83
2025-12,ART-0005,5,22.93,0.0,114.65,3.86
2025-12,ART-0006,18,26.94,0.0,484.92,12.27
2025-12,ART-0007,8,21.5,0.0,172.0,4.85
2025-12,ART-0008,7,10.43,0.0,73.01,2.12
2025-12,ART-0010,14,36.61,0.0,512.54,9.59
2025-12,ART-0011,17,26.06,0.0,443.02,13.15
2025-12,ART-0012,23,15.59,0.0,358.57,12.93
2025-12,ART-0013,3,26.13,0.0,78.39,2.57
2025-12,ART-0015,20,28.95,0.0,579.0,20.28
2025-12,ART-0016,7,42.72,0.0,299.04,8.56
2025-12,ART-0017,8,24.0,0.0,192.0,4.1
2025-12,ART-0018,20,8.42,0.0,168.4,4.95
2025-12,ART-0019,11,15.25,0.0,167.75,5.18
2025-12,ART-0020,15,29.29,0.0,439.35,16.6
2025-12,ART-0021,10,37.21,0.0,372.1,11.72
2025-12,ART-0023,10,16.01,0.0,160.1,3.53
2025-12,ART-0024,11,30.83,0.0,339.13,10.57
2025-12,ART-0025,7,25.95,0.0,181.65,5.09
2025-12,ART-0026,14,16.03,0.0,224.42,7.58
2025-12,ART-0027,13,12.94,0.0,168.22,6.45
2025-12,ART-0028,45,27.62,0.0,1242.9,46.78
2025-12,ART-0029,17,41.95,0.0,713.15,22.31
2025-12,ART-0031,20,16.7,0.0,334.0,8.33
2025-12,ART-0032,11,34.94,0.0,384.34,11.41
2025-12,ART-0033,18,21.13,0.0,380.34,10.38
2025-12,ART-0034,4,10.0,0.0,40.0,1.66
2025-12,ART-0035,5,19.73,0.0,98.65,2.84
2025-12,ART-0036,20,28.02,0.0,560.4,16.46
2025-12,ART-0037,21,23.54,0.0,494.34,15.6
2025-12,ART-0038,10,40.25,0.0,402.5,14.34
2025-12,ART-0039,7,37.21,0.0,260.47,8.89
2025-12,ART-0040,8,13.65,0.0,109.2,3.43
2025-12,ART-0041,39,16.71,0.0,651.69,19.07
2025-12,ART-0042,2,31.23,0.0,62.46,1.86
2025-12,ART-0043,3,16.63,0.0,49.89,1.66
2025-12,ART-0045,5,14.24,0.0,71.2,1.78
2025-12,ART-0046,14,23.76,0.0,332.64,7.52
2025-12,ART-0048,13,14.48,0.0,188.24,6.68
2025-12,ART-0049,11,42.0,0.0,462.0,15.29
2025-12,ART-0050,9,32.97,0.0,296.73,8.68
2025-12,ART-0051,15,7.03,0.0,105.45,3.3
2025-12,ART-0052,4,21.02,0.0,84.08,2.66
2025-12,ART-0053,17,15.14,0.0,257.38,8.78
2025-12,ART-0054,13,15.96,0.0,207.48,6.22
2025-12,ART-0055,9,15.42,0.0,138.78,4.91
2025-12,ART-0056,14,28.08,0.0,393.12,9.29
2025-12,ART-0057,38,23.96,0.0,910.48,23.8
2025-12,ART-0058,14,39.89,0.0,558.46,15.63
2025-12,ART-0060,24,10.33,0.0,247.92,7.68
2025-12,ART-0061,15,19.38,0.0,290.7,9.14
