report_period,article_sku,quantity,unit_price,amount
2025-01,ART-0000,6,23.05,138.3
2025-01,ART-0001,12,33.87,406.44
2025-01,ART-0002,10,28.52,285.2
2025-01,ART-0003,8,17.73,141.84
2025-01,ART-0004,5,21.71,108.55
2025-01,ART-0005,5,22.45,112.25
2025-01,ART-0006,13,27.16,353.08
2025-01,ART-0008,9,10.41,93.69
2025-01,ART-0009,4,28.85,115.4
2025-01,ART-0010,21,36.81,773.01
2025-01,ART-0011,17,25.55,434.35
2025-01,ART-0012,18,15.67,282.06
2025-01,ART-0013,2,26.16,52.32
2025-01,ART-0014,8,26.28,210.24
2025-01,ART-0015,24,28.64,687.36
2025-01,ART-0017,11,24.17,265.87
2025-01,ART-0018,18,8.39,151.02
2025-01,ART-0019,17,15.15,257.55
2025-01,ART-0021,13,35.74,464.62
2025-01,ART-0022,37,13.36,494.32
2025-01,ART-0023,11,16.09,176.99
2025-01,ART-0024,12,31.23,374.76
2025-01,ART-0025,4,26.24,104.96
2025-01,ART-0026,19,15.89,301.91
2025-01,ART-0027,14,12.73,178.22
2025-01,ART-0028,38,27.47,1043.86
2025-01,ART-0029,10,43.29,432.9
2025-01,ART-0030,4,44.29,177.16
2025-01,ART-0032,10,34.79,347.9
2025-01,ART-0033,11,20.69,227.59
2025-01,ART-0034,2,10.05,20.1
2025-01,ART-0035,11,19.88,218.68
2025-01,ART-0036,13,28.38,368.94
2025-01,ART-0037,17,23.47,398.99
2025-01,ART-0038,8,40.72,325.76
2025-01,ART-0039,5,36.47,182.35
2025-01,ART-0040,6,13.93,83.58
2025-01,ART-0041,31,16.23,503.13
2025-01,ART-0042,3,31.15,93.45
2025-01,ART-0043,5,16.78,83.9
2025-01,ART-0044,44,11.71,515.24
2025-01,ART-0045,6,14.4,86.4
2025-01,ART-0046,13,23.53,305.89
2025-01,ART-0047,4,24.61,98.44
2025-01,ART-0048,19,14.57,276.83
2025-01,ART-0049,5,43.16,215.8
2025-01,ART-0050,4,32.76,131.04
2025-01,ART-0051,9,7.17,64.53
2025-01,ART-0052,5,21.24,106.2
2025-01,ART-0053,23,15.29,351.67
2025-01,ART-0054,8,15.94,127.52
2025-01,ART-0055,11,15.32,168.52
2025-01,ART-0056,21,28.2,592.2
2025-01,ART-0058,9,40.18,361.62
2025-01,ART-0059,9,10.31,92.79
2025-01,ART-0060,18,10.27,184.86
2025-01,ART-0061,6,19.32,115.92
2025-01,ART-0062,7,20.42,142.94
2025-01,ART-0063,10,15.7,157.0
2025-01,ART-0064,19,12.53,238.07
2025-01,ART-0065,10,32.55,325.5
2025-01,ART-0067,16,13.85,221.6
2025-01,ART-0068,11,73.09,803.99
2025-01,ART-0069,12,15.33,183.96
2025-01,ART-0070,6,44.57,267.42
2025-01,ART-0071,9,7.43,66.87
2025-01,ART-0072,13,23.5,305.5
2025-01,ART-0073,11,19.25,211.75
2025-01,ART-0075,5,41.44,207.2
2025-01,ART-0077,5,14.87,74.35
2025-01,ART-0079,6,14.06,84.36
2025-01,ART-0080,15,37.46,561.9
2025-01,ART-0081,6,14.36,86.16
2025-01,ART-0082,11,49.4,543.4
2025-01,ART-0083,15,18.18,272.7
2025-01,ART-0084,13,16.01,208.13
2025-01,ART-0085,38,50.45,1917.1
2025-01,ART-0086,23,24.82,570.86
2025-01,ART-0087,4,27.97,111.88
2025-01,ART-0088,24,20.99,503.76
2025-01,ART-0089,14,38.3,536.2
2025-01,ART-0091,21,20.46,429.66
2025-01,ART-0092,18,31.2,561.6
2025-01,ART-0093,7,13.85,96.95
2025-01,ART-0094,8,11.16,89.28
2025-01,ART-0095,18,13.6,244.8
2025-01,ART-0096,26,14.41,374.66
2025-01,ART-0097,22,30.63,673.86
2025-01,ART-0098,5,24.1,120.5
2025-01,ART-0099,5,24.27,121.35
2025-01,ART-0100,9,9.82,88.38
2025-01,ART-0101,22,22.83,502.26
2025-01,ART-0102,11,22.57,248.27
2025-01,ART-0103,18,13.79,248.22
2025-01,ART-0104,15,21.65,324.75
2025-01,ART-0106,30,35.52,1065.6
2025-01,ART-0107,17,33.26,565.42
2025-01,ART-0108,7,19.09,133.63
2025-01,ART-0109,4,20.18,80.72
2025-01,ART-0110,22,11.51,253.22
2025-01,ART-0111,9,27.61,248.49
2025-01,ART-0112,5,17.75,88.75
2025-01,ART-0113,19,17.02,323.38
2025-01,ART-0115,7,19.15,134.05
2025-01,ART-0117,22,38.36,843.92
2025-01,ART-0119,6,35.11,210.66
2025-01,ART-0121,13,11.62,151.06
2025-01,ART-0122,10,23.03,230.3
2025-01,ART-0123,5,17.92,89.6
2025-01,ART-0124,15,11.25,168.75
2025-01,ART-0125,12,14.57,174.84
2025-01,ART-0126,17,17.59,299.03
2025-01,ART-0127,11,18.89,207.79
2025-01,ART-0128,11,10.02,110.22
2025-01,ART-0129,6,35.83,214.98
2025-01,ART-0130,8,50.92,407.36
2025-01,ART-0131,6,33.96,203.76
2025-01,ART-0133,4,13.17,52.68
2025-01,ART-0134,9,17.22,154.98
2025-01,ART-0135,15,12.76,191.4
2025-01,ART-0137,10,21.13,211.3
2025-01,ART-0139,14,16.23,227.22
2025-01,ART-0140,5,19.15,95.75
2025-01,ART-0141,4,18.78,75.12
2025-01,ART-0143,10,18.87,188.7
2025-01,ART-0144,3,18.95,56.85
2025-01,ART-0146,4,11.56,46.24
2025-01,ART-0147,17,25.39,431.63
2025-01,ART-0148,38,28.17,1070.46
2025-01,ART-0149,5,17.09,85.45
