article_sku,2025-11
ART-0000,117.6
ART-0001,468.58
ART-0002,506.88
ART-0003,72.24
ART-0006,293.59
ART-0007,216.8
ART-0009,284.5
ART-0010,477.88
ART-0011,408.48
ART-0012,256.8
ART-0014,310.2
ART-0015,589.68
ART-0016,508.32
ART-0017,288.72
ART-0019,180.96
ART-0020,434.1
ART-0021,476.58
ART-0022,361.53
ART-0023,186.48
ART-0025,154.44
ART-0026,238.5
ART-0027,158.04
ART-0028,1179.49
ART-0029,636.15
ART-0030,179.4
ART-0031,503.7
ART-0032,312.75
ART-0033,328.32
ART-0034,30.12
ART-0035,153.44
ART-0036,255.33
ART-0037,581.0
ART-0038,330.48
ART-0040,165.48
ART-0041,328.0
ART-0042,126.08
ART-0043,66.72
ART-0044,512.6
ART-0045,85.74
ART-0047,290.28
ART-0048,233.44
ART-0049,260.22
ART-0050,361.57
ART-0051,86.76
ART-0052,84.72
ART-0053,274.32
ART-0054,174.9
ART-0056,1043.64
ART-0057,527.56
ART-0058,443.63
ART-0059,114.18
ART-0060,204.0
ART-0061,248.3
ART-0062,164.64
ART-0063,283.32
ART-0065,492.9
ART-0066,112.2
ART-0067,223.04
ART-0068,951.73
ART-0070,220.45
ART-0072,328.72
ART-0075,166.16
ART-0076,172.38
ART-0077,101.01
ART-0078,333.54
ART-0079,111.04
ART-0080,444.24
ART-0081,99.4
ART-0082,557.48
ART-0083,382.41
ART-0084,251.2
ART-0085,1250.75
ART-0086,422.11
ART-0087,84.15
ART-0088,752.15
ART-0089,464.52
ART-0090,202.68
ART-0091,482.64
ART-0092,1130.72
ART-0093,95.9
ART-0094,145.6
ART-0096,172.08
ART-0097,1050.94
ART-0098,96.04
ART-0099,97.2
ART-0100,106.48
ART-0102,202.68
ART-0104,171.76
ART-0105,64.17
ART-0106,1068.6
ART-0107,787.2
ART-0108,114.78
ART-0110,291.25
ART-0111,222.16
ART-0112,107.16
ART-0113,436.02
ART-0115,132.58
ART-0116,145.2
ART-0118,122.88
ART-0119,171.7
ART-0120,266.75
ART-0121,216.98
ART-0122,279.96
ART-0123,218.04
ART-0124,230.8
ART-0125,336.95
ART-0126,193.16
ART-0127,169.29
ART-0128,68.04
ART-0129,512.26
ART-0130,296.16
ART-0131,169.7
ART-0133,78.18
ART-0134,156.33
ART-0135,157.56
ART-0136,264.88
ART-0137,148.75
ART-0138,177.65
ART-0139,226.52
ART-0140,96.1
ART-0141,74.04
ART-0143,188.9
ART-0144,171.27
ART-0145,388.96
ART-0146,57.9
ART-0147,208.96
ART-0149,67.04
