report_period,article_sku,quantity,unit_price,amount
2025-11,ART-0000,5,23.52,117.6
2025-11,ART-0001,14,33.47,468.58
2025-11,ART-0002,18,28.16,506.88
2025-11,ART-0003,4,18.06,72.24
2025-11,ART-0006,11,26.69,293.59
2025-11,ART-0007,10,21.68,216.8
2025-11,ART-0009,10,28.45,284.5
2025-11,ART-0010,13,36.76,477.88
2025-11,ART-0011,16,25.53,408.48
2025-11,ART-0012,16,16.05,256.8
2025-11,ART-0014,12,25.85,310.2
2025-11,ART-0015,21,28.08,589.68
2025-11,ART-0016,12,42.36,508.32
2025-11,ART-0017,12,24.06,288.72
2025-11,ART-0019,12,15.08,180.96
2025-11,ART-0020,15,28.94,434.1
2025-11,ART-0021,13,36.66,476.58
2025-11,ART-0022,27,13.39,361.53
2025-11,ART-0023,12,15.54,186.48
2025-11,ART-0025,6,25.74,154.44
2025-11,ART-0026,15,15.9,238.5
2025-11,ART-0027,12,13.17,158.04
2025-11,ART-0028,43,27.43,1179.49
2025-11,ART-0029,15,42.41,636.15
2025-11,ART-0030,4,44.85,179.4
2025-11,ART-0031,30,16.79,503.7
2025-11,ART-0032,9,34.75,312.75
2025-11,ART-0033,16,20.52,328.32
2025-11,ART-0034,3,10.04,30.12
2025-11,ART-0035,8,19.18,153.44
2025-11,ART-0036,9,28.37,255.33
2025-11,ART-0037,25,23.24,581.0
2025-11,ART-0038,8,41.31,330.48
2025-11,ART-0040,12,13.79,165.48
2025-11,ART-0041,20,16.4,328.0
2025-11,ART-0042,4,31.52,126.08
2025-11,ART-0043,4,16.68,66.72
2025-11,ART-0044,44,11.65,512.6
2025-11,ART-0045,6,14.29,85.74
2025-11,ART-0047,12,24.19,290.28
2025-11,ART-0048,16,14.59,233.44
2025-11,ART-0049,6,43.37,260.22
2025-11,ART-0050,11,32.87,361.57
2025-11,ART-0051,12,7.23,86.76
2025-11,ART-0052,4,21.18,84.72
2025-11,ART-0053,18,15.24,274.32
2025-11,ART-0054,11,15.9,174.9
2025-11,ART-0056,36,28.99,1043.64
2025-11,ART-0057,22,23.98,527.56
2025-11,ART-0058,11,40.33,443.63
2025-11,ART-0059,11,10.38,114.18
2025-11,ART-0060,20,10.2,204.0
2025-11,ART-0061,13,19.1,248.3
2025-11,ART-0062,8,20.58,164.64
2025-11,ART-0063,18,15.74,283.32
2025-11,ART-0065,15,32.86,492.9
2025-11,ART-0066,3,37.4,112.2
2025-11,ART-0067,16,13.94,223.04
2025-11,ART-0068,13,73.21,951.73
2025-11,ART-0070,5,44.09,220.45
2025-11,ART-0072,14,23.48,328.72
2025-11,ART-0075,4,41.54,166.16
2025-11,ART-0076,13,13.26,172.38
2025-11,ART-0077,7,14.43,101.01
2025-11,ART-0078,17,19.62,333.54
2025-11,ART-0079,8,13.88,111.04
2025-11,ART-0080,12,37.02,444.24
2025-11,ART-0081,7,14.2,99.4
2025-11,ART-0082,11,50.68,557.48
2025-11,ART-0083,21,18.21,382.41
2025-11,ART-0084,16,15.7,251.2
2025-11,ART-0085,25,50.03,1250.75
2025-11,ART-0086,17,24.83,422.11
2025-11,ART-0087,3,28.05,84.15
2025-11,ART-0088,35,21.49,752.15
2025-11,ART-0089,12,38.71,464.52
2025-11,ART-0090,9,22.52,202.68
2025-11,ART-0091,24,20.11,482.64
2025-11,ART-0092,37,30.56,1130.72
2025-11,ART-0093,7,13.7,95.9
2025-11,ART-0094,13,11.2,145.6
2025-11,ART-0096,12,14.34,172.08
2025-11,ART-0097,34,30.91,1050.94
2025-11,ART-0098,4,24.01,96.04
2025-11,ART-0099,4,24.3,97.2
2025-11,ART-0100,11,9.68,106.48
2025-11,ART-0102,9,22.52,202.68
2025-11,ART-0104,8,21.47,171.76
2025-11,ART-0105,9,7.13,64.17
2025-11,ART-0106,30,35.62,1068.6
2025-11,ART-0107,24,32.8,787.2
2025-11,ART-0108,6,19.13,114.78
2025-11,ART-0110,25,11.65,291.25
2025-11,ART-0111,8,27.77,222.16
2025-11,ART-0112,6,17.86,107.16
2025-11,ART-0113,26,16.77,436.02
2025-11,ART-0115,7,18.94,132.58
2025-11,ART-0116,11,13.2,145.2
2025-11,ART-0118,8,15.36,122.88
2025-11,ART-0119,5,34.34,171.7
2025-11,ART-0120,25,10.67,266.75
2025-11,ART-0121,19,11.42,216.98
2025-11,ART-0122,12,23.33,279.96
2025-11,ART-0123,12,18.17,218.04
2025-11,ART-0124,20,11.54,230.8
2025-11,ART-0125,23,14.65,336.95
2025-11,ART-0126,11,17.56,193.16
2025-11,ART-0127,9,18.81,169.29
2025-11,ART-0128,7,9.72,68.04
2025-11,ART-0129,14,36.59,512.26
2025-11,ART-0130,6,49.36,296.16
2025-11,ART-0131,5,33.94,169.7
2025-11,ART-0133,6,13.03,78.18
2025-11,ART-0134,9,17.37,156.33
2025-11,ART-0135,12,13.13,157.56
2025-11,ART-0136,11,24.08,264.88
2025-11,ART-0137,7,21.25,148.75
2025-11,ART-0138,11,16.15,177.65
2025-11,ART-0139,14,16.18,226.52
2025-11,ART-0140,5,19.22,96.1
2025-11,ART-0141,4,18.51,74.04
2025-11,ART-0143,10,18.89,188.9
2025-11,ART-0144,9,19.03,171.27
2025-11,ART-0145,16,24.31,388.96
2025-11,ART-0146,5,11.58,57.9
2025-11,ART-0147,8,26.12,208.96
2025-11,ART-0149,4,16.76,67.04
