freight,amount,unit_price,quantity,article_sku,report_period
12.47,429.13,33.01,13,ART-0001,2025-07
10.01,366.34,28.18,13,ART-0002,2025-07
2.73,124.67,17.81,7,ART-0003,2025-07
3.22,129.06,21.51,6,ART-0004,2025-07
3.1,112.8,22.56,5,ART-0005,2025-07
5.74,217.36,27.17,8,ART-0006,2025-07
3.47,109.7,21.94,5,ART-0007,2025-07
1.83,61.38,10.23,6,ART-0008,2025-07
6.39,200.69,28.67,7,ART-0009,2025-07
14.93,520.38,37.17,14,ART-0010,2025-07
12.85,384.45,25.63,15,ART-0011,2025-07
6.37,238.95,26.55,9,ART-0014,2025-07
4.91,167.93,23.99,7,ART-0017,2025-07
2.42,75.33,8.37,9,ART-0018,2025-07
6.85,197.73,15.21,13,ART-0019,2025-07
10.83,406.84,29.06,14,ART-0020,2025-07
15.1,411.29,37.39,11,ART-0021,2025-07
26.1,734.4,13.6,54,ART-0022,2025-07
3.92,112.77,16.11,7,ART-0023,2025-07
13.78,465.45,31.03,15,ART-0024,2025-07
5.43,152.1,25.35,6,ART-0025,2025-07
7.02,320.4,16.02,20,ART-0026,2025-07
3.57,115.29,12.81,9,ART-0027,2025-07
19.71,588.0,42.0,14,ART-0029,2025-07
6.17,178.32,44.58,4,ART-0030,2025-07
11.81,377.66,16.42,23,ART-0031,2025-07
14.22,415.32,34.61,12,ART-0032,2025-07
7.66,247.92,20.66,12,ART-0033,2025-07
0.68,29.97,9.99,3,ART-0034,2025-07
3.9,114.78,19.13,6,ART-0035,2025-07
6.11,231.2,28.9,8,ART-0036,2025-07
11.46,328.72,23.48,14,ART-0037,2025-07
13.78,495.96,41.33,12,ART-0038,2025-07
11.37,328.59,36.51,9,ART-0039,2025-07
4.35,108.0,13.5,8,ART-0040,2025-07
12.54,343.56,16.36,21,ART-0041,2025-07
2.94,94.29,31.43,3,ART-0042,2025-07
3.44,100.38,16.73,6,ART-0043,2025-07
10.67,381.81,11.57,33,ART-0044,2025-07
2.21,71.25,14.25,5,ART-0045,2025-07
12.66,310.96,23.92,13,ART-0046,2025-07
6.22,170.8,24.4,7,ART-0047,2025-07
10.18,298.2,42.6,7,ART-0049,2025-07
8.48,296.46,32.94,9,ART-0050,2025-07
2.66,109.65,7.31,15,ART-0051,2025-07
4.17,105.3,21.06,5,ART-0052,2025-07
8.78,258.74,15.22,17,ART-0053,2025-07
9.17,316.6,15.83,20,ART-0054,2025-07
18.03,528.44,24.02,22,ART-0057,2025-07
6.34,175.27,10.31,17,ART-0059,2025-07
9.35,317.44,10.24,31,ART-0060,2025-07
6.84,197.3,19.73,10,ART-0061,2025-07
5.51,144.83,20.69,7,ART-0062,2025-07
