article_sku,2025-09
ART-0000,209.16
ART-0001,604.44
ART-0002,366.6
ART-0004,128.28
ART-0005,134.94
ART-0006,273.6
ART-0007,130.68
ART-0008,83.12
ART-0009,196.63
ART-0010,1079.38
ART-0011,490.58
ART-0012,252.96
ART-0014,324.22
ART-0015,666.54
ART-0016,507.72
ART-0017,197.44
ART-0018,158.46
ART-0019,154.8
ART-0020,354.24
ART-0021,291.52
ART-0022,379.96
ART-0023,145.98
ART-0024,429.24
ART-0026,305.9
ART-0027,156.0
ART-0029,471.24
ART-0030,178.24
ART-0032,476.28
ART-0033,275.47
ART-0034,20.22
ART-0035,157.68
ART-0036,399.42
ART-0037,514.58
ART-0039,290.64
ART-0041,629.28
ART-0042,126.64
ART-0043,67.68
ART-0044,335.53
ART-0045,72.05
ART-0046,330.12
ART-0049,297.99
ART-0050,330.5
ART-0051,136.23
ART-0052,84.56
ART-0053,401.7
ART-0054,217.98
ART-0055,214.62
ART-0056,628.1
ART-0057,524.7
ART-0058,559.02
ART-0059,160.96
ART-0061,233.52
ART-0063,233.55
ART-0064,152.28
ART-0065,453.74
ART-0066,226.62
ART-0067,345.75
ART-0068,789.25
ART-0069,151.1
ART-0070,346.4
ART-0071,73.7
ART-0072,444.98
ART-0074,135.78
ART-0075,283.08
ART-0077,58.52
ART-0078,319.2
ART-0080,957.32
ART-0082,605.16
ART-0083,360.0
ART-0084,190.32
ART-0087,190.89
ART-0088,536.5
ART-0090,204.3
ART-0091,422.94
ART-0093,138.8
ART-0094,79.94
ART-0095,241.74
ART-0096,375.44
ART-0097,496.32
ART-0099,144.6
ART-0100,96.7
ART-0101,404.1
ART-0102,476.28
ART-0103,222.08
ART-0104,214.4
ART-0105,43.26
ART-0107,592.92
ART-0108,115.5
ART-0109,121.14
ART-0110,387.75
ART-0111,665.76
ART-0112,142.72
ART-0113,391.69
ART-0114,227.88
ART-0115,95.7
ART-0116,185.08
ART-0117,796.11
ART-0118,155.3
ART-0119,175.1
ART-0120,117.7
ART-0121,267.95
ART-0122,505.78
ART-0123,124.46
ART-0124,235.2
ART-0125,245.31
ART-0126,142.4
ART-0127,260.12
ART-0128,147.0
ART-0129,324.36
ART-0130,301.5
ART-0131,273.52
ART-0133,93.31
ART-0134,119.28
ART-0135,197.25
ART-0136,584.16
ART-0137,127.5
ART-0139,195.36
ART-0140,133.84
ART-0141,74.2
ART-0144,172.89
ART-0145,383.36
ART-0146,92.4
ART-0147,362.46
ART-0148,1021.68
ART-0149,117.32
