report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-06,ART-0000,10,23.53,0.0,235.3,6.66
2025-06,ART-0001,18,33.52,0.0,603.36,20.5
2025-06,ART-0002,10,28.04,0.0,280.4,7.05
2025-06,ART-0003,5,18.22,0.0,91.1,2.74
2025-06,ART-0004,5,21.48,0.0,107.4,3.15
2025-06,ART-0005,6,22.74,0.0,136.44,3.81
2025-06,ART-0006,10,27.25,0.0,272.5,9.58
2025-06,ART-0007,7,22.02,0.0,154.14,4.24
2025-06,ART-0008,7,10.47,0.0,73.29,2.47
2025-06,ART-0009,6,28.7,0.0,172.2,5.87
2025-06,ART-0010,21,36.78,0.0,772.38,25.16
2025-06,ART-0011,13,26.34,0.0,342.42,12.26
2025-06,ART-0012,13,15.85,0.0,206.05,5.85
2025-06,ART-0014,11,26.14,0.0,287.54,9.03
2025-06,ART-0015,30,28.38,0.0,851.4,26.31
2025-06,ART-0017,12,24.31,0.0,291.72,9.36
2025-06,ART-0018,11,8.44,0.0,92.84,2.38
2025-06,ART-0019,20,15.33,0.0,306.6,8.98
2025-06,ART-0020,18,29.22,0.0,525.96,17.02
2025-06,ART-0021,7,36.74,0.0,257.18,8.47
2025-06,ART-0022,49,13.31,0.0,652.19,24.82
2025-06,ART-0024,8,31.16,0.0,249.28,6.89
2025-06,ART-0025,6,25.63,0.0,153.78,5.27
2025-06,ART-0027,16,13.06,0.0,208.96,5.64
2025-06,ART-0029,12,42.21,0.0,506.52,14.89
2025-06,ART-0031,21,16.83,0.0,353.43,13.06
2025-06,ART-0033,10,20.69,0.0,206.9,6.02
2025-06,ART-0034,3,10.04,0.0,30.12,1.01
2025-06,ART-0035,9,19.77,0.0,177.93,5.96
2025-06,ART-0036,10,28.34,0.0,283.4,9.32
2025-06,ART-0037,18,23.48,0.0,422.64,11.99
2025-06,ART-0038,14,42.14,0.0,589.96,15.73
2025-06,ART-0039,9,37.02,0.0,333.18,9.98
2025-06,ART-0040,9,13.66,0.0,122.94,3.49
2025-06,ART-0041,29,16.64,0.0,482.56,17.17
2025-06,ART-0042,3,31.22,0.0,93.66,3.0
