invoice date,desc,pcs,unit cost,gross,freight
2025-05,ART-0000,12,23.59,283.08,9.92
2025-05,ART-0001,17,33.96,577.32,18.1
2025-05,ART-0002,12,28.64,343.68,13.38
2025-05,ART-0003,4,18.0,72.0,1.82
2025-05,ART-0004,7,21.64,151.48,5.42
2025-05,ART-0005,5,22.44,112.2,4.15
2025-05,ART-0006,16,26.74,427.84,17.29
2025-05,ART-0007,7,21.91,153.37,5.21
2025-05,ART-0009,9,28.89,260.01,8.59
2025-05,ART-0010,17,36.62,622.54,19.37
2025-05,ART-0012,14,15.54,217.56,5.81
2025-05,ART-0014,10,26.13,261.3,8.1
2025-05,ART-0015,27,28.23,762.21,27.86
2025-05,ART-0016,6,42.97,257.82,8.18
2025-05,ART-0017,9,24.01,216.09,7.86
2025-05,ART-0019,25,15.4,385.0,10.92
2025-05,ART-0020,22,29.31,644.82,20.46
2025-05,ART-0023,11,16.13,177.43,4.49
2025-05,ART-0024,8,32.08,256.64,7.46
2025-05,ART-0025,7,25.31,177.17,5.99
2025-05,ART-0026,19,16.01,304.19,9.98
2025-05,ART-0028,41,27.86,1142.26,41.25
2025-05,ART-0031,34,16.91,574.94,18.59
2025-05,ART-0032,12,35.0,420.0,12.63
2025-05,ART-0033,13,21.17,275.21,7.96
2025-05,ART-0034,3,9.96,29.88,1.11
2025-05,ART-0035,6,19.45,116.7,3.51
2025-05,ART-0036,12,28.19,338.28,9.93
2025-05,ART-0037,16,23.54,376.64,12.13
2025-05,ART-0038,8,40.64,325.12,7.38
2025-05,ART-0040,7,13.85,96.95,2.38
2025-05,ART-0042,3,31.36,94.08,2.7
2025-05,ART-0043,6,16.87,101.22,3.36
2025-05,ART-0044,38,11.53,438.14,9.12
2025-05,ART-0045,5,14.36,71.8,2.14
2025-05,ART-0046,10,23.65,236.5,7.3
2025-05,ART-0047,5,24.64,123.2,4.93
2025-05,ART-0048,24,14.54,348.96,9.34
2025-05,ART-0049,4,42.11,168.44,5.52
2025-05,ART-0051,17,7.31,124.27,3.48
2025-05,ART-0052,4,21.27,85.08,2.81
2025-05,ART-0053,31,15.47,479.57,16.64
