freight,amount,unit_price,quantity,article_sku,report_period
5.7,189.28,23.66,8,ART-0000,2025-08
20.6,578.68,34.04,17,ART-0001,2025-08
4.72,198.24,28.32,7,ART-0002,2025-08
4.49,129.66,21.61,6,ART-0004,2025-08
3.03,111.25,22.25,5,ART-0005,2025-08
4.01,164.46,27.41,6,ART-0006,2025-08
4.85,152.25,21.75,7,ART-0007,2025-08
1.44,52.15,10.43,5,ART-0008,2025-08
5.03,198.24,28.32,7,ART-0009,2025-08
25.91,813.56,36.98,22,ART-0010,2025-08
17.17,586.73,25.51,23,ART-0011,2025-08
8.35,273.02,16.06,17,ART-0012,2025-08
2.39,78.27,26.09,3,ART-0013,2025-08
6.89,211.76,26.47,8,ART-0014,2025-08
14.78,629.42,28.61,22,ART-0015,2025-08
8.46,301.7,43.1,7,ART-0016,2025-08
9.5,267.08,24.28,11,ART-0017,2025-08
4.99,154.44,8.58,18,ART-0018,2025-08
5.34,169.18,15.38,11,ART-0019,2025-08
15.44,499.97,29.41,17,ART-0020,2025-08
12.83,436.48,13.64,32,ART-0022,2025-08
4.7,176.33,16.03,11,ART-0023,2025-08
10.07,313.3,31.33,10,ART-0024,2025-08
5.74,178.92,25.56,7,ART-0025,2025-08
7.66,288.18,16.01,18,ART-0026,2025-08
5.22,157.44,13.12,12,ART-0027,2025-08
28.76,1115.2,27.88,40,ART-0028,2025-08
16.63,565.76,43.52,13,ART-0029,2025-08
3.98,133.77,44.59,3,ART-0030,2025-08
11.47,413.04,34.42,12,ART-0032,2025-08
7.04,314.25,20.95,15,ART-0033,2025-08
0.95,30.15,10.05,3,ART-0034,2025-08
6.22,200.9,20.09,10,ART-0035,2025-08
8.5,252.72,28.08,9,ART-0036,2025-08
19.4,729.43,23.53,31,ART-0037,2025-08
9.34,287.91,41.13,7,ART-0038,2025-08
5.79,222.84,37.14,6,ART-0039,2025-08
2.93,109.12,13.64,8,ART-0040,2025-08
1.8,62.84,31.42,2,ART-0042,2025-08
3.03,83.75,16.75,5,ART-0043,2025-08
17.88,553.19,11.77,47,ART-0044,2025-08
0.77,29.22,14.61,2,ART-0045,2025-08
5.1,165.97,23.71,7,ART-0046,2025-08
5.02,171.92,24.56,7,ART-0047,2025-08
7.84,293.0,14.65,20,ART-0048,2025-08
6.09,213.75,42.75,5,ART-0049,2025-08
6.62,196.8,32.8,6,ART-0050,2025-08
3.42,92.95,7.15,13,ART-0051,2025-08
2.01,84.0,21.0,4,ART-0052,2025-08
10.25,376.25,15.05,25,ART-0053,2025-08
5.07,177.43,16.13,11,ART-0054,2025-08
6.46,201.89,15.53,13,ART-0055,2025-08
17.8,491.13,28.89,17,ART-0056,2025-08
21.0,717.6,23.92,30,ART-0057,2025-08
2.97,102.5,10.25,10,ART-0059,2025-08
15.36,384.56,10.12,38,ART-0060,2025-08
6.0,230.76,19.23,12,ART-0061,2025-08
5.09,145.11,20.73,7,ART-0062,2025-08
5.45,168.41,15.31,11,ART-0063,2025-08
4.71,151.08,12.59,12,ART-0064,2025-08
10.88,423.54,32.58,13,ART-0065,2025-08
5.66,226.44,37.74,6,ART-0066,2025-08
45.7,1315.8,73.1,18,ART-0068,2025-08
7.39,181.2,15.1,12,ART-0069,2025-08
10.81,299.46,42.78,7,ART-0070,2025-08
2.03,72.9,7.29,10,ART-0071,2025-08
14.2,423.72,23.54,18,ART-0072,2025-08
6.49,213.73,19.43,11,ART-0073,2025-08
9.22,247.44,41.24,6,ART-0075,2025-08
3.63,103.92,12.99,8,ART-0076,2025-08
3.04,87.78,14.63,6,ART-0077,2025-08
9.45,383.0,19.15,20,ART-0078,2025-08
1.81,81.96,13.66,6,ART-0079,2025-08
1.77,57.72,14.43,4,ART-0081,2025-08
24.21,602.16,50.18,12,ART-0082,2025-08
6.61,217.0,15.5,14,ART-0084,2025-08
13.29,318.24,24.48,13,ART-0086,2025-08
3.53,138.3,27.66,5,ART-0087,2025-08
12.38,510.72,21.28,24,ART-0088,2025-08
18.83,500.89,38.53,13,ART-0089,2025-08
4.42,161.63,23.09,7,ART-0090,2025-08
9.37,307.5,20.5,15,ART-0091,2025-08
31.06,1024.65,31.05,33,ART-0092,2025-08
4.07,112.1,11.21,10,ART-0094,2025-08
7.14,203.1,13.54,15,ART-0095,2025-08
5.0,162.58,14.78,11,ART-0096,2025-08
17.81,618.8,30.94,20,ART-0097,2025-08
2.52,73.59,24.53,3,ART-0099,2025-08
4.03,115.8,9.65,12,ART-0100,2025-08
