article_sku,2025-02
ART-0000,213.57
ART-0001,435.37
ART-0003,143.2
ART-0004,107.2
ART-0006,402.75
ART-0007,133.98
ART-0008,72.59
ART-0010,892.32
ART-0011,618.72
ART-0012,190.92
ART-0013,76.56
ART-0014,313.2
ART-0015,600.6
ART-0016,298.06
ART-0017,219.69
ART-0019,365.76
ART-0020,408.52
ART-0021,370.8
ART-0022,568.26
ART-0024,406.51
ART-0025,100.6
ART-0026,332.64
ART-0027,90.65
ART-0029,763.56
ART-0030,181.76
ART-0031,519.56
ART-0032,381.48
ART-0033,512.4
ART-0035,233.76
ART-0037,400.86
ART-0038,287.21
ART-0039,259.56
ART-0040,110.0
ART-0041,553.86
ART-0042,92.55
ART-0043,50.76
ART-0044,335.82
ART-0045,113.52
ART-0046,373.92
ART-0047,146.28
ART-0049,252.6
ART-0050,392.04
ART-0051,94.64
ART-0052,145.18
ART-0053,333.74
ART-0054,191.16
ART-0056,669.99
ART-0057,548.46
ART-0058,603.3
ART-0059,250.32
ART-0060,307.2
ART-0061,135.17
ART-0062,182.7
ART-0063,219.94
ART-0064,224.46
ART-0065,395.28
ART-0066,148.68
ART-0067,164.76
ART-0068,1161.44
ART-0069,200.2
ART-0070,437.1
ART-0071,93.21
ART-0073,191.1
ART-0074,203.49
ART-0075,204.15
ART-0076,170.3
ART-0077,88.44
ART-0078,553.56
ART-0079,67.25
ART-0080,782.67
ART-0081,58.04
ART-0082,956.84
ART-0084,205.01
ART-0085,1267.5
ART-0086,561.89
ART-0087,140.3
ART-0088,1069.5
ART-0090,276.48
ART-0091,765.7
ART-0092,929.4
ART-0093,124.56
ART-0094,114.9
ART-0095,310.73
ART-0097,1232.8
ART-0098,71.94
ART-0099,97.56
ART-0100,134.26
ART-0101,370.24
ART-0102,421.61
ART-0103,154.77
ART-0104,237.27
ART-0105,57.52
ART-0106,1430.8
ART-0107,931.56
ART-0109,281.4
ART-0110,252.78
ART-0111,361.4
ART-0113,320.72
ART-0114,180.18
ART-0115,152.72
ART-0116,210.88
ART-0117,1122.3
ART-0118,155.0
ART-0119,242.69
ART-0122,297.18
ART-0123,124.95
ART-0126,248.92
ART-0127,204.16
ART-0128,86.76
ART-0129,653.94
ART-0130,452.7
ART-0131,204.36
ART-0132,249.12
ART-0134,103.38
ART-0135,220.66
ART-0136,319.67
ART-0137,146.65
ART-0139,355.08
ART-0141,37.56
ART-0142,115.65
ART-0143,191.3
ART-0144,345.06
ART-0146,58.6
ART-0147,230.85
ART-0149,131.44
