article_sku,2025-05
ART-0000,283.08
ART-0001,577.32
ART-0002,343.68
ART-0003,72.0
ART-0004,151.48
ART-0005,112.2
ART-0006,427.84
ART-0007,153.37
ART-0009,260.01
ART-0010,622.54
ART-0012,217.56
ART-0014,261.3
ART-0015,762.21
ART-0016,257.82
ART-0017,216.09
ART-0019,385.0
ART-0020,644.82
ART-0023,177.43
ART-0024,256.64
ART-0025,177.17
ART-0026,304.19
ART-0028,1142.26
ART-0031,574.94
ART-0032,420.0
ART-0033,275.21
ART-0034,29.88
ART-0035,116.7
ART-0036,338.28
ART-0037,376.64
ART-0038,325.12
ART-0040,96.95
ART-0042,94.08
ART-0043,101.22
ART-0044,438.14
ART-0045,71.8
ART-0046,236.5
ART-0047,123.2
ART-0048,348.96
ART-0049,168.44
ART-0051,124.27
ART-0052,85.08
ART-0053,479.57
ART-0054,191.88
ART-0056,552.71
ART-0057,629.46
ART-0058,402.6
ART-0059,115.06
ART-0060,288.68
ART-0061,154.72
ART-0062,185.31
ART-0063,170.94
ART-0064,150.72
ART-0065,258.32
ART-0066,190.2
ART-0067,232.73
ART-0068,1325.52
ART-0069,212.24
ART-0071,88.8
ART-0072,237.8
ART-0073,176.85
ART-0075,247.44
ART-0076,104.56
ART-0077,58.4
ART-0078,257.92
ART-0079,55.36
ART-0080,447.6
ART-0081,58.0
ART-0082,450.72
ART-0083,555.83
ART-0085,1008.6
ART-0086,378.15
ART-0087,138.7
ART-0088,404.89
ART-0089,234.12
ART-0090,301.6
ART-0091,450.34
ART-0092,948.6
ART-0093,125.46
ART-0094,112.3
ART-0095,206.25
ART-0096,172.68
ART-0097,675.84
ART-0098,96.92
ART-0099,121.1
ART-0101,397.26
ART-0102,318.92
ART-0103,194.32
ART-0105,50.89
ART-0106,912.08
ART-0107,525.6
ART-0108,97.15
ART-0109,140.63
ART-0110,331.47
ART-0111,408.6
ART-0112,72.28
ART-0114,152.94
ART-0115,114.72
ART-0117,874.46
ART-0118,92.34
ART-0121,140.64
ART-0122,277.44
ART-0123,140.32
ART-0124,204.12
ART-0126,175.5
ART-0128,79.2
ART-0129,367.5
ART-0130,508.3
ART-0131,172.9
ART-0132,215.88
ART-0133,79.74
ART-0134,85.85
ART-0135,143.0
ART-0136,366.3
ART-0137,105.8
ART-0138,174.02
ART-0139,341.25
ART-0140,57.21
ART-0142,185.6
ART-0143,207.35
ART-0145,454.86
ART-0146,58.65
ART-0147,152.46
ART-0148,1282.48
ART-0149,117.25
