freight,amount,unit_price,quantity,article_sku,report_period
6.07,213.57,23.73,9,ART-0000,2025-02
15.14,435.37,33.49,13,ART-0001,2025-02
5.0,143.2,17.9,8,ART-0003,2025-02
3.29,107.2,21.44,5,ART-0004,2025-02
11.36,402.75,26.85,15,ART-0006,2025-02
4.28,133.98,22.33,6,ART-0007,2025-02
2.49,72.59,10.37,7,ART-0008,2025-02
30.98,892.32,37.18,24,ART-0010,2025-02
14.84,618.72,25.78,24,ART-0011,2025-02
5.64,190.92,15.91,12,ART-0012,2025-02
2.08,76.56,25.52,3,ART-0013,2025-02
10.13,313.2,26.1,12,ART-0014,2025-02
16.73,600.6,28.6,21,ART-0015,2025-02
7.81,298.06,42.58,7,ART-0016,2025-02
6.29,219.69,24.41,9,ART-0017,2025-02
9.23,365.76,15.24,24,ART-0019,2025-02
12.56,408.52,29.18,14,ART-0020,2025-02
10.79,370.8,37.08,10,ART-0021,2025-02
14.53,568.26,13.53,42,ART-0022,2025-02
10.73,406.51,31.27,13,ART-0024,2025-02
3.19,100.6,25.15,4,ART-0025,2025-02
10.82,332.64,15.84,21,ART-0026,2025-02
1.88,90.65,12.95,7,ART-0027,2025-02
22.92,763.56,42.42,18,ART-0029,2025-02
6.35,181.76,45.44,4,ART-0030,2025-02
17.6,519.56,16.76,31,ART-0031,2025-02
9.54,381.48,34.68,11,ART-0032,2025-02
16.29,512.4,21.35,24,ART-0033,2025-02
4.66,233.76,19.48,12,ART-0035,2025-02
13.9,400.86,23.58,17,ART-0037,2025-02
10.16,287.21,41.03,7,ART-0038,2025-02
8.6,259.56,37.08,7,ART-0039,2025-02
3.71,110.0,13.75,8,ART-0040,2025-02
19.49,553.86,16.29,34,ART-0041,2025-02
2.18,92.55,30.85,3,ART-0042,2025-02
1.52,50.76,16.92,3,ART-0043,2025-02
7.91,335.82,11.58,29,ART-0044,2025-02
3.41,113.52,14.19,8,ART-0045,2025-02
10.96,373.92,23.37,16,ART-0046,2025-02
4.62,146.28,24.38,6,ART-0047,2025-02
9.71,252.6,42.1,6,ART-0049,2025-02
12.66,392.04,32.67,12,ART-0050,2025-02
3.1,94.64,7.28,13,ART-0051,2025-02
5.06,145.18,20.74,7,ART-0052,2025-02
9.19,333.74,15.17,22,ART-0053,2025-02
5.16,191.16,15.93,12,ART-0054,2025-02
23.87,669.99,29.13,23,ART-0056,2025-02
14.37,548.46,24.93,22,ART-0057,2025-02
17.95,603.3,40.22,15,ART-0058,2025-02
8.32,250.32,10.43,24,ART-0059,2025-02
9.07,307.2,10.24,30,ART-0060,2025-02
4.6,135.17,19.31,7,ART-0061,2025-02
5.83,182.7,20.3,9,ART-0062,2025-02
5.79,219.94,15.71,14,ART-0063,2025-02
6.25,224.46,12.47,18,ART-0064,2025-02
10.86,395.28,32.94,12,ART-0065,2025-02
3.78,148.68,37.17,4,ART-0066,2025-02
5.45,164.76,13.73,12,ART-0067,2025-02
38.55,1161.44,72.59,16,ART-0068,2025-02
6.7,200.2,15.4,13,ART-0069,2025-02
15.19,437.1,43.71,10,ART-0070,2025-02
2.59,93.21,7.17,13,ART-0071,2025-02
6.59,191.1,19.11,10,ART-0073,2025-02
6.26,203.49,22.61,9,ART-0074,2025-02
6.6,204.15,40.83,5,ART-0075,2025-02
5.3,170.3,13.1,13,ART-0076,2025-02
2.5,88.44,14.74,6,ART-0077,2025-02
17.51,553.56,19.77,28,ART-0078,2025-02
2.16,67.25,13.45,5,ART-0079,2025-02
26.31,782.67,37.27,21,ART-0080,2025-02
1.46,58.04,14.51,4,ART-0081,2025-02
29.97,956.84,50.36,19,ART-0082,2025-02
5.56,205.01,15.77,13,ART-0084,2025-02
32.43,1267.5,50.7,25,ART-0085,2025-02
14.33,561.89,24.43,23,ART-0086,2025-02
4.83,140.3,28.06,5,ART-0087,2025-02
35.17,1069.5,21.39,50,ART-0088,2025-02
8.7,276.48,23.04,12,ART-0090,2025-02
19.88,765.7,20.15,38,ART-0091,2025-02
31.01,929.4,30.98,30,ART-0092,2025-02
4.02,124.56,13.84,9,ART-0093,2025-02
3.14,114.9,11.49,10,ART-0094,2025-02
8.78,310.73,13.51,23,ART-0095,2025-02
44.31,1232.8,30.82,40,ART-0097,2025-02
2.39,71.94,23.98,3,ART-0098,2025-02
3.34,97.56,24.39,4,ART-0099,2025-02
4.05,134.26,9.59,14,ART-0100,2025-02
12.59,370.24,23.14,16,ART-0101,2025-02
11.17,421.61,22.19,19,ART-0102,2025-02
4.42,154.77,14.07,11,ART-0103,2025-02
9.12,237.27,21.57,11,ART-0104,2025-02
1.75,57.52,7.19,8,ART-0105,2025-02
48.98,1430.8,35.77,40,ART-0106,2025-02
38.68,931.56,33.27,28,ART-0107,2025-02
8.95,281.4,20.1,14,ART-0109,2025-02
8.02,252.78,11.49,22,ART-0110,2025-02
10.7,361.4,27.8,13,ART-0111,2025-02
10.66,320.72,16.88,19,ART-0113,2025-02
4.83,180.18,25.74,7,ART-0114,2025-02
4.49,152.72,19.09,8,ART-0115,2025-02
5.12,210.88,13.18,16,ART-0116,2025-02
33.21,1122.3,37.41,30,ART-0117,2025-02
5.47,155.0,15.5,10,ART-0118,2025-02
6.35,242.69,34.67,7,ART-0119,2025-02
8.6,297.18,22.86,13,ART-0122,2025-02
3.54,124.95,17.85,7,ART-0123,2025-02
8.53,248.92,17.78,14,ART-0126,2025-02
6.27,204.16,18.56,11,ART-0127,2025-02
2.71,86.76,9.64,9,ART-0128,2025-02
20.8,653.94,36.33,18,ART-0129,2025-02
14.64,452.7,50.3,9,ART-0130,2025-02
6.88,204.36,34.06,6,ART-0131,2025-02
6.49,249.12,31.14,8,ART-0132,2025-02
3.5,103.38,17.23,6,ART-0134,2025-02
6.93,220.66,12.98,17,ART-0135,2025-02
9.6,319.67,24.59,13,ART-0136,2025-02
5.07,146.65,20.95,7,ART-0137,2025-02
8.24,355.08,16.14,22,ART-0139,2025-02
0.97,37.56,18.78,2,ART-0141,2025-02
4.02,115.65,23.13,5,ART-0142,2025-02
6.39,191.3,19.13,10,ART-0143,2025-02
13.48,345.06,19.17,18,ART-0144,2025-02
1.82,58.6,11.72,5,ART-0146,2025-02
6.55,230.85,25.65,9,ART-0147,2025-02
4.09,131.44,16.43,8,ART-0149,2025-02
