report_period,article_sku,quantity,unit_price,amount,freight
11/2025,ART-0000,5,23.52,117.6,4.19
11/2025,ART-0001,14,33.47,468.58,15.75
11/2025,ART-0002,18,28.16,506.88,13.42
11/2025,ART-0003,4,18.06,72.24,2.15
11/2025,ART-0006,11,26.69,293.59,9.83
11/2025,ART-0007,10,21.68,216.8,6.24
11/2025,ART-0009,10,28.45,284.5,9.34
11/2025,ART-0010,13,36.76,477.88,15.77
11/2025,ART-0011,16,25.53,408.48,12.06
11/2025,ART-0012,16,16.05,256.8,7.33
11/2025,ART-0014,12,25.85,310.2,10.65
11/2025,ART-0015,21,28.08,589.68,13.26
11/2025,ART-0016,12,42.36,508.32,16.72
11/2025,ART-0017,12,24.06,288.72,8.63
11/2025,ART-0019,12,15.08,180.96,4.93
11/2025,ART-0020,15,28.94,434.1,16.07
11/2025,ART-0021,13,36.66,476.58,13.71
11/2025,ART-0022,27,13.39,361.53,11.35
11/2025,ART-0023,12,15.54,186.48,5.22
11/2025,ART-0025,6,25.74,154.44,5.03
11/2025,ART-0026,15,15.9,238.5,7.34
11/2025,ART-0027,12,13.17,158.04,4.68
11/2025,ART-0028,43,27.43,1179.49,37.11
11/2025,ART-0029,15,42.41,636.15,17.64
11/2025,ART-0030,4,44.85,179.4,6.09
11/2025,ART-0031,30,16.79,503.7,16.74
11/2025,ART-0032,9,34.75,312.75,10.24
11/2025,ART-0033,16,20.52,328.32,11.81
11/2025,ART-0034,3,10.04,30.12,0.87
11/2025,ART-0035,8,19.18,153.44,4.38
11/2025,ART-0036,9,28.37,255.33,6.77
11/2025,ART-0037,25,23.24,581.0,18.01
11/2025,ART-0038,8,41.31,330.48,11.8
11/2025,ART-0040,12,13.79,165.48,5.28
11/2025,ART-0041,20,16.4,328.0,11.08
11/2025,ART-0042,4,31.52,126.08,3.52
11/2025,ART-0043,4,16.68,66.72,2.31
11/2025,ART-0044,44,11.65,512.6,15.48
11/2025,ART-0045,6,14.29,85.74,2.56
11/2025,ART-0047,12,24.19,290.28,8.35
11/2025,ART-0048,16,14.59,233.44,6.93
11/2025,ART-0049,6,43.37,260.22,9.02
11/2025,ART-0050,11,32.87,361.57,11.41
11/2025,ART-0051,12,7.23,86.76,3.03
11/2025,ART-0052,4,21.18,84.72,2.78
11/2025,ART-0053,18,15.24,274.32,8.31
11/2025,ART-0054,11,15.9,174.9,5.13
11/2025,ART-0056,36,28.99,1043.64,32.71
11/2025,ART-0057,22,23.98,527.56,16.06
11/2025,ART-0058,11,40.33,443.63,12.73
11/2025,ART-0059,11,10.38,114.18,3.83
11/2025,ART-0060,20,10.2,204.0,4.34
11/2025,ART-0061,13,19.1,248.3,7.6
11/2025,ART-0062,8,20.58,164.64,4.92
11/2025,ART-0063,18,15.74,283.32,6.65
11/2025,ART-0065,15,32.86,492.9,11.69
11/2025,ART-0066,3,37.4,112.2,3.7
11/2025,ART-0067,16,13.94,223.04,7.07
11/2025,ART-0068,13,73.21,951.73,31.5
11/2025,ART-0070,5,44.09,220.45,7.07
11/2025,ART-0072,14,23.48,328.72,10.95
11/2025,ART-0075,4,41.54,166.16,3.0
11/2025,ART-0076,13,13.26,172.38,4.93
11/2025,ART-0077,7,14.43,101.01,3.42
11/2025,ART-0078,17,19.62,333.54,10.64
11/2025,ART-0079,8,13.88,111.04,2.54
11/2025,ART-0080,12,37.02,444.24,14.88
11/2025,ART-0081,7,14.2,99.4,3.54
11/2025,ART-0082,11,50.68,557.48,14.77
11/2025,ART-0083,21,18.21,382.41,11.89
11/2025,ART-0084,16,15.7,251.2,6.77
11/2025,ART-0085,25,50.03,1250.75,45.72
11/2025,ART-0086,17,24.83,422.11,13.92
11/2025,ART-0087,3,28.05,84.15,2.87
11/2025,ART-0088,35,21.49,752.15,28.85
11/2025,ART-0089,12,38.71,464.52,16.19
11/2025,ART-0090,9,22.52,202.68,6.13
11/2025,ART-0091,24,20.11,482.64,20.33
11/2025,ART-0092,37,30.56,1130.72,38.94
11/2025,ART-0093,7,13.7,95.9,3.03
11/2025,ART-0094,13,11.2,145.6,3.89
11/2025,ART-0096,12,14.34,172.08,4.73
11/2025,ART-0097,34,30.91,1050.94,24.54
11/2025,ART-0098,4,24.01,96.04,2.68
11/2025,ART-0099,4,24.3,97.2,3.13
11/2025,ART-0100,11,9.68,106.48,2.49
11/2025,ART-0102,9,22.52,202.68,6.04
11/2025,ART-0104,8,21.47,171.76,4.48
11/2025,ART-0105,9,7.13,64.17,2.0
11/2025,ART-0106,30,35.62,1068.6,35.23
11/2025,ART-0107,24,32.8,787.2,22.81
11/2025,ART-0108,6,19.13,114.78,2.77
11/2025,ART-0110,25,11.65,291.25,8.09
11/2025,ART-0111,8,27.77,222.16,5.27
11/2025,ART-0112,6,17.86,107.16,4.19
11/2025,ART-0113,26,16.77,436.02,12.82
11/2025,ART-0115,7,18.94,132.58,4.48
11/2025,ART-0116,11,13.2,145.2,5.06
11/2025,ART-0118,8,15.36,122.88,3.61
11/2025,ART-0119,5,34.34,171.7,5.5
11/2025,ART-0120,25,10.67,266.75,10.19
11/2025,ART-0121,19,11.42,216.98,8.51
11/2025,ART-0122,12,23.33,279.96,10.05
11/2025,ART-0123,12,18.17,218.04,5.74
11/2025,ART-0124,20,11.54,230.8,5.71
11/2025,ART-0125,23,14.65,336.95,8.51
11/2025,ART-0126,11,17.56,193.16,5.15
11/2025,ART-0127,9,18.81,169.29,5.3
11/2025,ART-0128,7,9.72,68.04,2.15
11/2025,ART-0129,14,36.59,512.26,18.16
11/2025,ART-0130,6,49.36,296.16,8.84
11/2025,ART-0131,5,33.94,169.7,5.77
11/2025,ART-0133,6,13.03,78.18,2.4
11/2025,ART-0134,9,17.37,156.33,4.89
11/2025,ART-0135,12,13.13,157.56,4.06
11/2025,ART-0136,11,24.08,264.88,8.46
11/2025,ART-0137,7,21.25,148.75,5.12
11/2025,ART-0138,11,16.15,177.65,4.54
11/2025,ART-0139,14,16.18,226.52,6.87
11/2025,ART-0140,5,19.22,96.1,2.87
11/2025,ART-0141,4,18.51,74.04,1.94
11/2025,ART-0143,10,18.89,188.9,5.19
11/2025,ART-0144,9,19.03,171.27,5.67
11/2025,ART-0145,16,24.31,388.96,11.91
11/2025,ART-0146,5,11.58,57.9,1.51
11/2025,ART-0147,8,26.12,208.96,7.07
11/2025,ART-0149,4,16.76,67.04,1.79
