article_sku,2025-08
ART-0000,189.28
ART-0001,578.68
ART-0002,198.24
ART-0004,129.66
ART-0005,111.25
ART-0006,164.46
ART-0007,152.25
ART-0008,52.15
ART-0009,198.24
ART-0010,813.56
ART-0011,586.73
ART-0012,273.02
ART-0013,78.27
ART-0014,211.76
ART-0015,629.42
ART-0016,301.7
ART-0017,267.08
ART-0018,154.44
ART-0019,169.18
ART-0020,499.97
ART-0022,436.48
ART-0023,176.33
ART-0024,313.3
ART-0025,178.92
ART-0026,288.18
ART-0027,157.44
ART-0028,1115.2
ART-0029,565.76
ART-0030,133.77
ART-0032,413.04
ART-0033,314.25
ART-0034,30.15
ART-0035,200.9
ART-0036,252.72
ART-0037,729.43
ART-0038,287.91
ART-0039,222.84
ART-0040,109.12
ART-0042,62.84
ART-0043,83.75
ART-0044,553.19
ART-0045,29.22
ART-0046,165.97
ART-0047,171.92
ART-0048,293.0
ART-0049,213.75
ART-0050,196.8
ART-0051,92.95
ART-0052,84.0
ART-0053,376.25
ART-0054,177.43
ART-0055,201.89
ART-0056,491.13
ART-0057,717.6
ART-0059,102.5
ART-0060,384.56
ART-0061,230.76
ART-0062,145.11
ART-0063,168.41
ART-0064,151.08
ART-0065,423.54
ART-0066,226.44
ART-0068,1315.8
ART-0069,181.2
ART-0070,299.46
ART-0071,72.9
ART-0072,423.72
ART-0073,213.73
ART-0075,247.44
ART-0076,103.92
ART-0077,87.78
ART-0078,383.0
ART-0079,81.96
ART-0081,57.72
ART-0082,602.16
ART-0084,217.0
ART-0086,318.24
ART-0087,138.3
ART-0088,510.72
ART-0089,500.89
ART-0090,161.63
ART-0091,307.5
ART-0092,1024.65
ART-0094,112.1
ART-0095,203.1
ART-0096,162.58
ART-0097,618.8
ART-0099,73.59
ART-0100,115.8
ART-0101,481.11
ART-0102,264.84
ART-0104,131.64
ART-0105,80.41
ART-0106,774.84
ART-0108,76.92
ART-0109,138.11
ART-0110,269.1
ART-0111,246.69
ART-0112,71.76
ART-0113,239.12
ART-0114,177.24
ART-0115,172.17
ART-0116,77.1
ART-0118,127.76
ART-0119,206.58
ART-0121,149.76
ART-0122,209.07
ART-0123,108.78
ART-0124,258.06
ART-0126,123.55
ART-0127,222.84
ART-0128,78.96
ART-0129,324.36
ART-0130,504.8
ART-0131,139.48
ART-0132,184.44
ART-0134,188.76
ART-0135,180.6
ART-0136,343.84
ART-0137,168.88
ART-0138,126.8
ART-0139,261.28
ART-0141,92.1
ART-0142,70.89
ART-0143,210.54
ART-0144,133.28
ART-0145,387.04
ART-0146,58.45
ART-0147,254.0
ART-0148,747.9
ART-0149,82.45
