freight,amount,unit_price,quantity,article_sku,report_period
5.85,190.88,23.86,8,ART-0000,2025-12
9.27,315.59,28.69,11,ART-0002,2025-12
3.83,130.92,21.82,6,ART-0004,2025-12
3.86,114.65,22.93,5,ART-0005,2025-12
12.27,484.92,26.94,18,ART-0006,2025-12
4.85,172.0,21.5,8,ART-0007,2025-12
2.12,73.01,10.43,7,ART-0008,2025-12
9.59,512.54,36.61,14,ART-0010,2025-12
13.15,443.02,26.06,17,ART-0011,2025-12
12.93,358.57,15.59,23,ART-0012,2025-12
2.57,78.39,26.13,3,ART-0013,2025-12
20.28,579.0,28.95,20,ART-0015,2025-12
8.56,299.04,42.72,7,ART-0016,2025-12
4.1,192.0,24.0,8,ART-0017,2025-12
4.95,168.4,8.42,20,ART-0018,2025-12
5.18,167.75,15.25,11,ART-0019,2025-12
16.6,439.35,29.29,15,ART-0020,2025-12
11.72,372.1,37.21,10,ART-0021,2025-12
3.53,160.1,16.01,10,ART-0023,2025-12
10.57,339.13,30.83,11,ART-0024,2025-12
5.09,181.65,25.95,7,ART-0025,2025-12
7.58,224.42,16.03,14,ART-0026,2025-12
6.45,168.22,12.94,13,ART-0027,2025-12
46.78,1242.9,27.62,45,ART-0028,2025-12
22.31,713.15,41.95,17,ART-0029,2025-12
8.33,334.0,16.7,20,ART-0031,2025-12
11.41,384.34,34.94,11,ART-0032,2025-12
10.38,380.34,21.13,18,ART-0033,2025-12
1.66,40.0,10.0,4,ART-0034,2025-12
2.84,98.65,19.73,5,ART-0035,2025-12
16.46,560.4,28.02,20,ART-0036,2025-12
15.6,494.34,23.54,21,ART-0037,2025-12
14.34,402.5,40.25,10,ART-0038,2025-12
8.89,260.47,37.21,7,ART-0039,2025-12
3.43,109.2,13.65,8,ART-0040,2025-12
19.07,651.69,16.71,39,ART-0041,2025-12
1.86,62.46,31.23,2,ART-0042,2025-12
1.66,49.89,16.63,3,ART-0043,2025-12
1.78,71.2,14.24,5,ART-0045,2025-12
7.52,332.64,23.76,14,ART-0046,2025-12
6.68,188.24,14.48,13,ART-0048,2025-12
15.29,462.0,42.0,11,ART-0049,2025-12
8.68,296.73,32.97,9,ART-0050,2025-12
3.3,105.45,7.03,15,ART-0051,2025-12
2.66,84.08,21.02,4,ART-0052,2025-12
8.78,257.38,15.14,17,ART-0053,2025-12
6.22,207.48,15.96,13,ART-0054,2025-12
4.91,138.78,15.42,9,ART-0055,2025-12
9.29,393.12,28.08,14,ART-0056,2025-12
23.8,910.48,23.96,38,ART-0057,2025-12
15.63,558.46,39.89,14,ART-0058,2025-12
7.68,247.92,10.33,24,ART-0060,2025-12
9.14,290.7,19.38,15,ART-0061,2025-12
2.91,101.4,20.28,5,ART-0062,2025-12
6.73,170.17,15.47,11,ART-0063,2025-12
5.32,165.75,12.75,13,ART-0064,2025-12
10.03,330.6,33.06,10,ART-0065,2025-12
4.61,151.08,37.77,4,ART-0066,2025-12
5.66,154.0,14.0,11,ART-0067,2025-12
46.98,1518.51,72.31,21,ART-0068,2025-12
4.35,121.52,15.19,8,ART-0069,2025-12
5.03,173.72,43.43,4,ART-0070,2025-12
2.82,103.88,7.42,14,ART-0071,2025-12
11.76,463.0,23.15,20,ART-0072,2025-12
5.78,178.56,22.32,8,ART-0074,2025-12
6.46,196.8,13.12,15,ART-0076,2025-12
1.4,43.68,14.56,3,ART-0077,2025-12
12.81,401.4,20.07,20,ART-0078,2025-12
2.66,81.48,13.58,6,ART-0079,2025-12
8.91,333.54,37.06,9,ART-0080,2025-12
2.21,71.75,14.35,5,ART-0081,2025-12
24.34,647.53,49.81,13,ART-0082,2025-12
11.3,311.2,15.56,20,ART-0084,2025-12
36.73,1570.46,50.66,31,ART-0085,2025-12
15.38,447.3,24.85,18,ART-0086,2025-12
2.76,82.86,27.62,3,ART-0087,2025-12
11.27,362.78,21.34,17,ART-0088,2025-12
6.7,204.12,22.68,9,ART-0090,2025-12
11.53,368.4,30.7,12,ART-0092,2025-12
2.05,55.4,13.85,4,ART-0093,2025-12
2.92,89.76,11.22,8,ART-0094,2025-12
9.11,336.72,14.64,23,ART-0096,2025-12
17.48,592.42,31.18,19,ART-0097,2025-12
3.18,118.6,23.72,5,ART-0098,2025-12
2.25,72.3,24.1,3,ART-0099,2025-12
4.34,145.65,9.71,15,ART-0100,2025-12
12.74,550.32,22.93,24,ART-0101,2025-12
14.6,527.52,21.98,24,ART-0102,2025-12
5.93,209.4,13.96,15,ART-0103,2025-12
5.28,172.8,21.6,8,ART-0104,2025-12
31.15,986.44,35.23,28,ART-0106,2025-12
18.85,690.27,32.87,21,ART-0107,2025-12
4.39,152.16,19.02,8,ART-0108,2025-12
3.42,140.49,20.07,7,ART-0109,2025-12
9.99,330.6,11.4,29,ART-0110,2025-12
4.4,144.32,18.04,8,ART-0112,2025-12
13.4,392.38,17.06,23,ART-0113,2025-12
7.71,226.8,18.9,12,ART-0115,2025-12
5.33,152.4,15.24,10,ART-0118,2025-12
4.36,137.4,34.35,4,ART-0119,2025-12
7.12,179.52,10.56,17,ART-0120,2025-12
4.11,151.58,11.66,13,ART-0121,2025-12
8.26,271.92,22.66,12,ART-0122,2025-12
5.18,141.68,17.71,8,ART-0123,2025-12
5.14,149.5,11.5,13,ART-0124,2025-12
15.25,548.34,14.43,38,ART-0125,2025-12
7.91,225.96,18.83,12,ART-0127,2025-12
2.64,105.82,9.62,11,ART-0128,2025-12
13.64,435.36,36.28,12,ART-0129,2025-12
14.86,599.88,49.99,12,ART-0130,2025-12
5.04,155.1,31.02,5,ART-0132,2025-12
2.8,78.0,13.0,6,ART-0133,2025-12
2.99,122.29,17.47,7,ART-0134,2025-12
5.66,169.91,13.07,13,ART-0135,2025-12
13.74,383.36,23.96,16,ART-0136,2025-12
4.14,126.72,21.12,6,ART-0137,2025-12
6.31,192.0,16.0,12,ART-0138,2025-12
7.68,257.12,16.07,16,ART-0139,2025-12
1.84,57.36,19.12,3,ART-0140,2025-12
2.33,70.68,23.56,3,ART-0142,2025-12
3.29,133.49,19.07,7,ART-0143,2025-12
2.32,58.75,11.75,5,ART-0146,2025-12
9.19,369.18,26.37,14,ART-0147,2025-12
40.79,1224.21,28.47,43,ART-0148,2025-12
3.09,99.3,16.55,6,ART-0149,2025-12
