invoice date,desc,pcs,unit cost,gross,freight
2025-08,ART-0000,8,23.66,189.28,5.7
2025-08,ART-0001,17,34.04,578.68,20.6
2025-08,ART-0002,7,28.32,198.24,4.72
2025-08,ART-0004,6,21.61,129.66,4.49
2025-08,ART-0005,5,22.25,111.25,3.03
2025-08,ART-0006,6,27.41,164.46,4.01
2025-08,ART-0007,7,21.75,152.25,4.85
2025-08,ART-0008,5,10.43,52.15,1.44
2025-08,ART-0009,7,28.32,198.24,5.03
2025-08,ART-0010,22,36.98,813.56,25.91
2025-08,ART-0011,23,25.51,586.73,17.17
2025-08,ART-0012,17,16.06,273.02,8.35
2025-08,ART-0013,3,26.09,78.27,2.39
2025-08,ART-0014,8,26.47,211.76,6.89
2025-08,ART-0015,22,28.61,629.42,14.78
2025-08,ART-0016,7,43.1,301.7,8.46
2025-08,ART-0017,11,24.28,267.08,9.5
2025-08,ART-0018,18,8.58,154.44,4.99
2025-08,ART-0019,11,15.38,169.18,5.34
2025-08,ART-0020,17,29.41,499.97,15.44
2025-08,ART-0022,32,13.64,436.48,12.83
2025-08,ART-0023,11,16.03,176.33,4.7
2025-08,ART-0024,10,31.33,313.3,10.07
2025-08,ART-0025,7,25.56,178.92,5.74
2025-08,ART-0026,18,16.01,288.18,7.66
2025-08,ART-0027,12,13.12,157.44,5.22
2025-08,ART-0028,40,27.88,1115.2,28.76
2025-08,ART-0029,13,43.52,565.76,16.63
2025-08,ART-0030,3,44.59,133.77,3.98
2025-08,ART-0032,12,34.42,413.04,11.47
2025-08,ART-0033,15,20.95,314.25,7.04
2025-08,ART-0034,3,10.05,30.15,0.95
2025-08,ART-0035,10,20.09,200.9,6.22
2025-08,ART-0036,9,28.08,252.72,8.5
2025-08,ART-0037,31,23.53,729.43,19.4
2025-08,ART-0038,7,41.13,287.91,9.34
2025-08,ART-0039,6,37.14,222.84,5.79
2025-08,ART-0040,8,13.64,109.12,2.93
2025-08,ART-0042,2,31.42,62.84,1.8
2025-08,ART-0043,5,16.75,83.75,3.03
2025-08,ART-0044,47,11.77,553.19,17.88
2025-08,ART-0045,2,14.61,29.22,0.77
2025-08,ART-0046,7,23.71,165.97,5.1
2025-08,ART-0047,7,24.56,171.92,5.02
2025-08,ART-0048,20,14.65,293.0,7.84
2025-08,ART-0049,5,42.75,213.75,6.09
2025-08,ART-0050,6,32.8,196.8,6.62
2025-08,ART-0051,13,7.15,92.95,3.42
2025-08,ART-0052,4,21.0,84.0,2.01
2025-08,ART-0053,25,15.05,376.25,10.25
2025-08,ART-0054,11,16.13,177.43,5.07
2025-08,ART-0055,13,15.53,201.89,6.46
2025-08,ART-0056,17,28.89,491.13,17.8
2025-08,ART-0057,30,23.92,717.6,21.0
2025-08,ART-0059,10,10.25,102.5,2.97
2025-08,ART-0060,38,10.12,384.56,15.36
2025-08,ART-0061,12,19.23,230.76,6.0
2025-08,ART-0062,7,20.73,145.11,5.09
2025-08,ART-0063,11,15.31,168.41,5.45
2025-08,ART-0064,12,12.59,151.08,4.71
2025-08,ART-0065,13,32.58,423.54,10.88
2025-08,ART-0066,6,37.74,226.44,5.66
2025-08,ART-0068,18,73.1,1315.8,45.7
2025-08,ART-0069,12,15.1,181.2,7.39
