report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-08,ART-0000,8,23.66,0.0,189.28,5.7
2025-08,ART-0001,17,34.04,0.0,578.68,20.6
2025-08,ART-0002,7,28.32,0.0,198.24,4.72
2025-08,ART-0004,6,21.61,0.0,129.66,4.49
2025-08,ART-0005,5,22.25,0.0,111.25,3.03
2025-08,ART-0006,6,27.41,0.0,164.46,4.01
2025-08,ART-0007,7,21.75,0.0,152.25,4.85
2025-08,ART-0008,5,10.43,0.0,52.15,1.44
2025-08,ART-0009,7,28.32,0.0,198.24,5.03
2025-08,ART-0010,22,36.98,0.0,813.56,25.91
2025-08,ART-0011,23,25.51,0.0,586.73,17.17
2025-08,ART-0012,17,16.06,0.0,273.02,8.35
2025-08,ART-0013,3,26.09,0.0,78.27,2.39
2025-08,ART-0014,8,26.47,0.0,211.76,6.89
2025-08,ART-0015,22,28.61,0.0,629.42,14.78
2025-08,ART-0016,7,43.1,0.0,301.7,8.46
2025-08,ART-0017,11,24.28,0.0,267.08,9.5
2025-08,ART-0018,18,8.58,0.0,154.44,4.99
2025-08,ART-0019,11,15.38,0.0,169.18,5.34
2025-08,ART-0020,17,29.41,0.0,499.97,15.44
2025-08,ART-0022,32,13.64,0.0,436.48,12.83
2025-08,ART-0023,11,16.03,0.0,176.33,4.7
2025-08,ART-0024,10,31.33,0.0,313.3,10.07
2025-08,ART-0025,7,25.56,0.0,178.92,5.74
2025-08,ART-0026,18,16.01,0.0,288.18,7.66
2025-08,ART-0027,12,13.12,0.0,157.44,5.22
2025-08,ART-0028,40,27.88,0.0,1115.2,28.76
2025-08,ART-0029,13,43.52,0.0,565.76,16.63
2025-08,ART-0030,3,44.59,0.0,133.77,3.98
2025-08,ART-0032,12,34.42,0.0,413.04,11.47
2025-08,ART-0033,15,20.95,0.0,314.25,7.04
2025-08,ART-0034,3,10.05,0.0,30.15,0.95
2025-08,ART-0035,10,20.09,0.0,200.9,6.22
2025-08,ART-0036,9,28.08,0.0,252.72,8.5
2025-08,ART-0037,31,23.53,0.0,729.43,19.4
2025-08,ART-0038,7,41.13,0.0,287.91,9.34
2025-08,ART-0039,6,37.14,0.0,222.84,5.79
2025-08,ART-0040,8,13.64,0.0,109.12,2.93
2025-08,ART-0042,2,31.42,0.0,62.84,1.8
2025-08,ART-0043,5,16.75,0.0,83.75,3.03
2025-08,ART-0044,47,11.77,0.0,553.19,17.88
2025-08,ART-0045,2,14.61,0.0,29.22,0.77
2025-08,ART-0046,7,23.71,0.0,165.97,5.1
2025-08,ART-0047,7,24.56,0.0,171.92,5.02
2025-08,ART-0048,20,14.65,0.0,293.0,7.84
2025-08,ART-0049,5,42.75,0.0,213.75,6.09
2025-08,ART-0050,6,32.8,0.0,196.8,6.62
2025-08,ART-0051,13,7.15,0.0,92.95,3.42
2025-08,ART-0052,4,21.0,0.0,84.0,2.01
2025-08,ART-0053,25,15.05,0.0,376.25,10.25
2025-08,ART-0054,11,16.13,0.0,177.43,5.07
2025-08,ART-0055,13,15.53,0.0,201.89,6.46
2025-08,ART-0056,17,28.89,0.0,491.13,17.8
2025-08,ART-0057,30,23.92,0.0,717.6,21.0
2025-08,ART-0059,10,10.25,0.0,102.5,2.97
2025-08,ART-0060,38,10.12,0.0,384.56,15.36
2025-08,ART-0061,12,19.23,0.0,230.76,6.0
2025-08,ART-0062,7,20.73,0.0,145.11,5.09
