report_period,article_sku,quantity,unit_price,amount,freight
07/2025,ART-0001,13,33.01,429.13,12.47
07/2025,ART-0002,13,28.18,366.34,10.01
07/2025,ART-0003,7,17.81,124.67,2.73
07/2025,ART-0004,6,21.51,129.06,3.22
07/2025,ART-0005,5,22.56,112.8,3.1
07/2025,ART-0006,8,27.17,217.36,5.74
07/2025,ART-0007,5,21.94,109.7,3.47
07/2025,ART-0008,6,10.23,61.38,1.83
07/2025,ART-0009,7,28.67,200.69,6.39
07/2025,ART-0010,14,37.17,520.38,14.93
07/2025,ART-0011,15,25.63,384.45,12.85
07/2025,ART-0014,9,26.55,238.95,6.37
07/2025,ART-0017,7,23.99,167.93,4.91
07/2025,ART-0018,9,8.37,75.33,2.42
07/2025,ART-0019,13,15.21,197.73,6.85
07/2025,ART-0020,14,29.06,406.84,10.83
07/2025,ART-0021,11,37.39,411.29,15.1
07/2025,ART-0022,54,13.6,734.4,26.1
07/2025,ART-0023,7,16.11,112.77,3.92
07/2025,ART-0024,15,31.03,465.45,13.78
07/2025,ART-0025,6,25.35,152.1,5.43
07/2025,ART-0026,20,16.02,320.4,7.02
07/2025,ART-0027,9,12.81,115.29,3.57
07/2025,ART-0029,14,42.0,588.0,19.71
07/2025,ART-0030,4,44.58,178.32,6.17
07/2025,ART-0031,23,16.42,377.66,11.81
07/2025,ART-0032,12,34.61,415.32,14.22
07/2025,ART-0033,12,20.66,247.92,7.66
07/2025,ART-0034,3,9.99,29.97,0.68
07/2025,ART-0035,6,19.13,114.78,3.9
07/2025,ART-0036,8,28.9,231.2,6.11
07/2025,ART-0037,14,23.48,328.72,11.46
07/2025,ART-0038,12,41.33,495.96,13.78
07/2025,ART-0039,9,36.51,328.59,11.37
07/2025,ART-0040,8,13.5,108.0,4.35
07/2025,ART-0041,21,16.36,343.56,12.54
07/2025,ART-0042,3,31.43,94.29,2.94
07/2025,ART-0043,6,16.73,100.38,3.44
07/2025,ART-0044,33,11.57,381.81,10.67
