report_period,article_sku,quantity,unit_price,amount
2025-08,ART-0000,8,23.66,189.28
2025-08,ART-0001,17,34.04,578.68
2025-08,ART-0002,7,28.32,198.24
2025-08,ART-0004,6,21.61,129.66
2025-08,ART-0005,5,22.25,111.25
2025-08,ART-0006,6,27.41,164.46
2025-08,ART-0007,7,21.75,152.25
2025-08,ART-0008,5,10.43,52.15
2025-08,ART-0009,7,28.32,198.24
2025-08,ART-0010,22,36.98,813.56
2025-08,ART-0011,23,25.51,586.73
2025-08,ART-0012,17,16.06,273.02
2025-08,ART-0013,3,26.09,78.27
2025-08,ART-0014,8,26.47,211.76
2025-08,ART-0015,22,28.61,629.42
2025-08,ART-0016,7,43.1,301.7
2025-08,ART-0017,11,24.28,267.08
2025-08,ART-0018,18,8.58,154.44
2025-08,ART-0019,11,15.38,169.18
2025-08,ART-0020,17,29.41,499.97
2025-08,ART-0022,32,13.64,436.48
2025-08,ART-0023,11,16.03,176.33
2025-08,ART-0024,10,31.33,313.3
2025-08,ART-0025,7,25.56,178.92
2025-08,ART-0026,18,16.01,288.18
2025-08,ART-0027,12,13.12,157.44
2025-08,ART-0028,40,27.88,1115.2
2025-08,ART-0029,13,43.52,565.76
2025-08,ART-0030,3,44.59,133.77
2025-08,ART-0032,12,34.42,413.04
2025-08,ART-0033,15,20.95,314.25
2025-08,ART-0034,3,10.05,30.15
2025-08,ART-0035,10,20.09,200.9
2025-08,ART-0036,9,28.08,252.72
2025-08,ART-0037,31,23.53,729.43
2025-08,ART-0038,7,41.13,287.91
2025-08,ART-0039,6,37.14,222.84
2025-08,ART-0040,8,13.64,109.12
2025-08,ART-0042,2,31.42,62.84
2025-08,ART-0043,5,16.75,83.75
2025-08,ART-0044,47,11.77,553.19
2025-08,ART-0045,2,14.61,29.22
2025-08,ART-0046,7,23.71,165.97
2025-08,ART-0047,7,24.56,171.92
2025-08,ART-0048,20,14.65,293.0
2025-08,ART-0049,5,42.75,213.75
2025-08,ART-0050,6,32.8,196.8
2025-08,ART-0051,13,7.15,92.95
2025-08,ART-0052,4,21.0,84.0
2025-08,ART-0053,25,15.05,376.25
2025-08,ART-0054,11,16.13,177.43
2025-08,ART-0055,13,15.53,201.89
2025-08,ART-0056,17,28.89,491.13
2025-08,ART-0057,30,23.92,717.6
2025-08,ART-0059,10,10.25,102.5
2025-08,ART-0060,38,10.12,384.56
2025-08,ART-0061,12,19.23,230.76
2025-08,ART-0062,7,20.73,145.11
2025-08,ART-0063,11,15.31,168.41
2025-08,ART-0064,12,12.59,151.08
2025-08,ART-0065,13,32.58,423.54
2025-08,ART-0066,6,37.74,226.44
2025-08,ART-0068,18,73.1,1315.8
2025-08,ART-0069,12,15.1,181.2
2025-08,ART-0070,7,42.78,299.46
2025-08,ART-0071,10,7.29,72.9
2025-08,ART-0072,18,23.54,423.72
2025-08,ART-0073,11,19.43,213.73
2025-08,ART-0075,6,41.24,247.44
2025-08,ART-0076,8,12.99,103.92
2025-08,ART-0077,6,14.63,87.78
2025-08,ART-0078,20,19.15,383.0
2025-08,ART-0079,6,13.66,81.96
2025-08,ART-0081,4,14.43,57.72
2025-08,ART-0082,12,50.18,602.16
2025-08,ART-0084,14,15.5,217.0
2025-08,ART-0086,13,24.48,318.24
2025-08,ART-0087,5,27.66,138.3
2025-08,ART-0088,24,21.28,510.72
2025-08,ART-0089,13,38.53,500.89
2025-08,ART-0090,7,23.09,161.63
2025-08,ART-0091,15,20.5,307.5
2025-08,ART-0092,33,31.05,1024.65
2025-08,ART-0094,10,11.21,112.1
2025-08,ART-0095,15,13.54,203.1
2025-08,ART-0096,11,14.78,162.58
2025-08,ART-0097,20,30.94,618.8
2025-08,ART-0099,3,24.53,73.59
2025-08,ART-0100,12,9.65,115.8
2025-08,ART-0101,21,22.91,481.11
2025-08,ART-0102,12,22.07,264.84
2025-08,ART-0104,6,21.94,131.64
2025-08,ART-0105,11,7.31,80.41
2025-08,ART-0106,22,35.22,774.84
2025-08,ART-0108,4,19.23,76.92
2025-08,ART-0109,7,19.73,138.11
2025-08,ART-0110,23,11.7,269.1
2025-08,ART-0111,9,27.41,246.69
2025-08,ART-0112,4,17.94,71.76
2025-08,ART-0113,14,17.08,239.12
2025-08,ART-0114,7,25.32,177.24
2025-08,ART-0115,9,19.13,172.17
2025-08,ART-0116,6,12.85,77.1
2025-08,ART-0118,8,15.97,127.76
2025-08,ART-0119,6,34.43,206.58
2025-08,ART-0121,13,11.52,149.76
2025-08,ART-0122,9,23.23,209.07
2025-08,ART-0123,6,18.13,108.78
2025-08,ART-0124,22,11.73,258.06
2025-08,ART-0126,7,17.65,123.55
2025-08,ART-0127,12,18.57,222.84
2025-08,ART-0128,8,9.87,78.96
2025-08,ART-0129,9,36.04,324.36
2025-08,ART-0130,10,50.48,504.8
2025-08,ART-0131,4,34.87,139.48
2025-08,ART-0132,6,30.74,184.44
2025-08,ART-0134,11,17.16,188.76
2025-08,ART-0135,14,12.9,180.6
2025-08,ART-0136,14,24.56,343.84
2025-08,ART-0137,8,21.11,168.88
2025-08,ART-0138,8,15.85,126.8
2025-08,ART-0139,16,16.33,261.28
2025-08,ART-0141,5,18.42,92.1
2025-08,ART-0142,3,23.63,70.89
2025-08,ART-0143,11,19.14,210.54
2025-08,ART-0144,7,19.04,133.28
2025-08,ART-0145,16,24.19,387.04
2025-08,ART-0146,5,11.69,58.45
2025-08,ART-0147,10,25.4,254.0
2025-08,ART-0148,27,27.7,747.9
2025-08,ART-0149,5,16.49,82.45
