report_period,article_sku,quantity,unit_price,amount,freight
2025-05,ART-0000,6,23.59,141.54,4.96
2025-05,ART-0000,6,23.59,141.54,4.96
2025-05,ART-0001,8,33.96,288.66,9.05
2025-05,ART-0001,9,33.96,288.66,9.05
2025-05,ART-0002,6,28.64,171.84,6.69
2025-05,ART-0002,6,28.64,171.84,6.69
2025-05,ART-0003,2,18.0,36.0,0.91
2025-05,ART-0003,2,18.0,36.0,0.91
2025-05,ART-0004,3,21.64,75.74,2.71
2025-05,ART-0004,4,21.64,75.74,2.71
2025-05,ART-0005,2,22.44,56.1,2.08
2025-05,ART-0005,3,22.44,56.1,2.07
2025-05,ART-0006,8,26.74,213.92,8.64
2025-05,ART-0006,8,26.74,213.92,8.65
2025-05,ART-0007,4,21.91,76.69,2.61
2025-05,ART-0007,3,21.91,76.68,2.6
2025-05,ART-0009,5,28.89,130.01,4.29
2025-05,ART-0009,4,28.89,130.0,4.3
2025-05,ART-0010,9,36.62,311.27,9.69
2025-05,ART-0010,8,36.62,311.27,9.68
2025-05,ART-0012,7,15.54,108.78,2.91
2025-05,ART-0012,7,15.54,108.78,2.9
2025-05,ART-0014,5,26.13,130.65,4.05
2025-05,ART-0014,5,26.13,130.65,4.05
2025-05,ART-0015,13,28.23,381.1,13.93
2025-05,ART-0015,14,28.23,381.11,13.93
2025-05,ART-0016,3,42.97,128.91,4.09
2025-05,ART-0016,3,42.97,128.91,4.09
2025-05,ART-0017,4,24.01,108.04,3.93
2025-05,ART-0017,5,24.01,108.05,3.93
2025-05,ART-0019,13,15.4,192.5,5.46
2025-05,ART-0019,12,15.4,192.5,5.46
2025-05,ART-0020,11,29.31,322.41,10.23
2025-05,ART-0020,11,29.31,322.41,10.23
2025-05,ART-0023,6,16.13,88.71,2.25
2025-05,ART-0023,5,16.13,88.72,2.24
2025-05,ART-0024,4,32.08,128.32,3.73
2025-05,ART-0024,4,32.08,128.32,3.73
2025-05,ART-0025,4,25.31,88.59,2.99
2025-05,ART-0025,3,25.31,88.58,3.0
2025-05,ART-0026,9,16.01,152.1,4.99
2025-05,ART-0026,10,16.01,152.09,4.99
2025-05,ART-0028,21,27.86,571.13,20.63
2025-05,ART-0028,20,27.86,571.13,20.62
2025-05,ART-0031,17,16.91,287.47,9.3
2025-05,ART-0031,17,16.91,287.47,9.29
2025-05,ART-0032,6,35.0,210.0,6.31
2025-05,ART-0032,6,35.0,210.0,6.32
2025-05,ART-0033,7,21.17,137.61,3.98
2025-05,ART-0033,6,21.17,137.6,3.98
2025-05,ART-0034,1,9.96,14.94,0.56
2025-05,ART-0034,2,9.96,14.94,0.55
2025-05,ART-0035,3,19.45,58.35,1.75
2025-05,ART-0035,3,19.45,58.35,1.76
2025-05,ART-0036,6,28.19,169.14,4.96
2025-05,ART-0036,6,28.19,169.14,4.97
2025-05,ART-0037,8,23.54,188.32,6.06
2025-05,ART-0037,8,23.54,188.32,6.07
2025-05,ART-0038,4,40.64,162.56,3.69
2025-05,ART-0038,4,40.64,162.56,3.69
2025-05,ART-0040,4,13.85,48.47,1.19
2025-05,ART-0040,3,13.85,48.48,1.19
2025-05,ART-0042,1,31.36,47.04,1.35
2025-05,ART-0042,2,31.36,47.04,1.35
2025-05,ART-0043,3,16.87,50.61,1.68
2025-05,ART-0043,3,16.87,50.61,1.68
2025-05,ART-0044,19,11.53,219.07,4.56
2025-05,ART-0044,19,11.53,219.07,4.56
2025-05,ART-0045,3,14.36,35.9,1.07
2025-05,ART-0045,2,14.36,35.9,1.07
2025-05,ART-0046,5,23.65,118.25,3.65
2025-05,ART-0046,5,23.65,118.25,3.65
2025-05,ART-0047,2,24.64,61.6,2.46
2025-05,ART-0047,3,24.64,61.6,2.47
2025-05,ART-0048,12,14.54,174.48,4.67
2025-05,ART-0048,12,14.54,174.48,4.67
2025-05,ART-0049,2,42.11,84.22,2.76
2025-05,ART-0049,2,42.11,84.22,2.76
2025-05,ART-0051,9,7.31,62.13,1.74
2025-05,ART-0051,8,7.31,62.14,1.74
2025-05,ART-0052,2,21.27,42.54,1.4
2025-05,ART-0052,2,21.27,42.54,1.41
2025-05,ART-0053,15,15.47,239.78,8.32
2025-05,ART-0053,16,15.47,239.79,8.32
2025-05,ART-0054,6,15.99,95.94,2.37
2025-05,ART-0054,6,15.99,95.94,2.37
2025-05,ART-0056,9,29.09,276.36,7.86
2025-05,ART-0056,10,29.09,276.35,7.87
2025-05,ART-0057,13,24.21,314.73,9.81
2025-05,ART-0057,13,24.21,314.73,9.82
2025-05,ART-0058,5,40.26,201.3,7.88
2025-05,ART-0058,5,40.26,201.3,7.89
2025-05,ART-0059,5,10.46,57.53,1.87
2025-05,ART-0059,6,10.46,57.53,1.87
2025-05,ART-0060,14,10.31,144.34,3.59
2025-05,ART-0060,14,10.31,144.34,3.59
2025-05,ART-0061,4,19.34,77.36,2.23
2025-05,ART-0061,4,19.34,77.36,2.24
2025-05,ART-0062,4,20.59,92.66,2.85
2025-05,ART-0062,5,20.59,92.65,2.85
2025-05,ART-0063,6,15.54,85.47,2.75
2025-05,ART-0063,5,15.54,85.47,2.75
2025-05,ART-0064,6,12.56,75.36,2.41
2025-05,ART-0064,6,12.56,75.36,2.42
2025-05,ART-0065,4,32.29,129.16,4.2
2025-05,ART-0065,4,32.29,129.16,4.2
2025-05,ART-0066,3,38.04,95.1,2.95
2025-05,ART-0066,2,38.04,95.1,2.95
2025-05,ART-0067,9,13.69,116.37,3.43
2025-05,ART-0067,8,13.69,116.36,3.42
2025-05,ART-0068,9,73.64,662.76,21.51
2025-05,ART-0068,9,73.64,662.76,21.51
2025-05,ART-0069,7,15.16,106.12,2.77
2025-05,ART-0069,7,15.16,106.12,2.76
2025-05,ART-0071,6,7.4,44.4,1.38
2025-05,ART-0071,6,7.4,44.4,1.37
2025-05,ART-0072,5,23.78,118.9,3.19
2025-05,ART-0072,5,23.78,118.9,3.18
2025-05,ART-0073,5,19.65,88.43,2.22
2025-05,ART-0073,4,19.65,88.42,2.22
2025-05,ART-0075,3,41.24,123.72,3.68
2025-05,ART-0075,3,41.24,123.72,3.68
2025-05,ART-0076,4,13.07,52.28,1.5
2025-05,ART-0076,4,13.07,52.28,1.5
2025-05,ART-0077,2,14.6,29.2,0.93
2025-05,ART-0077,2,14.6,29.2,0.94
2025-05,ART-0078,6,19.84,128.96,4.07
2025-05,ART-0078,7,19.84,128.96,4.06
2025-05,ART-0079,2,13.84,27.68,0.82
2025-05,ART-0079,2,13.84,27.68,0.82
2025-05,ART-0080,6,37.3,223.8,6.66
2025-05,ART-0080,6,37.3,223.8,6.66
2025-05,ART-0081,2,14.5,29.0,0.72
2025-05,ART-0081,2,14.5,29.0,0.72
2025-05,ART-0082,4,50.08,225.36,7.75
2025-05,ART-0082,5,50.08,225.36,7.75
2025-05,ART-0083,15,17.93,277.92,8.94
2025-05,ART-0083,16,17.93,277.91,8.93
2025-05,ART-0085,10,50.43,504.3,14.64
2025-05,ART-0085,10,50.43,504.3,14.64
2025-05,ART-0086,7,25.21,189.08,5.61
2025-05,ART-0086,8,25.21,189.07,5.61
2025-05,ART-0087,2,27.74,69.35,2.27
2025-05,ART-0087,3,27.74,69.35,2.27
2025-05,ART-0088,9,21.31,202.44,6.7
2025-05,ART-0088,10,21.31,202.45,6.69
2025-05,ART-0089,3,39.02,117.06,3.34
2025-05,ART-0089,3,39.02,117.06,3.34
2025-05,ART-0090,7,23.2,150.8,4.19
2025-05,ART-0090,6,23.2,150.8,4.19
2025-05,ART-0091,11,20.47,225.17,6.22
2025-05,ART-0091,11,20.47,225.17,6.21
2025-05,ART-0092,16,30.6,474.3,13.77
2025-05,ART-0092,15,30.6,474.3,13.76
2025-05,ART-0093,4,13.94,62.73,1.65
2025-05,ART-0093,5,13.94,62.73,1.65
2025-05,ART-0094,5,11.23,56.15,2.16
2025-05,ART-0094,5,11.23,56.15,2.16
2025-05,ART-0095,7,13.75,103.12,2.44
2025-05,ART-0095,8,13.75,103.13,2.44
2025-05,ART-0096,6,14.39,86.34,2.59
2025-05,ART-0096,6,14.39,86.34,2.6
2025-05,ART-0097,11,30.72,337.92,12.37
2025-05,ART-0097,11,30.72,337.92,12.36
2025-05,ART-0098,2,24.23,48.46,1.31
2025-05,ART-0098,2,24.23,48.46,1.31
2025-05,ART-0099,2,24.22,60.55,2.21
2025-05,ART-0099,3,24.22,60.55,2.21
2025-05,ART-0101,9,22.07,198.63,6.22
2025-05,ART-0101,9,22.07,198.63,6.22
2025-05,ART-0102,7,22.78,159.46,5.41
2025-05,ART-0102,7,22.78,159.46,5.4
2025-05,ART-0103,7,13.88,97.16,2.74
2025-05,ART-0103,7,13.88,97.16,2.73
2025-05,ART-0105,3,7.27,25.44,0.94
2025-05,ART-0105,4,7.27,25.45,0.95
2025-05,ART-0106,13,35.08,456.04,12.55
2025-05,ART-0106,13,35.08,456.04,12.55
2025-05,ART-0107,8,32.85,262.8,8.55
2025-05,ART-0107,8,32.85,262.8,8.56
2025-05,ART-0108,2,19.43,48.58,1.74
2025-05,ART-0108,3,19.43,48.57,1.73
2025-05,ART-0109,4,20.09,70.31,2.87
2025-05,ART-0109,3,20.09,70.32,2.86
2025-05,ART-0110,15,11.43,165.73,5.13
2025-05,ART-0110,14,11.43,165.74,5.14
2025-05,ART-0111,8,27.24,204.3,5.27
2025-05,ART-0111,7,27.24,204.3,5.26
2025-05,ART-0112,2,18.07,36.14,1.1
2025-05,ART-0112,2,18.07,36.14,1.09
2025-05,ART-0114,3,25.49,76.47,2.06
2025-05,ART-0114,3,25.49,76.47,2.05
2025-05,ART-0115,3,19.12,57.36,1.95
2025-05,ART-0115,3,19.12,57.36,1.95
2025-05,ART-0117,12,38.02,437.23,17.83
2025-05,ART-0117,11,38.02,437.23,17.83
2025-05,ART-0118,3,15.39,46.17,1.44
2025-05,ART-0118,3,15.39,46.17,1.43
2025-05,ART-0121,6,11.72,70.32,2.29
2025-05,ART-0121,6,11.72,70.32,2.29
2025-05,ART-0122,6,23.12,138.72,5.11
2025-05,ART-0122,6,23.12,138.72,5.11
2025-05,ART-0123,4,17.54,70.16,2.48
2025-05,ART-0123,4,17.54,70.16,2.48
2025-05,ART-0124,9,11.34,102.06,2.94
2025-05,ART-0124,9,11.34,102.06,2.93
2025-05,ART-0126,5,17.55,87.75,2.85
2025-05,ART-0126,5,17.55,87.75,2.86
2025-05,ART-0128,4,9.9,39.6,1.49
2025-05,ART-0128,4,9.9,39.6,1.48
2025-05,ART-0129,5,36.75,183.75,5.47
2025-05,ART-0129,5,36.75,183.75,5.46
2025-05,ART-0130,5,50.83,254.15,8.85
2025-05,ART-0130,5,50.83,254.15,8.85
2025-05,ART-0131,3,34.58,86.45,2.46
2025-05,ART-0131,2,34.58,86.45,2.46
2025-05,ART-0132,4,30.84,107.94,3.89
2025-05,ART-0132,3,30.84,107.94,3.9
2025-05,ART-0133,3,13.29,39.87,1.21
2025-05,ART-0133,3,13.29,39.87,1.2
2025-05,ART-0134,2,17.17,42.92,1.27
2025-05,ART-0134,3,17.17,42.93,1.27
2025-05,ART-0135,6,13.0,71.5,1.85
2025-05,ART-0135,5,13.0,71.5,1.86
2025-05,ART-0136,8,24.42,183.15,5.97
2025-05,ART-0136,7,24.42,183.15,5.96
2025-05,ART-0137,3,21.16,52.9,1.54
2025-05,ART-0137,2,21.16,52.9,1.54
2025-05,ART-0138,6,15.82,87.01,2.27
2025-05,ART-0138,5,15.82,87.01,2.26
2025-05,ART-0139,11,16.25,170.63,4.91
2025-05,ART-0139,10,16.25,170.62,4.9
2025-05,ART-0140,2,19.07,28.61,0.91
2025-05,ART-0140,1,19.07,28.6,0.9
2025-05,ART-0142,4,23.2,92.8,2.57
2025-05,ART-0142,4,23.2,92.8,2.58
2025-05,ART-0143,5,18.85,103.68,3.07
2025-05,ART-0143,6,18.85,103.67,3.07
2025-05,ART-0145,10,23.94,227.43,6.89
2025-05,ART-0145,9,23.94,227.43,6.9
2025-05,ART-0146,3,11.73,29.33,0.67
2025-05,ART-0146,2,11.73,29.32,0.67
2025-05,ART-0147,3,25.41,76.23,2.13
2025-05,ART-0147,3,25.41,76.23,2.12
2025-05,ART-0148,23,27.88,641.24,22.37
2025-05,ART-0148,23,27.88,641.24,22.38
2025-05,ART-0149,3,16.75,58.62,1.9
2025-05,ART-0149,4,16.75,58.63,1.9
