article_sku,2025-07
ART-0001,429.13
ART-0002,366.34
ART-0003,124.67
ART-0004,129.06
ART-0005,112.8
ART-0006,217.36
ART-0007,109.7
ART-0008,61.38
ART-0009,200.69
ART-0010,520.38
ART-0011,384.45
ART-0014,238.95
ART-0017,167.93
ART-0018,75.33
ART-0019,197.73
ART-0020,406.84
ART-0021,411.29
ART-0022,734.4
ART-0023,112.77
ART-0024,465.45
ART-0025,152.1
ART-0026,320.4
ART-0027,115.29
ART-0029,588.0
ART-0030,178.32
ART-0031,377.66
ART-0032,415.32
ART-0033,247.92
ART-0034,29.97
ART-0035,114.78
ART-0036,231.2
ART-0037,328.72
ART-0038,495.96
ART-0039,328.59
ART-0040,108.0
ART-0041,343.56
ART-0042,94.29
ART-0043,100.38
ART-0044,381.81
ART-0045,71.25
ART-0046,310.96
ART-0047,170.8
ART-0049,298.2
ART-0050,296.46
ART-0051,109.65
ART-0052,105.3
ART-0053,258.74
ART-0054,316.6
ART-0057,528.44
ART-0059,175.27
ART-0060,317.44
ART-0061,197.3
ART-0062,144.83
ART-0063,171.93
ART-0064,259.98
ART-0065,555.9
ART-0066,185.55
ART-0067,169.92
ART-0068,1305.0
ART-0069,89.76
ART-0070,217.0
ART-0071,112.05
ART-0072,373.28
ART-0073,213.29
ART-0074,113.5
ART-0075,373.41
ART-0076,106.96
ART-0077,58.76
ART-0078,528.12
ART-0080,408.54
ART-0081,58.44
ART-0082,946.58
ART-0083,312.46
ART-0084,234.45
ART-0086,414.63
ART-0087,250.29
ART-0088,544.0
ART-0089,348.39
ART-0090,182.08
ART-0091,367.02
ART-0092,463.95
ART-0093,82.92
ART-0095,259.92
ART-0096,290.4
ART-0097,962.24
ART-0098,96.32
ART-0100,86.04
ART-0101,450.4
ART-0102,371.96
ART-0103,170.64
ART-0104,234.63
ART-0105,79.64
ART-0106,575.84
ART-0107,864.76
ART-0108,113.52
ART-0109,223.52
ART-0110,289.75
ART-0111,501.66
ART-0112,126.77
ART-0114,203.12
ART-0115,94.65
ART-0116,171.47
ART-0117,1097.07
ART-0118,143.73
ART-0119,103.11
ART-0120,203.3
ART-0121,181.92
ART-0122,232.0
ART-0123,128.8
ART-0124,138.12
ART-0126,175.6
ART-0127,202.4
ART-0128,108.35
ART-0129,367.3
ART-0130,398.16
ART-0131,204.24
ART-0132,214.97
ART-0133,79.56
ART-0135,178.64
ART-0136,601.25
ART-0137,208.3
ART-0138,111.3
ART-0139,286.92
ART-0140,75.76
ART-0141,56.52
ART-0142,70.68
ART-0143,188.6
ART-0144,228.6
ART-0145,391.2
ART-0146,46.76
ART-0148,753.57
ART-0149,100.38
