freight,amount,unit_price,quantity,article_sku,report_period
9.92,283.08,23.59,12,ART-0000,2025-05
18.1,577.32,33.96,17,ART-0001,2025-05
13.38,343.68,28.64,12,ART-0002,2025-05
1.82,72.0,18.0,4,ART-0003,2025-05
5.42,151.48,21.64,7,ART-0004,2025-05
4.15,112.2,22.44,5,ART-0005,2025-05
17.29,427.84,26.74,16,ART-0006,2025-05
5.21,153.37,21.91,7,ART-0007,2025-05
8.59,260.01,28.89,9,ART-0009,2025-05
19.37,622.54,36.62,17,ART-0010,2025-05
5.81,217.56,15.54,14,ART-0012,2025-05
8.1,261.3,26.13,10,ART-0014,2025-05
27.86,762.21,28.23,27,ART-0015,2025-05
8.18,257.82,42.97,6,ART-0016,2025-05
7.86,216.09,24.01,9,ART-0017,2025-05
10.92,385.0,15.4,25,ART-0019,2025-05
20.46,644.82,29.31,22,ART-0020,2025-05
4.49,177.43,16.13,11,ART-0023,2025-05
7.46,256.64,32.08,8,ART-0024,2025-05
5.99,177.17,25.31,7,ART-0025,2025-05
9.98,304.19,16.01,19,ART-0026,2025-05
41.25,1142.26,27.86,41,ART-0028,2025-05
18.59,574.94,16.91,34,ART-0031,2025-05
12.63,420.0,35.0,12,ART-0032,2025-05
7.96,275.21,21.17,13,ART-0033,2025-05
1.11,29.88,9.96,3,ART-0034,2025-05
3.51,116.7,19.45,6,ART-0035,2025-05
9.93,338.28,28.19,12,ART-0036,2025-05
12.13,376.64,23.54,16,ART-0037,2025-05
7.38,325.12,40.64,8,ART-0038,2025-05
2.38,96.95,13.85,7,ART-0040,2025-05
2.7,94.08,31.36,3,ART-0042,2025-05
3.36,101.22,16.87,6,ART-0043,2025-05
9.12,438.14,11.53,38,ART-0044,2025-05
2.14,71.8,14.36,5,ART-0045,2025-05
7.3,236.5,23.65,10,ART-0046,2025-05
4.93,123.2,24.64,5,ART-0047,2025-05
9.34,348.96,14.54,24,ART-0048,2025-05
5.52,168.44,42.11,4,ART-0049,2025-05
3.48,124.27,7.31,17,ART-0051,2025-05
2.81,85.08,21.27,4,ART-0052,2025-05
16.64,479.57,15.47,31,ART-0053,2025-05
4.74,191.88,15.99,12,ART-0054,2025-05
15.73,552.71,29.09,19,ART-0056,2025-05
19.63,629.46,24.21,26,ART-0057,2025-05
15.77,402.6,40.26,10,ART-0058,2025-05
3.74,115.06,10.46,11,ART-0059,2025-05
7.18,288.68,10.31,28,ART-0060,2025-05
4.47,154.72,19.34,8,ART-0061,2025-05
5.7,185.31,20.59,9,ART-0062,2025-05
5.5,170.94,15.54,11,ART-0063,2025-05
4.83,150.72,12.56,12,ART-0064,2025-05
8.4,258.32,32.29,8,ART-0065,2025-05
5.9,190.2,38.04,5,ART-0066,2025-05
6.85,232.73,13.69,17,ART-0067,2025-05
43.02,1325.52,73.64,18,ART-0068,2025-05
5.53,212.24,15.16,14,ART-0069,2025-05
2.75,88.8,7.4,12,ART-0071,2025-05
6.37,237.8,23.78,10,ART-0072,2025-05
4.44,176.85,19.65,9,ART-0073,2025-05
7.36,247.44,41.24,6,ART-0075,2025-05
3.0,104.56,13.07,8,ART-0076,2025-05
1.87,58.4,14.6,4,ART-0077,2025-05
8.13,257.92,19.84,13,ART-0078,2025-05
1.64,55.36,13.84,4,ART-0079,2025-05
13.32,447.6,37.3,12,ART-0080,2025-05
1.44,58.0,14.5,4,ART-0081,2025-05
15.5,450.72,50.08,9,ART-0082,2025-05
17.87,555.83,17.93,31,ART-0083,2025-05
29.28,1008.6,50.43,20,ART-0085,2025-05
11.22,378.15,25.21,15,ART-0086,2025-05
4.54,138.7,27.74,5,ART-0087,2025-05
13.39,404.89,21.31,19,ART-0088,2025-05
6.68,234.12,39.02,6,ART-0089,2025-05
8.38,301.6,23.2,13,ART-0090,2025-05
12.43,450.34,20.47,22,ART-0091,2025-05
27.53,948.6,30.6,31,ART-0092,2025-05
3.3,125.46,13.94,9,ART-0093,2025-05
4.32,112.3,11.23,10,ART-0094,2025-05
4.88,206.25,13.75,15,ART-0095,2025-05
5.19,172.68,14.39,12,ART-0096,2025-05
24.73,675.84,30.72,22,ART-0097,2025-05
2.62,96.92,24.23,4,ART-0098,2025-05
4.42,121.1,24.22,5,ART-0099,2025-05
12.44,397.26,22.07,18,ART-0101,2025-05
10.81,318.92,22.78,14,ART-0102,2025-05
5.47,194.32,13.88,14,ART-0103,2025-05
1.89,50.89,7.27,7,ART-0105,2025-05
25.1,912.08,35.08,26,ART-0106,2025-05
17.11,525.6,32.85,16,ART-0107,2025-05
3.47,97.15,19.43,5,ART-0108,2025-05
5.73,140.63,20.09,7,ART-0109,2025-05
10.27,331.47,11.43,29,ART-0110,2025-05
10.53,408.6,27.24,15,ART-0111,2025-05
