report_period,article_sku,quantity,unit_price,amount,freight
2025-02,ART-0000,9,23.73,"213,57",6.07
2025-02,ART-0001,13,33.49,"435,37",15.14
2025-02,ART-0003,8,17.9,"143,20",5.0
2025-02,ART-0004,5,21.44,"107,20",3.29
2025-02,ART-0006,15,26.85,"402,75",11.36
2025-02,ART-0007,6,22.33,"133,98",4.28
2025-02,ART-0008,7,10.37,"72,59",2.49
2025-02,ART-0010,24,37.18,"892,32",30.98
2025-02,ART-0011,24,25.78,"618,72",14.84
2025-02,ART-0012,12,15.91,"190,92",5.64
2025-02,ART-0013,3,25.52,"76,56",2.08
2025-02,ART-0014,12,26.1,"313,20",10.13
2025-02,ART-0015,21,28.6,"600,60",16.73
2025-02,ART-0016,7,42.58,"298,06",7.81
2025-02,ART-0017,9,24.41,"219,69",6.29
2025-02,ART-0019,24,15.24,"365,76",9.23
2025-02,ART-0020,14,29.18,"408,52",12.56
2025-02,ART-0021,10,37.08,"370,80",10.79
2025-02,ART-0022,42,13.53,"568,26",14.53
2025-02,ART-0024,13,31.27,"406,51",10.73
2025-02,ART-0025,4,25.15,"100,60",3.19
2025-02,ART-0026,21,15.84,"332,64",10.82
2025-02,ART-0027,7,12.95,"90,65",1.88
2025-02,ART-0029,18,42.42,"763,56",22.92
2025-02,ART-0030,4,45.44,"181,76",6.35
2025-02,ART-0031,31,16.76,"519,56",17.6
2025-02,ART-0032,11,34.68,"381,48",9.54
2025-02,ART-0033,24,21.35,"512,40",16.29
2025-02,ART-0035,12,19.48,"233,76",4.66
2025-02,ART-0037,17,23.58,"400,86",13.9
2025-02,ART-0038,7,41.03,"287,21",10.16
2025-02,ART-0039,7,37.08,"259,56",8.6
2025-02,ART-0040,8,13.75,"110,00",3.71
2025-02,ART-0041,34,16.29,"553,86",19.49
2025-02,ART-0042,3,30.85,"92,55",2.18
2025-02,ART-0043,3,16.92,"50,76",1.52
2025-02,ART-0044,29,11.58,"335,82",7.91
2025-02,ART-0045,8,14.19,"113,52",3.41
2025-02,ART-0046,16,23.37,"373,92",10.96
2025-02,ART-0047,6,24.38,"146,28",4.62
2025-02,ART-0049,6,42.1,"252,60",9.71
2025-02,ART-0050,12,32.67,"392,04",12.66
2025-02,ART-0051,13,7.28,"94,64",3.1
2025-02,ART-0052,7,20.74,"145,18",5.06
2025-02,ART-0053,22,15.17,"333,74",9.19
2025-02,ART-0054,12,15.93,"191,16",5.16
2025-02,ART-0056,23,29.13,"669,99",23.87
2025-02,ART-0057,22,24.93,"548,46",14.37
2025-02,ART-0058,15,40.22,"603,30",17.95
