report_period,article_sku,quantity,unit_price,amount,freight
2025-09,ART-0000,9,23.24,209.16,6.71
2025-09,ART-0001,18,33.58,604.44,15.36
2025-09,ART-0002,13,28.2,366.6,10.7
2025-09,ART-0004,6,21.38,128.28,2.89
2025-09,ART-0005,6,22.49,134.94,4.4
2025-09,ART-0006,10,27.36,273.6,8.89
2025-09,ART-0007,6,21.78,130.68,3.61
2025-09,ART-0008,8,10.39,83.12,3.21
2025-09,ART-0009,7,28.09,196.63,6.33
2025-09,ART-0010,29,37.22,1079.38,29.35
2025-09,ART-0011,19,25.82,490.58,14.1
2025-09,ART-0012,16,15.81,252.96,8.16
2025-09,ART-0014,13,24.94,324.22,10.29
2025-09,ART-0015,23,28.98,666.54,19.21
2025-09,ART-0016,12,42.31,507.72,17.51
2025-09,ART-0017,8,24.68,197.44,6.38
2025-09,ART-0018,19,8.34,158.46,4.91
2025-09,ART-0019,10,15.48,154.8,3.4
2025-09,ART-0020,12,29.52,354.24,12.74
2025-09,ART-0021,8,36.44,291.52,9.33
2025-09,ART-0022,28,13.57,379.96,12.65
2025-09,ART-0023,9,16.22,145.98,4.64
2025-09,ART-0024,14,30.66,429.24,12.54
2025-09,ART-0026,19,16.1,305.9,7.22
2025-09,ART-0027,12,13.0,156.0,4.5
2025-09,ART-0029,11,42.84,471.24,14.07
2025-09,ART-0030,4,44.56,178.24,4.07
2025-09,ART-0032,14,34.02,476.28,14.33
2025-09,ART-0033,13,21.19,275.47,10.08
2025-09,ART-0034,2,10.11,20.22,0.61
2025-09,ART-0035,8,19.71,157.68,4.95
2025-09,ART-0036,14,28.53,399.42,11.95
2025-09,ART-0037,22,23.39,514.58,17.95
2025-09,ART-0039,8,36.33,290.64,8.94
2025-09,ART-0041,38,16.56,629.28,16.67
2025-09,ART-0042,4,31.66,126.64,3.57
2025-09,ART-0043,4,16.92,67.68,1.74
2025-09,ART-0044,29,11.57,335.53,8.45
2025-09,ART-0045,5,14.41,72.05,2.48
2025-09,ART-0046,14,23.58,330.12,13.11
2025-09,ART-0049,7,42.57,297.99,9.97
2025-09,ART-0050,10,33.05,330.5,11.05
2025-09,ART-0051,19,7.17,136.23,3.47
2025-09,ART-0052,4,21.14,84.56,2.58
2025-09,ART-0053,26,15.45,401.7,11.28
2025-09,ART-0054,14,15.57,217.98,8.72
2025-09,ART-0055,14,15.33,214.62,5.99
2025-09,ART-0056,22,28.55,628.1,17.61
2025-09,ART-0057,22,23.85,524.7,16.09
2025-09,ART-0058,14,39.93,559.02,11.78
2025-09,ART-0059,16,10.06,160.96,4.46
2025-09,ART-0061,12,19.46,233.52,6.29
2025-09,ART-0063,15,15.57,233.55,7.47
2025-09,ART-0064,12,12.69,152.28,5.1
2025-09,ART-0065,14,32.41,453.74,12.0
2025-09,ART-0066,6,37.77,226.62,6.75
2025-09,ART-0067,25,13.83,345.75,9.4
2025-09,ART-0068,11,71.75,789.25,19.29
2025-09,ART-0069,10,15.11,151.1,6.11
2025-09,ART-0070,8,43.3,346.4,13.4
2025-09,ART-0071,10,7.37,73.7,2.66
2025-09,ART-0072,19,23.42,444.98,13.35
2025-09,ART-0074,6,22.63,135.78,3.28
2025-09,ART-0075,7,40.44,283.08,7.34
2025-09,ART-0077,4,14.63,58.52,2.01
2025-09,ART-0078,16,19.95,319.2,9.91
2025-09,ART-0080,26,36.82,957.32,28.38
2025-09,ART-0082,12,50.43,605.16,17.24
2025-09,ART-0083,20,18.0,360.0,11.57
2025-09,ART-0084,12,15.86,190.32,6.33
2025-09,ART-0087,7,27.27,190.89,6.64
2025-09,ART-0088,25,21.46,536.5,15.78
2025-09,ART-0090,9,22.7,204.3,5.54
2025-09,ART-0091,21,20.14,422.94,12.09
2025-09,ART-0093,10,13.88,138.8,3.9
2025-09,ART-0094,7,11.42,79.94,2.51
2025-09,ART-0095,18,13.43,241.74,6.86
2025-09,ART-0096,26,14.44,375.44,11.01
2025-09,ART-0097,16,31.02,496.32,18.28
2025-09,ART-0099,6,24.1,144.6,5.23
2025-09,ART-0100,10,9.67,96.7,2.95
2025-09,ART-0101,18,22.45,404.1,11.28
2025-09,ART-0102,21,22.68,476.28,16.06
2025-09,ART-0103,16,13.88,222.08,6.13
2025-09,ART-0104,10,21.44,214.4,4.9
2025-09,ART-0105,6,7.21,43.26,1.34
2025-09,ART-0107,18,32.94,592.92,17.75
2025-09,ART-0108,6,19.25,115.5,3.7
2025-09,ART-0109,6,20.19,121.14,3.2
2025-09,ART-0110,33,11.75,387.75,11.88
2025-09,ART-0111,24,27.74,665.76,19.6
2025-09,ART-0112,8,17.84,142.72,4.92
2025-09,ART-0113,23,17.03,391.69,11.08
2025-09,ART-0114,9,25.32,227.88,6.44
2025-09,ART-0115,5,19.14,95.7,3.03
2025-09,ART-0116,14,13.22,185.08,4.59
2025-09,ART-0117,21,37.91,796.11,19.55
2025-09,ART-0118,10,15.53,155.3,5.22
2025-09,ART-0119,5,35.02,175.1,4.46
2025-09,ART-0120,11,10.7,117.7,3.64
2025-09,ART-0121,23,11.65,267.95,10.2
2025-09,ART-0122,22,22.99,505.78,18.39
2025-09,ART-0123,7,17.78,124.46,3.52
2025-09,ART-0124,20,11.76,235.2,5.88
2025-09,ART-0125,17,14.43,245.31,7.42
2025-09,ART-0126,8,17.8,142.4,4.47
2025-09,ART-0127,14,18.58,260.12,9.06
2025-09,ART-0128,15,9.8,147.0,4.04
2025-09,ART-0129,9,36.04,324.36,12.44
2025-09,ART-0130,6,50.25,301.5,10.15
2025-09,ART-0131,8,34.19,273.52,8.8
2025-09,ART-0133,7,13.33,93.31,2.74
2025-09,ART-0134,7,17.04,119.28,4.37
2025-09,ART-0135,15,13.15,197.25,6.11
2025-09,ART-0136,24,24.34,584.16,18.09
2025-09,ART-0137,6,21.25,127.5,2.94
2025-09,ART-0139,12,16.28,195.36,5.28
2025-09,ART-0140,7,19.12,133.84,3.63
2025-09,ART-0141,4,18.55,74.2,2.7
2025-09,ART-0144,9,19.21,172.89,5.17
2025-09,ART-0145,16,23.96,383.36,11.79
2025-09,ART-0146,8,11.55,92.4,2.43
2025-09,ART-0147,14,25.89,362.46,12.49
2025-09,ART-0148,36,28.38,1021.68,31.35
2025-09,ART-0149,7,16.76,117.32,3.3
