report_period,article_sku,quantity,unit_price,amount
2025-06,ART-0000,10,23.53,235.3
2025-06,ART-0001,18,33.52,603.36
2025-06,ART-0002,10,28.04,280.4
2025-06,ART-0003,5,18.22,91.1
2025-06,ART-0004,5,21.48,107.4
2025-06,ART-0005,6,22.74,136.44
2025-06,ART-0006,10,27.25,272.5
2025-06,ART-0007,7,22.02,154.14
2025-06,ART-0008,7,10.47,73.29
2025-06,ART-0009,6,28.7,172.2
2025-06,ART-0010,21,36.78,772.38
2025-06,ART-0011,13,26.34,342.42
2025-06,ART-0012,13,15.85,206.05
2025-06,ART-0014,11,26.14,287.54
2025-06,ART-0015,30,28.38,851.4
2025-06,ART-0017,12,24.31,291.72
2025-06,ART-0018,11,8.44,92.84
2025-06,ART-0019,20,15.33,306.6
2025-06,ART-0020,18,29.22,525.96
2025-06,ART-0021,7,36.74,257.18
2025-06,ART-0022,49,13.31,652.19
2025-06,ART-0024,8,31.16,249.28
2025-06,ART-0025,6,25.63,153.78
2025-06,ART-0027,16,13.06,208.96
2025-06,ART-0029,12,42.21,506.52
2025-06,ART-0031,21,16.83,353.43
2025-06,ART-0033,10,20.69,206.9
2025-06,ART-0034,3,10.04,30.12
2025-06,ART-0035,9,19.77,177.93
2025-06,ART-0036,10,28.34,283.4
2025-06,ART-0037,18,23.48,422.64
2025-06,ART-0038,14,42.14,589.96
2025-06,ART-0039,9,37.02,333.18
2025-06,ART-0040,9,13.66,122.94
2025-06,ART-0041,29,16.64,482.56
2025-06,ART-0042,3,31.22,93.66
2025-06,ART-0043,5,16.81,84.05
2025-06,ART-0044,37,11.78,435.86
2025-06,ART-0045,9,14.49,130.41
2025-06,ART-0046,10,23.87,238.7
2025-06,ART-0047,5,24.25,121.25
2025-06,ART-0048,18,14.7,264.6
2025-06,ART-0049,5,41.94,209.7
2025-06,ART-0050,12,33.21,398.52
2025-06,ART-0051,10,7.11,71.1
2025-06,ART-0052,4,21.0,84.0
2025-06,ART-0055,11,15.5,170.5
2025-06,ART-0056,19,29.16,554.04
2025-06,ART-0057,38,24.16,918.08
2025-06,ART-0058,16,39.57,633.12
2025-06,ART-0059,15,10.3,154.5
2025-06,ART-0060,37,10.26,379.62
2025-06,ART-0061,5,18.99,94.95
2025-06,ART-0062,7,20.41,142.87
2025-06,ART-0063,10,15.59,155.9
2025-06,ART-0064,12,12.54,150.48
2025-06,ART-0065,16,33.22,531.52
2025-06,ART-0066,6,37.29,223.74
2025-06,ART-0070,5,43.55,217.75
2025-06,ART-0071,15,7.45,111.75
2025-06,ART-0072,11,23.26,255.86
2025-06,ART-0073,10,19.34,193.4
2025-06,ART-0074,6,22.05,132.3
2025-06,ART-0075,6,40.67,244.02
2025-06,ART-0076,9,13.24,119.16
2025-06,ART-0077,6,14.54,87.24
2025-06,ART-0078,18,19.72,354.96
2025-06,ART-0079,5,13.72,68.6
2025-06,ART-0080,15,37.35,560.25
2025-06,ART-0083,30,18.17,545.1
2025-06,ART-0084,13,15.29,198.77
2025-06,ART-0085,22,50.92,1120.24
2025-06,ART-0086,15,24.96,374.4
2025-06,ART-0088,20,21.61,432.2
2025-06,ART-0089,11,39.39,433.29
2025-06,ART-0090,11,22.62,248.82
2025-06,ART-0091,18,20.4,367.2
2025-06,ART-0092,16,30.88,494.08
2025-06,ART-0093,8,13.84,110.72
2025-06,ART-0094,6,11.28,67.68
2025-06,ART-0095,14,13.79,193.06
2025-06,ART-0096,15,14.35,215.25
2025-06,ART-0097,27,30.81,831.87
2025-06,ART-0098,5,24.36,121.8
2025-06,ART-0099,3,24.41,73.23
2025-06,ART-0100,10,9.65,96.5
2025-06,ART-0101,23,22.49,517.27
2025-06,ART-0102,13,22.4,291.2
2025-06,ART-0105,7,7.17,50.19
2025-06,ART-0106,38,35.72,1357.36
2025-06,ART-0107,20,33.19,663.8
2025-06,ART-0109,4,20.15,80.6
2025-06,ART-0110,28,11.76,329.28
2025-06,ART-0111,14,27.97,391.58
2025-06,ART-0112,6,18.0,108.0
2025-06,ART-0113,19,16.83,319.77
2025-06,ART-0114,9,25.56,230.04
2025-06,ART-0115,6,18.91,113.46
2025-06,ART-0116,13,12.86,167.18
2025-06,ART-0117,31,37.59,1165.29
2025-06,ART-0118,9,15.38,138.42
2025-06,ART-0119,6,34.81,208.86
2025-06,ART-0120,21,10.62,223.02
2025-06,ART-0121,15,11.61,174.15
2025-06,ART-0122,7,22.78,159.46
2025-06,ART-0123,5,18.28,91.4
2025-06,ART-0124,25,11.58,289.5
2025-06,ART-0125,19,14.48,275.12
2025-06,ART-0126,8,17.01,136.08
2025-06,ART-0129,10,36.67,366.7
2025-06,ART-0130,7,49.43,346.01
2025-06,ART-0131,5,34.62,173.1
2025-06,ART-0133,5,13.2,66.0
2025-06,ART-0134,9,17.26,155.34
2025-06,ART-0135,19,13.1,248.9
2025-06,ART-0136,28,23.86,668.08
2025-06,ART-0137,11,21.05,231.55
2025-06,ART-0138,9,15.91,143.19
2025-06,ART-0139,12,16.25,195.0
2025-06,ART-0140,3,19.27,57.81
2025-06,ART-0141,4,18.77,75.08
2025-06,ART-0142,3,23.34,70.02
2025-06,ART-0143,8,18.96,151.68
2025-06,ART-0144,12,19.1,229.2
2025-06,ART-0145,19,24.43,464.17
2025-06,ART-0146,7,11.36,79.52
2025-06,ART-0147,9,25.59,230.31
2025-06,ART-0148,27,28.04,757.08
2025-06,ART-0149,9,16.72,150.48
