period,product,country,sales
2026-01,ART-0002,CZ,"376,234"
2026-02,ART-0002,CZ,"390,234"
2026-03,ART-0002,CZ,"354,234"
2026-05,ART-0002,CZ,"435,234"
2026-01,ART-0003,CZ,"329,234"
2026-02,ART-0003,CZ,"711,234"
2026-03,ART-0003,CZ,"39,234"
2026-04,ART-0003,CZ,"799,234"
2026-05,ART-0003,CZ,"161,234"
2026-06,ART-0003,CZ,"424,234"
2026-01,ART-0002,DE,"482,234"
2026-02,ART-0002,DE,"442,234"
2026-03,ART-0002,DE,"132,234"
2026-04,ART-0002,DE,"121,234"
2026-05,ART-0002,DE,"853,234"
2026-06,ART-0002,DE,"426,234"
2026-01,ART-0003,DE,"797,234"
2026-02,ART-0003,DE,"802,234"
2026-03,ART-0003,DE,"840,234"
2026-04,ART-0003,DE,"845,234"
2026-05,ART-0003,DE,"851,234"
2026-06,ART-0003,DE,"292,234"
2026-01,ART-0004,DE,"833,234"
2026-02,ART-0004,DE,"40,234"
2026-03,ART-0004,DE,"232,234"
2026-04,ART-0004,DE,"406,234"
2026-05,ART-0004,DE,"134,234"
2026-06,ART-0004,DE,"374,234"
2026-01,ART-0005,DE,"674,234"
2026-02,ART-0005,DE,"417,234"
2026-03,ART-0005,DE,"807,234"
2026-04,ART-0005,DE,"445,234"
2026-06,ART-0005,DE,"98,234"
2026-01,ART-0003,FI,"44,234"
2026-02,ART-0003,FI,"133,234"
2026-03,ART-0003,FI,"278,234"
2026-04,ART-0003,FI,"679,234"
2026-05,ART-0003,FI,"301,234"
2026-06,ART-0003,FI,"174,234"
2026-01,ART-0005,FI,"334,234"
2026-02,ART-0005,FI,"343,234"
2026-03,ART-0005,FI,"314,234"
2026-04,ART-0005,FI,"782,234"
2026-05,ART-0005,FI,"628,234"
2026-06,ART-0005,FI,"311,234"
2026-01,ART-0001,SE,"126,234"
2026-02,ART-0001,SE,"691,234"
2026-04,ART-0001,SE,"13,234"
2026-05,ART-0001,SE,"551,234"
2026-06,ART-0001,SE,"834,234"
2026-02,ART-0002,SE,"807,234"
2026-03,ART-0002,SE,"799,234"
2026-04,ART-0002,SE,"533,234"
2026-05,ART-0002,SE,"674,234"
2026-06,ART-0002,SE,"654,234"
2026-01,ART-0004,SE,"636,234"
2026-02,ART-0004,SE,"550,234"
2026-03,ART-0004,SE,"332,234"
2026-04,ART-0004,SE,"824,234"
2026-05,ART-0004,SE,"549,234"
2026-06,ART-0004,SE,"238,234"
2026-01,ART-0005,SE,"814,234"
2026-02,ART-0005,SE,"330,234"
2026-03,ART-0005,SE,"591,234"
2026-04,ART-0005,SE,"826,234"
2026-06,ART-0005,SE,"627,234"
