period,product,country,sales
2026-01,ART-1,CZ,375.98
2026-02,art0001,CZ,390.39
2026-03,ART‑0002,CZ,353.73
2026-05,Art 0003,CZ,435.47
2026-01,ART--0004,CZ,328.97
2026-02,ART-1,CZ,710.92
2026-03,art0001,CZ,39.15
2026-04,ART‑0002,CZ,799.49
2026-05,Art 0003,CZ,160.58
2026-06,ART--0004,CZ,423.89
2026-01,ART-1,DE,482.01
2026-02,art0001,DE,441.53
2026-03,ART‑0002,DE,131.68
2026-04,Art 0003,DE,121.25
2026-05,ART--0004,DE,853.37
2026-06,ART-1,DE,425.88
2026-01,art0001,DE,796.87
2026-02,ART‑0002,DE,801.69
2026-03,Art 0003,DE,840.21
2026-04,ART--0004,DE,844.81
2026-05,ART-1,DE,850.84
2026-06,art0001,DE,292.42
2026-01,ART‑0002,DE,833.11
2026-02,Art 0003,DE,39.75
2026-03,ART--0004,DE,232.25
2026-04,ART-1,DE,406.13
2026-05,art0001,DE,133.83
2026-06,ART‑0002,DE,374.03
2026-01,Art 0003,DE,673.67
2026-02,ART--0004,DE,417.44
2026-03,ART-1,DE,806.51
2026-04,art0001,DE,444.98
2026-06,ART‑0002,DE,98.03
2026-01,Art 0003,FI,43.77
2026-02,ART--0004,FI,133.26
2026-03,ART-1,FI,278.38
2026-04,art0001,FI,679.19
2026-05,ART‑0002,FI,301.48
2026-06,Art 0003,FI,173.54
2026-01,ART--0004,FI,334.47
2026-02,ART-1,FI,343.07
2026-03,art0001,FI,314.33
2026-04,ART‑0002,FI,781.94
2026-05,Art 0003,FI,628.21
2026-06,ART--0004,FI,311.35
2026-01,ART-1,SE,126.08
2026-02,art0001,SE,690.93
2026-04,ART‑0002,SE,13.43
2026-05,Art 0003,SE,550.67
2026-06,ART--0004,SE,833.72
2026-02,ART-1,SE,806.61
2026-03,art0001,SE,798.59
2026-04,ART‑0002,SE,532.64
2026-05,Art 0003,SE,673.51
2026-06,ART--0004,SE,654.03
2026-01,ART-1,SE,636.36
2026-02,art0001,SE,549.98
2026-03,ART‑0002,SE,331.82
2026-04,Art 0003,SE,824.37
2026-05,ART--0004,SE,549.06
2026-06,ART-1,SE,238.22
2026-01,art0001,SE,814.22
2026-02,ART‑0002,SE,329.89
2026-03,Art 0003,SE,590.81
2026-04,ART--0004,SE,825.79
2026-06,ART-1,SE,626.56
