country,product,period,sales
CZ,ART-0002,2026-01,375.98
CZ,ART-0002,2026-02,390.39
CZ,ART-0002,2026-03,353.73
CZ,ART-0002,2026-05,435.47
CZ,ART-0003,2026-01,328.97
CZ,ART-0003,2026-02,710.92
CZ,ART-0003,2026-03,39.15
CZ,ART-0003,2026-04,799.49
CZ,ART-0003,2026-05,160.58
CZ,ART-0003,2026-06,423.89
DE,ART-0002,2026-01,482.01
DE,ART-0002,2026-02,441.53
DE,ART-0002,2026-03,131.68
DE,ART-0002,2026-04,121.25
DE,ART-0002,2026-05,853.37
DE,ART-0002,2026-06,425.88
DE,ART-0003,2026-01,796.87
DE,ART-0003,2026-02,801.69
DE,ART-0003,2026-03,840.21
DE,ART-0003,2026-04,844.81
DE,ART-0003,2026-05,850.84
DE,ART-0003,2026-06,292.42
DE,ART-0004,2026-01,833.11
DE,ART-0004,2026-02,39.75
DE,ART-0004,2026-03,232.25
DE,ART-0004,2026-04,406.13
DE,ART-0004,2026-05,133.83
DE,ART-0004,2026-06,374.03
DE,ART-0005,2026-01,673.67
DE,ART-0005,2026-02,417.44
DE,ART-0005,2026-03,806.51
DE,ART-0005,2026-04,444.98
DE,ART-0005,2026-06,98.03
FI,ART-0003,2026-01,43.77
FI,ART-0003,2026-02,133.26
FI,ART-0003,2026-03,278.38
FI,ART-0003,2026-04,679.19
FI,ART-0003,2026-05,301.48
FI,ART-0003,2026-06,173.54
FI,ART-0005,2026-01,334.47
FI,ART-0005,2026-02,343.07
FI,ART-0005,2026-03,314.33
FI,ART-0005,2026-04,781.94
FI,ART-0005,2026-05,628.21
FI,ART-0005,2026-06,311.35
SE,ART-0001,2026-01,126.08
SE,ART-0001,2026-02,690.93
SE,ART-0001,2026-04,13.43
SE,ART-0001,2026-05,550.67
SE,ART-0001,2026-06,833.72
SE,ART-0002,2026-02,806.61
SE,ART-0002,2026-03,798.59
SE,ART-0002,2026-04,532.64
SE,ART-0002,2026-05,673.51
SE,ART-0002,2026-06,654.03
SE,ART-0004,2026-01,636.36
SE,ART-0004,2026-02,549.98
SE,ART-0004,2026-03,331.82
SE,ART-0004,2026-04,824.37
SE,ART-0004,2026-05,549.06
SE,ART-0004,2026-06,238.22
SE,ART-0005,2026-01,814.22
SE,ART-0005,2026-02,329.89
SE,ART-0005,2026-03,590.81
SE,ART-0005,2026-04,825.79
SE,ART-0005,2026-06,626.56
