period,product,country,sales
2026-01,ART-0002,Tschechei,375.98
2026-02,ART-0002,Tschechei,390.39
2026-03,ART-0002,Tschechei,353.73
2026-05,ART-0002,Tschechei,435.47
2026-01,ART-0003,Tschechei,328.97
2026-02,ART-0003,Tschechei,710.92
2026-03,ART-0003,Tschechei,39.15
2026-04,ART-0003,Tschechei,799.49
2026-05,ART-0003,Tschechei,160.58
2026-06,ART-0003,Tschechei,423.89
2026-01,ART-0002,Deutschland,482.01
2026-02,ART-0002,Deutschland,441.53
2026-03,ART-0002,Deutschland,131.68
2026-04,ART-0002,Deutschland,121.25
2026-05,ART-0002,Deutschland,853.37
2026-06,ART-0002,Deutschland,425.88
2026-01,ART-0003,Deutschland,796.87
2026-02,ART-0003,Deutschland,801.69
2026-03,ART-0003,Deutschland,840.21
2026-04,ART-0003,Deutschland,844.81
2026-05,ART-0003,Deutschland,850.84
2026-06,ART-0003,Deutschland,292.42
2026-01,ART-0004,Deutschland,833.11
2026-02,ART-0004,Deutschland,39.75
2026-03,ART-0004,Deutschland,232.25
2026-04,ART-0004,Deutschland,406.13
2026-05,ART-0004,Deutschland,133.83
2026-06,ART-0004,Deutschland,374.03
2026-01,ART-0005,Deutschland,673.67
2026-02,ART-0005,Deutschland,417.44
2026-03,ART-0005,Deutschland,806.51
2026-04,ART-0005,Deutschland,444.98
2026-06,ART-0005,Deutschland,98.03
2026-01,ART-0003,Suomi,43.77
2026-02,ART-0003,Suomi,133.26
2026-03,ART-0003,Suomi,278.38
2026-04,ART-0003,Suomi,679.19
2026-05,ART-0003,Suomi,301.48
2026-06,ART-0003,Suomi,173.54
2026-01,ART-0005,Suomi,334.47
2026-02,ART-0005,Suomi,343.07
2026-03,ART-0005,Suomi,314.33
2026-04,ART-0005,Suomi,781.94
2026-05,ART-0005,Suomi,628.21
2026-06,ART-0005,Suomi,311.35
2026-01,ART-0001,Norlandia,126.08
2026-02,ART-0001,Norlandia,690.93
2026-04,ART-0001,Norlandia,13.43
2026-05,ART-0001,Norlandia,550.67
2026-06,ART-0001,Norlandia,833.72
2026-02,ART-0002,Norlandia,806.61
2026-03,ART-0002,Norlandia,798.59
2026-04,ART-0002,Norlandia,532.64
2026-05,ART-0002,Norlandia,673.51
2026-06,ART-0002,Norlandia,654.03
2026-01,ART-0004,Norlandia,636.36
2026-02,ART-0004,Norlandia,549.98
2026-03,ART-0004,Norlandia,331.82
2026-04,ART-0004,Norlandia,824.37
2026-05,ART-0004,Norlandia,549.06
2026-06,ART-0004,Norlandia,238.22
2026-01,ART-0005,Norlandia,814.22
2026-02,ART-0005,Norlandia,329.89
2026-03,ART-0005,Norlandia,590.81
2026-04,ART-0005,Norlandia,825.79
2026-06,ART-0005,Norlandia,626.56
