country,product,period,sales
Česká republika,ART-0001,1/2026,442.27
Česká republika,ART-0001,3/2026,180.31
Česká republika,ART-0001,4/2026,273.54
Česká republika,ART-0001,5/2026,303.63
Česká republika,ART-0001,6/2026,584.26
Česká republika,ART-0002,1/2026,808.17
Česká republika,ART-0002,2/2026,844.40
Česká republika,ART-0002,3/2026,454.96
Česká republika,ART-0002,4/2026,367.63
Česká republika,ART-0002,6/2026,492.26
Česká republika,ART-0003,1/2026,396.67
Česká republika,ART-0003,2/2026,319.86
Česká republika,ART-0003,4/2026,810.59
Česká republika,ART-0003,5/2026,144.54
Česká republika,ART-0003,6/2026,281.62
Česká republika,ART-0004,1/2026,675.78
Česká republika,ART-0004,2/2026,307.19
Česká republika,ART-0004,3/2026,287.39
Česká republika,ART-0004,4/2026,213.08
Česká republika,ART-0004,5/2026,658.98
Česká republika,ART-0004,6/2026,539.41
Deutschland,ART-0002,1/2026,527.52
Deutschland,ART-0002,2/2026,218.69
Deutschland,ART-0002,3/2026,643.80
Deutschland,ART-0002,5/2026,713.80
Deutschland,ART-0002,6/2026,161.36
Deutschland,ART-0003,1/2026,857.80
Deutschland,ART-0003,3/2026,827.67
Deutschland,ART-0003,4/2026,19.76
Deutschland,ART-0003,5/2026,49.26
Deutschland,ART-0003,6/2026,203.89
Deutschland,ART-0004,1/2026,484.26
Deutschland,ART-0004,2/2026,198.14
Deutschland,ART-0004,3/2026,543.68
Deutschland,ART-0004,4/2026,94.61
Deutschland,ART-0004,5/2026,368.78
Deutschland,ART-0005,1/2026,217.82
Deutschland,ART-0005,2/2026,434.34
Deutschland,ART-0005,3/2026,630.07
Deutschland,ART-0005,4/2026,179.64
Deutschland,ART-0005,5/2026,402.98
Deutschland,ART-0005,6/2026,254.39
Suomi,ART-0001,1/2026,181.82
Suomi,ART-0001,2/2026,838.99
Suomi,ART-0001,3/2026,808.75
Suomi,ART-0001,4/2026,55.71
Suomi,ART-0001,5/2026,616.10
Suomi,ART-0001,6/2026,819.27
Suomi,ART-0002,1/2026,450.15
Suomi,ART-0002,2/2026,490.70
Suomi,ART-0002,3/2026,484.59
Suomi,ART-0002,4/2026,149.78
Suomi,ART-0002,5/2026,797.90
Suomi,ART-0002,6/2026,294.95
Suomi,ART-0004,1/2026,693.62
Suomi,ART-0004,2/2026,102.40
Suomi,ART-0004,3/2026,448.42
Suomi,ART-0004,4/2026,366.68
Suomi,ART-0004,5/2026,87.94
Suomi,ART-0004,6/2026,288.47
Suomi,ART-0005,1/2026,224.75
Suomi,ART-0005,2/2026,724.64
Suomi,ART-0005,3/2026,333.15
Suomi,ART-0005,4/2026,131.54
Suomi,ART-0005,5/2026,559.65
Suomi,ART-0005,6/2026,818.52
Sverige,ART-0001,1/2026,250.76
Sverige,ART-0001,2/2026,818.59
Sverige,ART-0001,3/2026,179.67
Sverige,ART-0001,4/2026,818.89
Sverige,ART-0001,5/2026,339.29
Sverige,ART-0001,6/2026,380.44
Sverige,ART-0005,2/2026,240.02
Sverige,ART-0005,3/2026,71.02
Sverige,ART-0005,4/2026,830.31
Sverige,ART-0005,5/2026,874.71
Sverige,ART-0005,6/2026,233.43
